	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
CP119801.1_CP119801.1_45	CP119801.1	CP119801.1	45	29983	33093	-1	E											0
CP119801.1_CP119801.1_46	CP119801.1	CP119801.1	46	33247	33846	-1	E											0
CP119801.1_CP119801.1_47	CP119801.1	CP119801.1	47	34149	34349	1	E											0
CP119801.1_CP119801.1_48	CP119801.1	CP119801.1	48	34906	35103	-1	E											0
CP119801.1_CP119801.1_49	CP119801.1	CP119801.1	49	35345	35650	-1	E											0
CP119801.1_CP119801.1_50	CP119801.1	CP119801.1	50	35647	35766	-1	E											0
CP119801.1_CP119801.1_51	CP119801.1	CP119801.1	51	35778	36077	-1	E											0
CP119801.1_CP119801.1_52	CP119801.1	CP119801.1	52	36438	36617	1	E											0
CP119801.1_CP119801.1_53	CP119801.1	CP119801.1	53	36618	37160	-1	D										Homing endonuclease associated repeat [PF18780.4]	0
CP119801.1_CP119801.1_54	CP119801.1	CP119801.1	54	37160	37948	-1	E											0
CP119801.1_CP119801.1_55	CP119801.1	CP119801.1	55	38362	38841	1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
CP119801.1_CP119801.1_56	CP119801.1	CP119801.1	56	39400	40452	1	C	K10725	archaeal cell division control protein 6								AAA domain [PF13401.9]	0
CP119801.1_CP119801.1_57	CP119801.1	CP119801.1	57	40516	40815	-1	E											0
CP119801.1_CP119801.1_58	CP119801.1	CP119801.1	58	41027	41464	1	E											0
CP119801.1_CP119801.1_59	CP119801.1	CP119801.1	59	41842	43083	1	E											0
CP119801.1_CP119801.1_60	CP119801.1	CP119801.1	60	43882	44157	-1	D										FaeA-like protein [PF04703.15]	0
CP119801.1_CP119801.1_61	CP119801.1	CP119801.1	61	44362	44757	1	E											0
CP119801.1_CP119801.1_62	CP119801.1	CP119801.1	62	44754	45491	1	E											0
CP119801.1_CP119801.1_63	CP119801.1	CP119801.1	63	45492	46172	1	E											0
CP119801.1_CP119801.1_64	CP119801.1	CP119801.1	64	46169	46438	1	E											0
CP119801.1_CP119801.1_65	CP119801.1	CP119801.1	65	46435	46680	1	E											0
CP119801.1_CP119801.1_66	CP119801.1	CP119801.1	66	46677	47585	1	E											0
CP119801.1_CP119801.1_67	CP119801.1	CP119801.1	67	47582	47833	1	E											0
CP119801.1_CP119801.1_68	CP119801.1	CP119801.1	68	47833	48249	1	E											0
CP119801.1_CP119801.1_69	CP119801.1	CP119801.1	69	48246	48479	1	E											0
CP119801.1_CP119801.1_70	CP119801.1	CP119801.1	70	48476	48967	1	E											0
CP119801.1_CP119801.1_71	CP119801.1	CP119801.1	71	48964	49557	1	D										DnaJ domain [PF00226.34]	0
CP119801.1_CP119801.1_72	CP119801.1	CP119801.1	72	49554	49769	1	E											0
CP119801.1_CP119801.1_73	CP119801.1	CP119801.1	73	49766	50158	1	E											0
CP119801.1_CP119801.1_74	CP119801.1	CP119801.1	74	50334	50651	1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
CP119801.1_CP119801.1_75	CP119801.1	CP119801.1	75	50648	51043	1	E											0
CP119801.1_CP119801.1_76	CP119801.1	CP119801.1	76	51043	51798	1	E											0
CP119801.1_CP119801.1_77	CP119801.1	CP119801.1	77	51798	52133	1	E											0
CP119801.1_CP119801.1_78	CP119801.1	CP119801.1	78	52133	52603	1	E											0
CP119801.1_CP119801.1_79	CP119801.1	CP119801.1	79	52600	52851	1	E											0
CP119801.1_CP119801.1_80	CP119801.1	CP119801.1	80	52852	53616	1	E											0
CP119801.1_CP119801.1_81	CP119801.1	CP119801.1	81	53613	53774	1	E											0
CP119801.1_CP119801.1_82	CP119801.1	CP119801.1	82	53771	54196	1	E											0
CP119801.1_CP119801.1_83	CP119801.1	CP119801.1	83	54193	54813	1	E											0
CP119801.1_CP119801.1_84	CP119801.1	CP119801.1	84	54836	54934	1	E											0
CP119801.1_CP119801.1_85	CP119801.1	CP119801.1	85	54927	55220	1	E											0
CP119801.1_CP119801.1_86	CP119801.1	CP119801.1	86	55217	55780	1	E											0
CP119801.1_CP119801.1_87	CP119801.1	CP119801.1	87	55777	56073	1	E											0
CP119801.1_CP119801.1_88	CP119801.1	CP119801.1	88	56185	56580	1	D										Helix-hairpin-helix motif [PF12826.10]; Helix-hairpin-helix domain [PF14520.9]	0
CP119801.1_CP119801.1_89	CP119801.1	CP119801.1	89	56479	56688	-1	E											0
CP119801.1_CP119801.1_90	CP119801.1	CP119801.1	90	56739	57797	1	E											0
CP119801.1_CP119801.1_91	CP119801.1	CP119801.1	91	57949	58137	1	E											0
CP119801.1_CP119801.1_92	CP119801.1	CP119801.1	92	58180	58794	1	E											0
