	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP101161.1_CP101161.1_11	CP101161.1	CP101161.1	11	10236	11162	1	C	K07090	uncharacterized protein								Sulfite exporter TauE/SafE [PF01925.22]					0
CP101161.1_CP101161.1_12	CP101161.1	CP101161.1	12	11166	11504	-1	C	K09004	uncharacterized protein								DsrE/DsrF-like family [PF02635.18]					0
CP101161.1_CP101161.1_13	CP101161.1	CP101161.1	13	11530	11721	-1	E															0
CP101161.1_CP101161.1_14	CP101161.1	CP101161.1	14	11783	13225	-1	C	K17830	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]								Tryptophan halogenase [PF04820.17]; FAD binding domain [PF01494.22]; FAD dependent oxidoreductase [PF12831.10]; Glucose inhibited division protein A [PF01134.25]; HI0933-like protein [PF03486.17]; FAD binding domain [PF00890.27]; Lycopene cyclase protein [PF05834.15]; FAD dependent oxidoreductase [PF01266.27]					0
CP101161.1_CP101161.1_15	CP101161.1	CP101161.1	15	13285	13425	1	E															0
CP101161.1_CP101161.1_16	CP101161.1	CP101161.1	16	13513	14379	-1	C	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]								Pyruvate ferredoxin oxidoreductase beta subunit C terminal [PF12367.11]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]					0
CP101161.1_CP101161.1_17	CP101161.1	CP101161.1	17	14376	16148	-1	C	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]								Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg [PF01855.22]; Pyruvate ferredoxin/flavodoxin oxidoreductase [PF01558.21]; Pyruvate:ferredoxin oxidoreductase core domain II [PF17147.7]					0
CP101161.1_CP101161.1_18	CP101161.1	CP101161.1	18	16371	17009	1	D										Oxidoreductase FAD-binding domain [PF00970.27]					0
CP101161.1_CP101161.1_19	CP101161.1	CP101161.1	19	17230	18225	1	C	K00459	nitronate monooxygenase [EC:1.13.12.16]								Nitronate monooxygenase [PF03060.18]; FMN-dependent dehydrogenase [PF01070.21]					0
CP101161.1_CP101161.1_20	CP101161.1	CP101161.1	20	18270	18836	1	D										NUDIX domain [PF00293.31]					0
CP101161.1_CP101161.1_21	CP101161.1	CP101161.1	21	18851	19381	-1	E															0
CP101161.1_CP101161.1_22	CP101161.1	CP101161.1	22	19378	20169	-1	D										Thioredoxin [PF13462.9]					0
CP101161.1_CP101161.1_23	CP101161.1	CP101161.1	23	20221	20607	-1	C	K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]								Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF13669.9]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]; Glyoxalase-like domain [PF13468.9]; Glyoxalase-like domain [PF12681.10]					0
CP101161.1_CP101161.1_24	CP101161.1	CP101161.1	24	20659	22335	-1	C	K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]								Methylmalonyl-CoA mutase [PF01642.25]					0
CP101161.1_CP101161.1_25	CP101161.1	CP101161.1	25	22484	22969	-1	D										Winged helix-turn-helix DNA-binding [PF13412.9]					0
CP101161.1_CP101161.1_26	CP101161.1	CP101161.1	26	23140	24066	1	D										EamA-like transporter family [PF00892.23]					0
CP101161.1_CP101161.1_27	CP101161.1	CP101161.1	27	24215	24793	-1	E															0
CP101161.1_CP101161.1_28	CP101161.1	CP101161.1	28	24919	26916	1	D										AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]; Acetyl-coenzyme A synthetase N-terminus [PF16177.8]					0
CP101161.1_CP101161.1_29	CP101161.1	CP101161.1	29	26920	28143	-1	C	K08177	MFS transporter, OFA family, oxalate/formate antiporter								Major Facilitator Superfamily [PF07690.19]; Uncharacterised MFS-type transporter YbfB [PF06779.17]					0
CP101161.1_CP101161.1_30	CP101161.1	CP101161.1	30	28194	28901	-1	E															0
CP101161.1_CP101161.1_31	CP101161.1	CP101161.1	31	28992	30146	-1	C	K03686	molecular chaperone DnaJ								DnaJ C terminal domain [PF01556.21]; DnaJ central domain [PF00684.22]; DnaJ domain [PF00226.34]					0
CP101161.1_CP101161.1_32	CP101161.1	CP101161.1	32	30215	30466	-1	E															0
CP101161.1_CP101161.1_33	CP101161.1	CP101161.1	33	30736	32553	1	D										Rieske-like [2Fe-2S] domain [PF13806.9]; Rieske [2Fe-2S] domain [PF00355.29]					0
CP101161.1_CP101161.1_34	CP101161.1	CP101161.1	34	32593	32742	1	E															0
CP101161.1_CP101161.1_35	CP101161.1	CP101161.1	35	32743	33171	-1	C	K07090	uncharacterized protein								Universal stress protein family [PF00582.29]					0
CP101161.1_CP101161.1_36	CP101161.1	CP101161.1	36	33246	33779	1	C	K22736	vacuolar iron transporter family protein								VIT family [PF01988.22]					0
CP101161.1_CP101161.1_37	CP101161.1	CP101161.1	37	33972	35378	-1	D										Photosynthesis system II assembly factor YCF48 [PF14870.9]					0
CP101161.1_CP101161.1_38	CP101161.1	CP101161.1	38	35593	37497	-1	C	K04043	molecular chaperone DnaK								Hsp70 protein [PF00012.23]; MreB/Mbl protein [PF06723.16]					0
CP101161.1_CP101161.1_39	CP101161.1	CP101161.1	39	37631	38275	-1	C	K03687	molecular chaperone GrpE								GrpE [PF01025.22]					0
CP101161.1_CP101161.1_40	CP101161.1	CP101161.1	40	38347	38730	-1	E															0
CP101161.1_CP101161.1_41	CP101161.1	CP101161.1	41	38829	39542	-1	D										Helix-turn-helix domain [PF12840.10]; Winged helix DNA-binding domain [PF13463.9]					0
CP101161.1_CP101161.1_42	CP101161.1	CP101161.1	42	39728	39907	-1	E															0
CP101161.1_CP101161.1_43	CP101161.1	CP101161.1	43	40120	41454	1	C	K10843	DNA excision repair protein ERCC-3 [EC:5.6.2.4]								ERCC3/RAD25/XPB C-terminal helicase [PF16203.8]; Type III restriction enzyme, res subunit [PF04851.18]; Xeroderma pigmentosum group B helicase damage recognition domain [PF18458.4]; Helicase conserved C-terminal domain [PF00271.34]; SNF2-related domain [PF00176.26]; DEAD/DEAH box helicase [PF00270.32]					0
CP101161.1_CP101161.1_44	CP101161.1	CP101161.1	44	41456	42967	1	C	K09744	uncharacterized protein								Protein of unknown function (DUF790) [PF05626.14]					0
CP101161.1_CP101161.1_45	CP101161.1	CP101161.1	45	43111	43614	-1	E															0
CP101161.1_CP101161.1_46	CP101161.1	CP101161.1	46	43616	44122	-1	D										RNA-binding PUA-like domain of methyltransferase RsmF [PF13636.9]					0
CP101161.1_CP101161.1_47	CP101161.1	CP101161.1	47	44119	45027	-1	C	K22446	tRNA (cytosine49-C5)-methyltransferase [EC:2.1.1.-]								16S rRNA methyltransferase RsmB/F [PF01189.20]; N-terminal domain of 16S rRNA methyltransferase RsmF [PF17125.8]; Putative RNA methylase family UPF0020 [PF01170.21]; FtsJ-like methyltransferase [PF01728.22]					0
CP101161.1_CP101161.1_48	CP101161.1	CP101161.1	48	45119	45856	1	C	K06869	uncharacterized protein								PAC2 family [PF09754.12]					0
CP101161.1_CP101161.1_49	CP101161.1	CP101161.1	49	46011	48446	-1	D										Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain [PF17389.5]; Glycosyl-hydrolase family 116, catalytic region [PF04685.16]	GH15	GH15 glucoamylase (EC 3.2.1.3); glucodextranase (EC 3.2.1.70); alpha,alpha-trehalase (EC 3.2.1.28); dextran dextrinase (EC 2.4.1.2)	3.2.1.205,3.2.1.28,3.2.1.3,3.2.1.70	GH15.hmm	0
CP101161.1_CP101161.1_50	CP101161.1	CP101161.1	50	48625	49416	1	C	K06222	2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]								Aldo/keto reductase family [PF00248.24]					0
CP101161.1_CP101161.1_51	CP101161.1	CP101161.1	51	49418	50362	-1	E															0
CP101161.1_CP101161.1_52	CP101161.1	CP101161.1	52	50470	51471	1	C	K24451	modification methylase								DNA methylase [PF01555.21]					0
CP101161.1_CP101161.1_53	CP101161.1	CP101161.1	53	51506	52183	1	C	K03785	3-dehydroquinate dehydratase I [EC:4.2.1.10]								Type I 3-dehydroquinase [PF01487.18]					0
CP101161.1_CP101161.1_54	CP101161.1	CP101161.1	54	52242	52652	1	D										Family of unknown function (DUF6677) [PF20382.1]					0
CP101161.1_CP101161.1_55	CP101161.1	CP101161.1	55	52653	55253	-1	D										Ion channel [PF07885.19]					0
CP101161.1_CP101161.1_56	CP101161.1	CP101161.1	56	55298	56458	-1	C	K11646	3-dehydroquinate synthase II [EC:1.4.1.24]								3-dehydroquinate synthase II [PF01959.19]					0
CP101161.1_CP101161.1_57	CP101161.1	CP101161.1	57	56563	57237	1	C	K07025	putative hydrolase of the HAD superfamily								Haloacid dehalogenase-like hydrolase [PF13419.9]; HAD-hyrolase-like [PF13242.9]; haloacid dehalogenase-like hydrolase [PF12710.10]					0
CP101161.1_CP101161.1_58	CP101161.1	CP101161.1	58	57229	57753	-1	D										Family of unknown function (DUF6789) [PF20587.1]					0
CP101161.1_CP101161.1_59	CP101161.1	CP101161.1	59	57839	58606	1	C	K02275	cytochrome c oxidase subunit II [EC:7.1.1.9]								Cytochrome C oxidase subunit II, periplasmic domain [PF00116.23]					0
CP101161.1_CP101161.1_60	CP101161.1	CP101161.1	60	58603	61158	1	C	K15408	cytochrome c oxidase subunit I+III [EC:7.1.1.9]								Cytochrome C and Quinol oxidase polypeptide I [PF00115.23]; Cytochrome c oxidase subunit III [PF00510.21]					0
CP101161.1_CP101161.1_61	CP101161.1	CP101161.1	61	61161	61430	1	D										Prokaryotic Cytochrome C oxidase subunit IV [PF03626.17]					0
CP101161.1_CP101161.1_62	CP101161.1	CP101161.1	62	61435	61833	-1	E															0
CP101161.1_CP101161.1_63	CP101161.1	CP101161.1	63	61880	62605	-1	E															0
CP101161.1_CP101161.1_64	CP101161.1	CP101161.1	64	62602	63027	-1	E															0
CP101161.1_CP101161.1_65	CP101161.1	CP101161.1	65	63095	63889	-1	C	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]								DeoC/LacD family aldolase [PF01791.12]					0
CP101161.1_CP101161.1_66	CP101161.1	CP101161.1	66	63914	64756	-1	C	K01695	tryptophan synthase alpha chain [EC:4.2.1.20]								Tryptophan synthase alpha chain [PF00290.23]					0
CP101161.1_CP101161.1_67	CP101161.1	CP101161.1	67	64753	65994	-1	C	K01696	tryptophan synthase beta chain [EC:4.2.1.20]								Pyridoxal-phosphate dependent enzyme [PF00291.28]					0
CP101161.1_CP101161.1_68	CP101161.1	CP101161.1	68	65981	66739	-1	D										Indole-3-glycerol phosphate synthase [PF00218.24]; Putative N-acetylmannosamine-6-phosphate epimerase [PF04131.17]					0
CP101161.1_CP101161.1_69	CP101161.1	CP101161.1	69	66890	67966	1	E															0
CP101161.1_CP101161.1_70	CP101161.1	CP101161.1	70	67966	69711	1	D										GMC oxidoreductase [PF00732.22]; GMC oxidoreductase [PF05199.16]	AA3; AA3_2	AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10); glucose 1-dehydrogenase (FAD, quinone) (EC 1.1.5.9); pyranose dehydrogenase (EC 1.1.99.29); oligosaccharide dehydrogenase (FAD) (EC 1.1.5.-)	; 1.1.3.16,1.1.3.4,1.1.3.7,1.1.5.9,1.1.5.-,1.1.99.29	AA3.hmm	0
CP101161.1_CP101161.1_71	CP101161.1	CP101161.1	71	69719	70219	-1	E															0
CP101161.1_CP101161.1_72	CP101161.1	CP101161.1	72	70317	70640	1	D										Ribosomal protein S10p/S20e [PF00338.25]					0
CP101161.1_CP101161.1_73	CP101161.1	CP101161.1	73	70698	71978	1	C	K12940	aminobenzoyl-glutamate utilization protein A	MER0844364	M20D	MER0844364 - family M20D unassigned peptidases (Haloferax gibbonsii) [M20.UPD]#M20D#{peptidase unit: 2-415}~source M0H1Z0~	True	0.688	567.0	5.625e-180	Peptidase family M20/M25/M40 [PF01546.31]; Peptidase dimerisation domain [PF07687.17]					0
CP101161.1_CP101161.1_74	CP101161.1	CP101161.1	74	72087	72599	1	E															0
CP101161.1_CP101161.1_75	CP101161.1	CP101161.1	75	72799	74166	-1	C	K17830	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]								Tryptophan halogenase [PF04820.17]; FAD binding domain [PF01494.22]; FAD dependent oxidoreductase [PF12831.10]; FAD binding domain [PF00890.27]; Lycopene cyclase protein [PF05834.15]; Glucose inhibited division protein A [PF01134.25]; FAD dependent oxidoreductase [PF01266.27]; HI0933-like protein [PF03486.17]					0
CP101161.1_CP101161.1_76	CP101161.1	CP101161.1	76	74276	74614	1	D										2Fe-2S iron-sulfur cluster binding domain [PF00111.30]					0
CP101161.1_CP101161.1_77	CP101161.1	CP101161.1	77	74678	75535	1	D			MER1080419	S54	MER1080419 - family S54 non-peptidase homologues (Haloferax larsenii) [S54.UNW]#S54#{peptidase unit: 22-141}~source M0H7P6~	False	0.378	79.0	9.956e-15						0
CP101161.1_CP101161.1_78	CP101161.1	CP101161.1	78	75536	77008	-1	C	K01426	amidase [EC:3.5.1.4]								Amidase [PF01425.24]					0
CP101161.1_CP101161.1_79	CP101161.1	CP101161.1	79	77173	78216	-1	D										Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; Lycopene cyclase protein [PF05834.15]					0
CP101161.1_CP101161.1_80	CP101161.1	CP101161.1	80	78311	78652	1	C	K07390	monothiol glutaredoxin								Glutaredoxin [PF00462.27]					0
CP101161.1_CP101161.1_81	CP101161.1	CP101161.1	81	78773	79420	1	E															0
CP101161.1_CP101161.1_82	CP101161.1	CP101161.1	82	79475	80275	-1	D										Predicted metal-binding integral membrane protein (DUF2182) [PF09948.12]					0
CP101161.1_CP101161.1_83	CP101161.1	CP101161.1	83	80301	80618	-1	D										2Fe-2S iron-sulfur cluster binding domain [PF00111.30]; 2Fe-2S iron-sulfur cluster binding domain [PF13510.9]					0
CP101161.1_CP101161.1_84	CP101161.1	CP101161.1	84	80627	81946	-1	C	K17285	methanethiol oxidase [EC:1.8.3.4]								56kDa selenium binding protein (SBP56) [PF05694.14]					0
CP101161.1_CP101161.1_85	CP101161.1	CP101161.1	85	82357	83328	1	D										Phosphoadenosine phosphosulfate reductase family [PF01507.22]					0
CP101161.1_CP101161.1_86	CP101161.1	CP101161.1	86	83437	84330	-1	E															0
CP101161.1_CP101161.1_87	CP101161.1	CP101161.1	87	84421	84633	-1	E															0
CP101161.1_CP101161.1_88	CP101161.1	CP101161.1	88	84640	85419	-1	E															0
CP101161.1_CP101161.1_89	CP101161.1	CP101161.1	89	85530	86471	-1	C	K03124	transcription initiation factor TFIIB								Transcription factor TFIIB repeat [PF00382.22]; TFIIB zinc-binding [PF08271.15]					0
CP101161.1_CP101161.1_90	CP101161.1	CP101161.1	90	86691	87194	1	C	K01529	inosine/xanthosine triphosphatase [EC:3.6.1.73]								Protein of unknown function DUF84 [PF01931.21]					0
CP101161.1_CP101161.1_91	CP101161.1	CP101161.1	91	87175	89019	-1	C	K23683	glycosyltransferase AglD [EC:2.4.1.-]								Glycosyl transferase family 2 [PF00535.29]; Lysylphosphatidylglycerol synthase TM region [PF03706.16]; Glycosyltransferase like family 2 [PF13641.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
CP101161.1_CP101161.1_92	CP101161.1	CP101161.1	92	89079	89312	1	D										Iron-binding zinc finger CDGSH type [PF09360.13]					0
CP101161.1_CP101161.1_93	CP101161.1	CP101161.1	93	89469	91193	-1	D										Radical SAM superfamily [PF04055.24]; Helix-hairpin-helix motif [PF12836.10]					0
CP101161.1_CP101161.1_94	CP101161.1	CP101161.1	94	91273	92115	1	C	K07104	catechol 2,3-dioxygenase [EC:1.13.11.2]								Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]; Glyoxalase-like domain [PF18029.4]; CppA C-terminal [PF14507.9]					0
CP101161.1_CP101161.1_95	CP101161.1	CP101161.1	95	92106	92912	-1	D										Protein of unknown function (DUF429) [PF04250.16]					0
CP101161.1_CP101161.1_96	CP101161.1	CP101161.1	96	92963	93151	1	E															0
CP101161.1_CP101161.1_97	CP101161.1	CP101161.1	97	93148	93666	1	D										Hsp20/alpha crystallin family [PF00011.24]					0
CP101161.1_CP101161.1_98	CP101161.1	CP101161.1	98	93670	94800	-1	D										FAD dependent oxidoreductase [PF01266.27]					0
CP101161.1_CP101161.1_99	CP101161.1	CP101161.1	99	94831	95607	-1	E															0
CP101161.1_CP101161.1_100	CP101161.1	CP101161.1	100	95819	96058	1	E															0
CP101161.1_CP101161.1_101	CP101161.1	CP101161.1	101	96055	96702	-1	D										NUDIX domain [PF00293.31]					0
CP101161.1_CP101161.1_102	CP101161.1	CP101161.1	102	96727	97200	-1	E															0
CP101161.1_CP101161.1_103	CP101161.1	CP101161.1	103	97197	98288	-1	C	K13693	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]									GT81	GT81 NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217);	2.4.1.217,2.4.1.266,2.4.1.270,2.4.1.-	GT81.hmm	0
CP101161.1_CP101161.1_104	CP101161.1	CP101161.1	104	98316	99476	-1	D										Major Facilitator Superfamily [PF07690.19]; MFS_1 like family [PF12832.10]; Uncharacterised MFS-type transporter YbfB [PF06779.17]					0
CP101161.1_CP101161.1_105	CP101161.1	CP101161.1	105	99613	99783	1	E															0
CP101161.1_CP101161.1_106	CP101161.1	CP101161.1	106	99933	100268	1	E															0
CP101161.1_CP101161.1_107	CP101161.1	CP101161.1	107	100286	101359	-1	D										Aldo/keto reductase family [PF00248.24]					0
CP101161.1_CP101161.1_108	CP101161.1	CP101161.1	108	101384	102508	-1	D										DHH family [PF01368.23]					0
CP101161.1_CP101161.1_109	CP101161.1	CP101161.1	109	102628	103512	-1	D										NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; GDP-mannose 4,6 dehydratase [PF16363.8]; TrkA-N domain [PF02254.21]					0
CP101161.1_CP101161.1_110	CP101161.1	CP101161.1	110	103509	103934	-1	D										Family of unknown function (DUF5791) [PF19104.3]					0
CP101161.1_CP101161.1_111	CP101161.1	CP101161.1	111	103957	106974	-1	E															0
CP101161.1_CP101161.1_112	CP101161.1	CP101161.1	112	106971	107837	-1	E															0
CP101161.1_CP101161.1_113	CP101161.1	CP101161.1	113	107834	108211	-1	E															0
CP101161.1_CP101161.1_114	CP101161.1	CP101161.1	114	108695	110380	-1	E															0
CP101161.1_CP101161.1_115	CP101161.1	CP101161.1	115	110377	112161	-1	D										Type II/IV secretion system protein [PF00437.23]					0
CP101161.1_CP101161.1_116	CP101161.1	CP101161.1	116	112121	112576	-1	E															0
CP101161.1_CP101161.1_117	CP101161.1	CP101161.1	117	112570	112962	-1	E															0
CP101161.1_CP101161.1_118	CP101161.1	CP101161.1	118	113035	114102	1	C	K22222	tubulin-like protein CetZ								Tubulin/FtsZ family, GTPase domain [PF00091.28]					0
CP101161.1_CP101161.1_119	CP101161.1	CP101161.1	119	114099	115442	-1	D										Type I phosphodiesterase / nucleotide pyrophosphatase [PF01663.25]					0
CP101161.1_CP101161.1_120	CP101161.1	CP101161.1	120	115522	115623	-1	E															0
CP101161.1_CP101161.1_121	CP101161.1	CP101161.1	121	115815	116420	1	E															0
CP101161.1_CP101161.1_122	CP101161.1	CP101161.1	122	116422	117978	-1	D			MER0491787	S08A	MER0491787 - subfamily S8A non-peptidase homologues (Halogranum salarium) [S08.UNA]#S08A#{peptidase unit: 104-473}~source WP_009365716~	False	0.363	224.0	1.8429999999999998e-60	Subtilase family [PF00082.25]					0
CP101161.1_CP101161.1_123	CP101161.1	CP101161.1	123	118104	118709	-1	D										Helix-turn-helix domain [PF12840.10]; Bacterial regulatory protein, arsR family [PF01022.23]					0
CP101161.1_CP101161.1_124	CP101161.1	CP101161.1	124	118803	120290	-1	C	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]								GatB/GatE catalytic domain [PF02934.18]; GatB domain [PF02637.21]					0
CP101161.1_CP101161.1_125	CP101161.1	CP101161.1	125	120498	120887	1	E															0
CP101161.1_CP101161.1_126	CP101161.1	CP101161.1	126	120911	124486	1	C	K03529	chromosome segregation protein								RecF/RecN/SMC N terminal domain [PF02463.22]; SMC proteins Flexible Hinge Domain [PF06470.16]; Eukaryotic membrane protein family [PF05346.14]; AAA domain [PF13476.9]					0
CP101161.1_CP101161.1_127	CP101161.1	CP101161.1	127	124583	125494	1	C	K05896	segregation and condensation protein A								Segregation and condensation protein ScpA [PF02616.17]					0
CP101161.1_CP101161.1_128	CP101161.1	CP101161.1	128	125573	125695	1	E															0
CP101161.1_CP101161.1_129	CP101161.1	CP101161.1	129	125697	126641	-1	C	K00772	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]													0
CP101161.1_CP101161.1_130	CP101161.1	CP101161.1	130	126660	127364	1	D										Protein of unknown function, DUF547 [PF04784.17]					0
CP101161.1_CP101161.1_131	CP101161.1	CP101161.1	131	127416	127910	1	E															0
CP101161.1_CP101161.1_132	CP101161.1	CP101161.1	132	127962	128546	1	E															0
CP101161.1_CP101161.1_133	CP101161.1	CP101161.1	133	128568	129449	-1	D										UbiA prenyltransferase family [PF01040.21]					0
CP101161.1_CP101161.1_134	CP101161.1	CP101161.1	134	129457	130152	-1	C	K07101	uncharacterized protein								Phosphoribosyl transferase domain [PF00156.30]; Phosphoribosyl synthetase-associated domain [PF14572.9]					0
CP101161.1_CP101161.1_135	CP101161.1	CP101161.1	135	130243	130704	1	D										MafB19-like deaminase [PF14437.9]; Cytidine and deoxycytidylate deaminase zinc-binding region [PF00383.26]					0
CP101161.1_CP101161.1_136	CP101161.1	CP101161.1	136	130750	131658	1	C	K06998	trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]								Phenazine biosynthesis-like protein [PF02567.19]					0
CP101161.1_CP101161.1_137	CP101161.1	CP101161.1	137	131748	134003	1	C	K01007	pyruvate, water dikinase [EC:2.7.9.2]								Pyruvate phosphate dikinase, AMP/ATP-binding domain [PF01326.22]; PEP-utilising enzyme, PEP-binding domain [PF02896.21]; PEP-utilising enzyme, mobile domain [PF00391.26]					0
CP101161.1_CP101161.1_138	CP101161.1	CP101161.1	138	134068	134598	1	D										Family of unknown function (DUF5797) [PF19110.3]					0
CP101161.1_CP101161.1_139	CP101161.1	CP101161.1	139	134599	135615	-1	D										Family of unknown function (DUF5787) [PF19100.3]					0
CP101161.1_CP101161.1_140	CP101161.1	CP101161.1	140	135695	135958	1	D										Glutathione S-transferase, N-terminal domain [PF13417.9]; Glutaredoxin [PF00462.27]					0
CP101161.1_CP101161.1_141	CP101161.1	CP101161.1	141	135959	136408	-1	C	K01518	bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17]								NUDIX domain [PF00293.31]					0
CP101161.1_CP101161.1_142	CP101161.1	CP101161.1	142	136489	136959	1	D										6-O-methylguanine DNA methyltransferase, DNA binding domain [PF01035.23]					0
