	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
CP084476.1_CP084476.1_37	CP084476.1	CP084476.1	37	12667	13185	1	E											0
CP084476.1_CP084476.1_38	CP084476.1	CP084476.1	38	13190	13960	1	E											0
CP084476.1_CP084476.1_39	CP084476.1	CP084476.1	39	14383	14616	1	E											0
CP084476.1_CP084476.1_40	CP084476.1	CP084476.1	40	14621	14806	1	E											0
CP084476.1_CP084476.1_41	CP084476.1	CP084476.1	41	14803	15315	1	E											0
CP084476.1_CP084476.1_42	CP084476.1	CP084476.1	42	15312	16541	1	D										Phage integrase family [PF00589.25]	0
CP084476.1_CP084476.1_43	CP084476.1	CP084476.1	43	16548	16991	1	E											0
CP084476.1_CP084476.1_44	CP084476.1	CP084476.1	44	17462	17839	-1	D										Helix-hairpin-helix motif [PF12826.10]	0
CP084476.1_CP084476.1_45	CP084476.1	CP084476.1	45	17844	18200	-1	E											0
CP084476.1_CP084476.1_46	CP084476.1	CP084476.1	46	18221	18883	-1	E											0
CP084476.1_CP084476.1_47	CP084476.1	CP084476.1	47	18890	19378	-1	E											0
CP084476.1_CP084476.1_48	CP084476.1	CP084476.1	48	19382	19624	-1	E											0
CP084476.1_CP084476.1_49	CP084476.1	CP084476.1	49	19621	20430	-1	E											0
CP084476.1_CP084476.1_50	CP084476.1	CP084476.1	50	20478	21971	-1	E											0
CP084476.1_CP084476.1_51	CP084476.1	CP084476.1	51	22244	23185	-1	D										MCM OB domain [PF17207.6]	0
CP084476.1_CP084476.1_52	CP084476.1	CP084476.1	52	23185	25590	-1	E											0
CP084476.1_CP084476.1_53	CP084476.1	CP084476.1	53	25601	27223	-1	E											0
CP084476.1_CP084476.1_54	CP084476.1	CP084476.1	54	27225	28484	-1	E											0
CP084476.1_CP084476.1_55	CP084476.1	CP084476.1	55	28481	29506	-1	E											0
CP084476.1_CP084476.1_56	CP084476.1	CP084476.1	56	29503	30087	-1	E											0
CP084476.1_CP084476.1_57	CP084476.1	CP084476.1	57	30084	30299	-1	E											0
CP084476.1_CP084476.1_58	CP084476.1	CP084476.1	58	30464	30760	-1	E											0
CP084476.1_CP084476.1_59	CP084476.1	CP084476.1	59	30757	30987	-1	E											0
CP084476.1_CP084476.1_60	CP084476.1	CP084476.1	60	30984	31922	-1	E											0
CP084476.1_CP084476.1_61	CP084476.1	CP084476.1	61	31925	32374	-1	E											0
CP084476.1_CP084476.1_62	CP084476.1	CP084476.1	62	32377	32577	-1	E											0
CP084476.1_CP084476.1_63	CP084476.1	CP084476.1	63	32574	33344	-1	E											0
CP084476.1_CP084476.1_64	CP084476.1	CP084476.1	64	33478	33732	-1	E											0
CP084476.1_CP084476.1_65	CP084476.1	CP084476.1	65	33737	34156	-1	E											0
CP084476.1_CP084476.1_66	CP084476.1	CP084476.1	66	34259	35365	-1	E											0
CP084476.1_CP084476.1_67	CP084476.1	CP084476.1	67	35527	36429	-1	E											0
CP084476.1_CP084476.1_68	CP084476.1	CP084476.1	68	36522	36812	-1	D										HNH endonuclease [PF01844.26]	1
CP084476.1_CP084476.1_69	CP084476.1	CP084476.1	69	36809	37438	-1	D										Phage integrase family [PF00589.25]	0
CP084476.1_CP084476.1_70	CP084476.1	CP084476.1	70	37641	37853	1	E											0
CP084476.1_CP084476.1_71	CP084476.1	CP084476.1	71	37850	39415	1	E											0
CP084476.1_CP084476.1_72	CP084476.1	CP084476.1	72	39439	40947	-1	E											0
CP084476.1_CP084476.1_73	CP084476.1	CP084476.1	73	40958	42019	-1	E											0
CP084476.1_CP084476.1_74	CP084476.1	CP084476.1	74	42087	42875	-1	E											0
CP084476.1_CP084476.1_75	CP084476.1	CP084476.1	75	42885	44432	-1	D			MER0980774	S08A	MER0980774 - subfamily S8A unassigned peptidases (Natrinema versiforme) [S08.UPA]#S08A#{peptidase unit: 194-482}~source L9Y5A0~	True	424.0	6.409e-129	0.725	Subtilase family [PF00082.25]	0
CP084476.1_CP084476.1_76	CP084476.1	CP084476.1	76	44535	45776	-1	D										Homing endonuclease associated repeat [PF18780.4]; HNH endonuclease [PF01844.26]	1
CP084476.1_CP084476.1_77	CP084476.1	CP084476.1	77	45779	48448	-1	E											0
CP084476.1_CP084476.1_78	CP084476.1	CP084476.1	78	48490	48672	-1	E											0
CP084476.1_CP084476.1_79	CP084476.1	CP084476.1	79	49107	49658	-1	E											0
CP084476.1_CP084476.1_80	CP084476.1	CP084476.1	80	50022	50225	1	E											0
CP084476.1_CP084476.1_81	CP084476.1	CP084476.1	81	50306	50611	-1	E											0
CP084476.1_CP084476.1_82	CP084476.1	CP084476.1	82	50608	51102	-1	E											0
CP084476.1_CP084476.1_83	CP084476.1	CP084476.1	83	51414	51956	-1	D										Homing endonuclease associated repeat [PF18780.4]	0
CP084476.1_CP084476.1_84	CP084476.1	CP084476.1	84	51956	52750	-1	E											0
CP084476.1_CP084476.1_85	CP084476.1	CP084476.1	85	53075	53623	1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
CP084476.1_CP084476.1_86	CP084476.1	CP084476.1	86	53676	54041	1	E											0
CP084476.1_CP084476.1_87	CP084476.1	CP084476.1	87	54666	55703	1	D										AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]; Bacterial TniB protein [PF05621.14]; Bacterial dnaA  protein [PF00308.21]	0
CP084476.1_CP084476.1_88	CP084476.1	CP084476.1	88	56315	56602	-1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
CP084476.1_CP084476.1_89	CP084476.1	CP084476.1	89	56691	56954	-1	D										Ribonuclease R winged-helix domain [PF08461.13]; Ferric uptake regulator family [PF01475.22]	0
CP084476.1_CP084476.1_90	CP084476.1	CP084476.1	90	57225	57752	1	E											0
CP084476.1_CP084476.1_91	CP084476.1	CP084476.1	91	58204	61653	1	E											0
CP084476.1_CP084476.1_92	CP084476.1	CP084476.1	92	62082	62597	-1	E											0
CP084476.1_CP084476.1_93	CP084476.1	CP084476.1	93	63049	63255	1	E											0
CP084476.1_CP084476.1_94	CP084476.1	CP084476.1	94	63252	63878	1	E											0
CP084476.1_CP084476.1_95	CP084476.1	CP084476.1	95	63875	64225	1	E											0
CP084476.1_CP084476.1_96	CP084476.1	CP084476.1	96	64225	64875	1	E											0
CP084476.1_CP084476.1_97	CP084476.1	CP084476.1	97	64872	65210	1	E											0
CP084476.1_CP084476.1_98	CP084476.1	CP084476.1	98	65210	65581	1	E											0
CP084476.1_CP084476.1_99	CP084476.1	CP084476.1	99	65578	65928	1	D										Domain of unknown function (DUF5658) [PF18902.3]	0
CP084476.1_CP084476.1_100	CP084476.1	CP084476.1	100	65928	66782	1	E											0
CP084476.1_CP084476.1_101	CP084476.1	CP084476.1	101	66874	67143	1	E											0
CP084476.1_CP084476.1_102	CP084476.1	CP084476.1	102	67140	68561	1	C	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]								C-5 cytosine-specific DNA methylase [PF00145.20]	0
CP084476.1_CP084476.1_103	CP084476.1	CP084476.1	103	68548	68820	1	E											0
CP084476.1_CP084476.1_104	CP084476.1	CP084476.1	104	68810	69103	1	E											0
CP084476.1_CP084476.1_105	CP084476.1	CP084476.1	105	69100	70464	1	D										DNA methylase [PF01555.21]	0
CP084476.1_CP084476.1_106	CP084476.1	CP084476.1	106	70461	70958	1	E											0
CP084476.1_CP084476.1_107	CP084476.1	CP084476.1	107	70955	71098	1	E											0
CP084476.1_CP084476.1_108	CP084476.1	CP084476.1	108	71187	71672	1	E											0
CP084476.1_CP084476.1_109	CP084476.1	CP084476.1	109	71669	72490	1	E											0
CP084476.1_CP084476.1_110	CP084476.1	CP084476.1	110	72487	72759	1	E											0
CP084476.1_CP084476.1_111	CP084476.1	CP084476.1	111	72756	72977	1	E											0
CP084476.1_CP084476.1_112	CP084476.1	CP084476.1	112	73090	73407	1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
CP084476.1_CP084476.1_113	CP084476.1	CP084476.1	113	73407	73871	1	E											1
CP084476.1_CP084476.1_114	CP084476.1	CP084476.1	114	73864	74094	1	E											0
CP084476.1_CP084476.1_115	CP084476.1	CP084476.1	115	74091	74345	1	E											0
CP084476.1_CP084476.1_116	CP084476.1	CP084476.1	116	74348	74743	1	E											0
CP084476.1_CP084476.1_117	CP084476.1	CP084476.1	117	74827	75375	1	E											0
CP084476.1_CP084476.1_118	CP084476.1	CP084476.1	118	75376	75801	1	E											0
CP084476.1_CP084476.1_119	CP084476.1	CP084476.1	119	75802	76014	1	E											0
CP084476.1_CP084476.1_120	CP084476.1	CP084476.1	120	76011	76277	1	E											0
CP084476.1_CP084476.1_121	CP084476.1	CP084476.1	121	76280	76531	1	E											0
CP084476.1_CP084476.1_122	CP084476.1	CP084476.1	122	76524	76676	1	E											0
CP084476.1_CP084476.1_123	CP084476.1	CP084476.1	123	76673	76954	1	E											0
CP084476.1_CP084476.1_124	CP084476.1	CP084476.1	124	76951	77337	1	E											0
CP084476.1_CP084476.1_125	CP084476.1	CP084476.1	125	77334	77549	1	E											0
CP084476.1_CP084476.1_126	CP084476.1	CP084476.1	126	77536	78087	1	E											0
CP084476.1_CP084476.1_127	CP084476.1	CP084476.1	127	78084	78587	1	E											0
CP084476.1_CP084476.1_128	CP084476.1	CP084476.1	128	79207	79581	1	D										Domain of unknown function (DUF4326) [PF14216.9]	0
