acc,organism_name,organism_acc,orf
WP_074880318.1,Halolamina sp. R1-12_R1-12,JAANTI010000009,ORF21
WP_178289023.1,Natronomonas halophila_C90,CP058334,ORF21
WP_158205895.1,Halomarina oriensis_JCM 16495,WSZK01000033,ORF21
WP_123619176.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF21
WP_115806015.1,Haloferax sp. Atlit-4N_Atlit-4N,PSYY01000019,ORF21
WP_007273975.1,Haloferax sulfurifontis_CCM 7217,BMCI01000011,ORF21
WP_153952728.1,Halosegnis longus_F12-1,QKNW01000002,ORF21
WP_247005041.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF21
WP_276257221.1,Halovivax sp. TS33_TS33,CP119801,ORF21
WP_166975957.1,"","",ORF21
WP_135306356.1,Halomicroarcula amylolytica_LR21,SRIF01000015,ORF21
WP_007139929.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF21
WP_090312415.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF21
WP_076148807.1,Natrinema saccharevitans_AB14,LWLN01000003,ORF21
WP_253439224.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF21
WP_006430300.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF21
WP_076583933.1,Natronorubrum daqingense_JX313,CP019329,ORF21
WP_135823086.1,Halostella litorea_DLLS-108,SJER01000008,ORF21
WP_121819972.1,Halostella sp. JP-L12_JP-L12,JAAOHU010000009,ORF21
WP_227134592.1,Halorubellus salinus_GX3,JAJCVI010000007,ORF21
AQM75287.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF23
WP_176580080.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF23
WP_088901272.1,Halorubrum lacusprofundi_HL1RP11,JAJNEG010000028,ORF23
WP_004048500.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF23
WP_157884851.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF23
WP_254810614.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF23
WP_012946162.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF23
WP_006665487.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF23
WP_006111401.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF23
WP_049895738.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF23
WP_049967315.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF23
WP_226043403.1,Natrinema sp. DC36_DC36,CP084476,ORF23
WP_154018461.1,Halolamina rubra_CBA1107,BBJN01000020,ORF23
SFQ07740.1,Halolamina pelagica_CGMCC 1.10329,FOXI01000018,ORF23
WP_079990213.1,Halolamina sp. R1-12_R1-12,JAANTI010000009,ORF23
WP_178289021.1,Natronomonas halophila_C90,CP058334,ORF23
WP_253521882.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF23
WP_158205893.1,Halomarina oriensis_JCM 16495,WSZK01000033,ORF23
WP_255149788.1,Halosegnis sp. ZY10_ZY10,CP101161,ORF23
WP_227132345.1,Halorubellus salinus_GX3,JAJCVI010000002,ORF23
ELZ14417.1,Natrinema thermotolerans DSM 11552_DSM 11552,AOIR01000042,ORF23
WP_004047795.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF23
WP_166975962.1,"","",ORF23
WP_135306354.1,Halomicroarcula amylolytica_LR21,SRIF01000015,ORF23
WP_276257219.1,Halovivax sp. TS33_TS33,CP119801,ORF23
WP_247005043.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF23
WP_007139931.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF23
WP_245724315.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF23
WP_076583927.1,Natronorubrum daqingense_JX313,CP019329,ORF23
WP_175607307.1,Natrinema saccharevitans_AB14,LWLN01000003,ORF23
WP_006430297.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF23
WP_253439220.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF23
WP_135823088.1,Halostella litorea_DLLS-108,SJER01000008,ORF23
WP_162994404.1,Halostella sp. JP-L12_JP-L12,JAAOHU010000009,ORF23
WP_227134594.1,Halorubellus salinus_GX3,JAJCVI010000007,ORF23
WP_123619178.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF23
WP_153952726.1,Halosegnis longus_F12-1,QKNW01000002,ORF23
AQM75288.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF24
WP_176580081.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF24
WP_088901273.1,Halorubrum lacusprofundi_HL1RP11,JAJNEG010000028,ORF24
WP_004048499.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF24
WP_066418771.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF24
WP_254810615.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF24
WP_012946163.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF24
WP_006665488.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF24
WP_006111403.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF24
WP_226043402.1,Natrinema sp. DC36_DC36,CP084476,ORF24
QCC57297.1,Natrinema thermotolerans_A29,CP031299,ORF24
WP_233274409.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF24
WP_013876066.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF24
WP_253521886.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF24
WP_074880307.1,Halolamina pelagica_CGMCC 1.10329,FOXI01000018,ORF24
WP_049980266.1,Halolamina rubra_CBA1107,BBJN01000020,ORF24
WP_178289020.1,Natronomonas halophila_C90,CP058334,ORF24
WP_158205892.1,Halomarina oriensis_JCM 16495,WSZK01000033,ORF24
WP_255149789.1,Halosegnis sp. ZY10_ZY10,CP101161,ORF24
WP_227132347.1,Halorubellus salinus_GX3,JAJCVI010000002,ORF24
ELZ40649.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF24
WP_049909109.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF24
ELZ14418.1,Natrinema thermotolerans DSM 11552_DSM 11552,AOIR01000042,ORF24
WP_115806038.1,Haloferax sp. Atlit-4N_Atlit-4N,PSYY01000027,ORF24
WP_007273972.1,Haloferax sulfurifontis_CCM 7217,BMCI01000011,ORF24
WP_123619179.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF24
WP_153952725.1,Halosegnis longus_F12-1,QKNW01000002,ORF24
WP_076148809.1,Natrinema saccharevitans_AB14,LWLN01000003,ORF24
WP_245724316.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF24
APX98670.1,Natronorubrum daqingense_JX313T,CP019329,ORF24
WP_236996026.1,"","",ORF24
WP_049890646.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF24
ELY68934.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF24
APX00319.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF24
WP_238593409.1,"","",ORF24
WP_253439217.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF24
WP_276257218.1,Halovivax sp. TS33_TS33,CP119801,ORF24
WP_247005045.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF24
WP_166975965.1,"","",ORF24
WP_135306353.1,Halomicroarcula amylolytica_LR21,SRIF01000015,ORF24
WP_121819968.1,Halostella sp. JP-L12_JP-L12,JAAOHU010000009,ORF24
WP_135823089.1,Halostella litorea_DLLS-108,SJER01000008,ORF24
WP_227134595.1,Halorubellus salinus_GX3,JAJCVI010000007,ORF24
AQM75270.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF6
WP_236996085.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF6
WP_237583085.1,Halorubrum lacusprofundi_HLS1,KX906370,ORF6
WP_152421865.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF6
ELZ38788.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF6
WP_157884858.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF6
WP_012946144.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF6
WP_013876082.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF6
WP_245724312.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF6
WP_083687816.1,Natronorubrum daqingense_JX313,CP019329,ORF6
APX98552.1,Natronorubrum daqingense_JX313T,CP019329,ORF6
QCC57287.1,Natrinema thermotolerans_A29,CP031299,ORF6
WP_233274410.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF6
WP_006665474.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF6
WP_175417072.1,Natrinema pallidum_BOL6-1,CP040639,ORF6
QCW05226.1,Natrinema pallidum_BOL6-1,CP040639,ORF6
WP_276257149.1,Halovivax sp. TS33_TS33,CP119801,ORF6
WP_226043421.1,Natrinema sp. DC36_DC36,CP084476,ORF6
WP_049967299.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF6
WP_006430204.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF6
WP_247005175.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF6
WP_247005174.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF6
WP_174682795.1,Haloterrigena gelatinilytica_SYSU A558-1,JABUQZ010000003,ORF6
WP_206537188.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF6
ELY97141.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF6
WP_083687828.1,Natronorubrum daqingense_JX313,CP019330,ORF6
APX98747.1,Natronorubrum daqingense_JX313T,CP019330,ORF6
WP_006671475.1,Halobiforma nitratireducens JCM 10879_JCM 10879,AOMA01000019,ORF6
WP_007139918.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF6
WP_275039258.1,Halobiforma lacisalsi AJ5_AJ5,AOLZ01000012,ORF6
APX00321.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF6
WP_233752292.1,"","",ORF6
NHN49977.1,"","",ORF6
WP_253439053.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF6
WP_254810718.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF6
QCC57255.1,Natrinema thermotolerans_A29,CP031299,ORF6
WP_136396809.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF6
WP_254810679.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF6
APX98605.1,Natronorubrum daqingense_JX313T,CP019329,ORF6
WP_139327066.1,Natronorubrum daqingense_JX313,CP019329,ORF6
WP_254156780.1,Saliphagus sp. WLHS1_WLHS1,CP100355,ORF6
WP_066418905.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF6
ELZ39327.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000038,ORF6
WP_123619590.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF6
WP_250586001.1,Natronocalculus amylovorans_AArc-St2,JAKRVX010000010,ORF6
WP_245800694.1,Natrinema saccharevitans_AB14,LWLN01000003,ORF6
SEW32848.1,Natrinema salifodinae_CGMCC 1.12284,FOIS01000007,ORF6
WP_143067755.1,Natrinema salifodinae_CGMCC 1.12284,FOIS01000007,ORF6
WP_253521916.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF6
WP_253521851.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF6
WP_147302057.1,Haloferax sp. Atlit-4N_Atlit-4N,PSYY01000010,ORF6
RDZ49993.1,Haloferax sp. Atlit-4N_Atlit-4N,PSYY01000010,ORF6
WP_007273989.1,Haloferax sulfurifontis_CCM 7217,BMCI01000010,ORF6
WP_162562673.1,Salinigranum rubrum_GX10,CP026314,ORF6
AUV84690.1,Salinigranum rubrum_GX10,CP026314,ORF6
WP_253521830.1,Halorussus sp. XZYJT10_XZYJT10,CP100004,ORF6
MWG36242.1,"","",ORF6
WP_233265182.1,Halomarina oriensis_JCM 16495,WSZK01000033,ORF6
WP_082224594.1,Halolamina rubra_CBA1107,BBJN01000020,ORF6
WP_227132325.1,Halorubellus salinus_GX3,JAJCVI010000002,ORF6
WP_179918455.1,Halosimplex pelagicum_R2,CP058909,ORF6
WP_240940633.1,Haloarcula argentinensis_pws5,WOWA01000007,ORF6
NLV14373.1,"","",ORF6
WP_147435211.1,Haloarcula sp. Atlit-120R_Atlit-120R,QPLN01000011,ORF6
WP_245180941.1,Halomicroarcula amylolytica_LR21,SRIF01000015,ORF6
WP_166975892.1,"","",ORF6
WP_260643757.1,Salinirubellus salinus_ZS-35-S2,CP104003,ORF6
WP_153952744.1,Halosegnis longus_F12-1,QKNW01000002,ORF6
WP_096391478.1,Halopenitus persicus_CBA1233,AP017558,ORF6
WP_271959462.1,Halorubrum ezzemoulense_AMM088,JAQLTW010000001,ORF6
WP_259370039.1,Halostella litorea_DLLS-108,SJER01000008,ORF6
ELZ14405.1,Natrinema thermotolerans DSM 11552_DSM 11552,AOIR01000042,ORF6
WP_255149775.1,Halosegnis sp. ZY10_ZY10,CP101161,ORF6
WP_049909098.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF6
ELZ40637.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000025,ORF6
PCR88684.1,Natrinema ejinorense_JCM 13890,NXNI01000003,ORF6
WP_245853167.1,Natrinema ejinorense_JCM 13890,NXNI01000003,ORF6
MUV87014.1,"","",ORF6
WP_231753953.1,Natronomonas sp. CBA1123_CBA1123,WPCC01000021,ORF6
WP_123619552.1,Halorubrum sp. CSM-61_CSM-61,RJJW01000001,ORF6
SDJ32971.1,Halovenus aranensis_IBRC-M10015,FNFC01000002,ORF6
WP_143414111.1,Halovenus aranensis_IBRC-M10015,FNFC01000002,ORF6
AQM75272.1,Halorubrum lacusprofundi_R1S1,KX687704,ORF8
WP_088901258.1,Halorubrum lacusprofundi_HL1RP11,JAJNEG010000027,ORF8
WP_004048522.1,Halorubrum saccharovorum DSM 1137_DSM 1137,AOJE01000051,ORF8
WP_066418812.1,Halorubrum aethiopicum_SAH-A6,LOAJ01000002,ORF8
WP_119817599.1,Halalkaliarchaeum desulfuricum_AArc-Sl,CP025066,ORF8
WP_012946146.1,Haloterrigena turkmenica DSM 5511_DSM 5511,NC_013748,ORF8
WP_174682793.1,Haloterrigena gelatinilytica_SYSU A558-1,JABUQZ010000003,ORF8
WP_013876080.1,Halopiger xanaduensis SH-6_SH-6,NC_015659,ORF8
WP_247005177.1,Halosolutus gelatinilyticus_SQT-29-1,CP095494,ORF8
WP_236996034.1,"","",ORF8
APX98748.1,Natronorubrum daqingense_JX313T,CP019330,ORF8
WP_006671473.1,Halobiforma nitratireducens JCM 10879_JCM 10879,AOMA01000019,ORF8
WP_007139920.1,Halobiforma lacisalsi AJ5_AJ5,CP019286,ORF8
WP_076583956.1,Natronorubrum daqingense_JX313,CP019329,ORF8
WP_090312391.1,"Natronorubrum texcoconense_B4,CECT 8067,JCM 17497",FNFE01000011,ORF8
WP_226043303.1,Natrinema sp. DC36_DC36,CP084476,ORF8
WP_006665476.1,Natrialba aegyptia DSM 13077_DSM 13077,AOIP01000022,ORF8
WP_006430202.1,Natrinema versiforme JCM 10478_JCM 10478,AOID01000019,ORF8
WP_276257233.1,Halovivax sp. TS33_TS33,CP119801,ORF8
WP_138655685.1,Natrinema pallidum_BOL6-1,CP040639,ORF8
WP_049967301.1,Natrinema thermotolerans A29_A29,JDTG01000019,ORF8
WP_006111374.1,Natrialba asiatica DSM 12278_DSM 12278,AOIO01000049,ORF8
WP_253439249.1,Halovivax sp. AGai3-5_AGai3-5,CP099999,ORF8
WP_121819924.1,Halostella sp. JP-L12_JP-L12,JAAOHU010000009,ORF8
WP_250586005.1,Natronocalculus amylovorans_AArc-St2,JAKRVX010000010,ORF8
WP_254810600.1,Saliphagus sp. WLHSJ1_WLHSJ1,CP101158,ORF8
WP_254156782.1,Saliphagus sp. WLHS1_WLHS1,CP100355,ORF8
