	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
JAAOHU010000009.1_JAAOHU010000009.1_18	JAAOHU010000009.1	JAAOHU010000009.1	18	13120	13710	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_19	JAAOHU010000009.1	JAAOHU010000009.1	19	13864	15984	1	C	K10726	replicative DNA helicase Mcm [EC:5.6.2.3]								MCM P-loop domain [PF00493.26]; MCM AAA-lid domain [PF17855.4]; MCM OB domain [PF17207.6]	0
JAAOHU010000009.1_JAAOHU010000009.1_20	JAAOHU010000009.1	JAAOHU010000009.1	20	15981	16217	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_21	JAAOHU010000009.1	JAAOHU010000009.1	21	16441	17007	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_22	JAAOHU010000009.1	JAAOHU010000009.1	22	17007	17180	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_23	JAAOHU010000009.1	JAAOHU010000009.1	23	17180	17593	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_24	JAAOHU010000009.1	JAAOHU010000009.1	24	17590	17775	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_25	JAAOHU010000009.1	JAAOHU010000009.1	25	17873	18088	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_26	JAAOHU010000009.1	JAAOHU010000009.1	26	18085	18390	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_27	JAAOHU010000009.1	JAAOHU010000009.1	27	18608	19021	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_28	JAAOHU010000009.1	JAAOHU010000009.1	28	19018	19158	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_29	JAAOHU010000009.1	JAAOHU010000009.1	29	19155	19340	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_30	JAAOHU010000009.1	JAAOHU010000009.1	30	19337	19756	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_31	JAAOHU010000009.1	JAAOHU010000009.1	31	19753	19938	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_32	JAAOHU010000009.1	JAAOHU010000009.1	32	19935	20129	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_33	JAAOHU010000009.1	JAAOHU010000009.1	33	20126	20422	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_34	JAAOHU010000009.1	JAAOHU010000009.1	34	20419	20709	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_35	JAAOHU010000009.1	JAAOHU010000009.1	35	20706	21200	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_36	JAAOHU010000009.1	JAAOHU010000009.1	36	21226	21948	1	D										DNA methylase [PF01555.21]	0
JAAOHU010000009.1_JAAOHU010000009.1_37	JAAOHU010000009.1	JAAOHU010000009.1	37	22204	22734	1	D										Acetyltransferase (GNAT) family [PF00583.28]	0
JAAOHU010000009.1_JAAOHU010000009.1_38	JAAOHU010000009.1	JAAOHU010000009.1	38	22751	23047	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_39	JAAOHU010000009.1	JAAOHU010000009.1	39	23049	23279	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_40	JAAOHU010000009.1	JAAOHU010000009.1	40	23290	23448	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_41	JAAOHU010000009.1	JAAOHU010000009.1	41	23445	23828	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_42	JAAOHU010000009.1	JAAOHU010000009.1	42	24038	24364	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_43	JAAOHU010000009.1	JAAOHU010000009.1	43	24373	24573	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_44	JAAOHU010000009.1	JAAOHU010000009.1	44	24669	24911	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_45	JAAOHU010000009.1	JAAOHU010000009.1	45	25009	25503	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_46	JAAOHU010000009.1	JAAOHU010000009.1	46	25508	25813	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_47	JAAOHU010000009.1	JAAOHU010000009.1	47	25976	26365	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_48	JAAOHU010000009.1	JAAOHU010000009.1	48	26362	27171	-1	C	K03496	chromosome partitioning protein								AAA domain [PF13614.9]; Cellulose biosynthesis protein BcsQ [PF06564.15]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; VirC1 protein [PF07015.14]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; ATPase MipZ [PF09140.14]; Anion-transporting ATPase [PF02374.18]	0
JAAOHU010000009.1_JAAOHU010000009.1_49	JAAOHU010000009.1	JAAOHU010000009.1	49	27234	27632	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_50	JAAOHU010000009.1	JAAOHU010000009.1	50	27747	28064	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_51	JAAOHU010000009.1	JAAOHU010000009.1	51	28233	29342	1	D										Phage integrase SAM-like domain [PF13102.9]	0
JAAOHU010000009.1_JAAOHU010000009.1_52	JAAOHU010000009.1	JAAOHU010000009.1	52	29377	29490	1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_53	JAAOHU010000009.1	JAAOHU010000009.1	53	29512	29949	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_54	JAAOHU010000009.1	JAAOHU010000009.1	54	30205	32676	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_55	JAAOHU010000009.1	JAAOHU010000009.1	55	32698	34416	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_56	JAAOHU010000009.1	JAAOHU010000009.1	56	34419	35834	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_57	JAAOHU010000009.1	JAAOHU010000009.1	57	35850	36983	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_58	JAAOHU010000009.1	JAAOHU010000009.1	58	36983	37723	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_59	JAAOHU010000009.1	JAAOHU010000009.1	59	37720	37992	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_60	JAAOHU010000009.1	JAAOHU010000009.1	60	38112	38429	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_61	JAAOHU010000009.1	JAAOHU010000009.1	61	38426	38644	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_62	JAAOHU010000009.1	JAAOHU010000009.1	62	38644	39945	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_63	JAAOHU010000009.1	JAAOHU010000009.1	63	39942	40370	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_64	JAAOHU010000009.1	JAAOHU010000009.1	64	40409	40591	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_65	JAAOHU010000009.1	JAAOHU010000009.1	65	40575	41336	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_66	JAAOHU010000009.1	JAAOHU010000009.1	66	41469	41801	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_67	JAAOHU010000009.1	JAAOHU010000009.1	67	41806	42861	-1	E											0
JAAOHU010000009.1_JAAOHU010000009.1_68	JAAOHU010000009.1	JAAOHU010000009.1	68	43072	44556	-1	E											0
