V1,annot,order,cluster,cluster_annot
FNFE01000011.1_19,ORF6.faa,32,--- Cluster 1,ORF6.faa
AOIO01000049.1_89,ORF6.faa,33,--- Cluster 1,ORF6.faa
CP095494.1_34,ORF6.faa,34,--- Cluster 1,ORF6.faa
WSZK01000033.1_36,ORF6.faa,35,--- Cluster 1,ORF6.faa
CP119801.1_45,ORF6.faa,36,--- Cluster 1,ORF6.faa
CP084476.1_77,ORF6.faa,37,--- Cluster 1,ORF6.faa
RJJW01000001.1_28,ORF6.faa,38,--- Cluster 1,ORF6.faa
CP031299.1_7,ORF6.faa,39,--- Cluster 1,ORF6.faa
Gairdner_NODE_107_length_49922_cov_74.384603_12,ORF6.faa,41,--- Cluster 2,ORF6.faa
Eyresouth_NODE_101_length_48437_cov_7.17035_9,ORF6.faa,42,--- Cluster 2,ORF6.faa
Frome_NODE_383_length_24936_cov_4.316346_1,ORF6.faa,43,--- Cluster 2,ORF6.faa
JAJCVI010000007.1_7,"",45,--- Cluster 3,""
AOIR01000042.1_32,"",47,--- Cluster 4,""
BBJN01000020.1_25,,49,--- Cluster 5,""
AOJE01000025.1_13,,51,--- Cluster 6,""
CP019329.1_48,,52,--- Cluster 6,""
CP019329.1_95,"",53,--- Cluster 6,""
LOAJ01000002.1_66,"",55,--- Cluster 7,""
CP084476.1_91,,56,--- Cluster 7,""
KX906370.1_82,,57,--- Cluster 7,""
KX687704.1_1,,58,--- Cluster 7,""
AOJE01000025.1_27,ORF6.faa,60,--- Cluster 8,ORF6.faa
NC_013748.1_36,,62,--- Cluster 9,""
CP101158.1_104,,64,--- Cluster 10,""
CP095494.1_20,,66,--- Cluster 11,""
RJJW01000001.1_21,,68,--- Cluster 12,""
RJJW01000001.1_15,,69,--- Cluster 12,""
RJJW01000001.1_23,"",70,--- Cluster 12,""
QKNW01000002.1_20,"",72,--- Cluster 13,""
KX687704.1_26,"",74,--- Cluster 14,""
LOAJ01000002.1_44,"",75,--- Cluster 14,""
KX906370.1_107,"",76,--- Cluster 14,""
LWLN01000003.1_29,"",77,--- Cluster 14,""
AOLZ01000012.1_35,"",78,--- Cluster 14,""
CP019286.1_34,"",79,--- Cluster 14,""
CP101158.1_93,"",80,--- Cluster 14,""
Eyre_NODE_236_length_33155_cov_19.932_26,"",81,--- Cluster 14,""
Eyresouth_NODE_101_length_48437_cov_7.17035_28,"",82,--- Cluster 14,""
Frome_NODE_383_length_24936_cov_4.316346_20,"",83,--- Cluster 14,""
JAAOHU010000009.1_54,"",84,--- Cluster 14,""
CP019329.1_57,"",85,--- Cluster 14,""
CP095494.1_52,"",86,--- Cluster 14,""
SRIF01000015.1_56,"",87,--- Cluster 14,""
SJER01000008.1_144,"",88,--- Cluster 14,""
CP119801.1_26,"",89,--- Cluster 14,""
FNFE01000011.1_39,"",90,--- Cluster 14,""
CP099999.1_26,"",91,--- Cluster 14,""
RJJW01000001.1_46,"",92,--- Cluster 14,""
WSZK01000033.1_21,"",93,--- Cluster 14,""
CP084476.1_52,"",94,--- Cluster 14,""
AOIR01000042.1_57,"",95,--- Cluster 14,""
CP101161.1_3069,"",96,--- Cluster 14,""
CP100004.1_22,"",97,--- Cluster 14,""
BBJN01000020.1_48,"",98,--- Cluster 14,""
Gairdner_NODE_167_length_41210_cov_9.888325_18,"",99,--- Cluster 14,""
JAJCVI010000002.1_573,"",100,--- Cluster 14,""
AOIO01000049.1_112,"",101,--- Cluster 14,""
AOIP01000022.1_36,"",102,--- Cluster 14,""
AOJE01000025.1_41,"",103,--- Cluster 14,""
CP031299.1_28,"",104,--- Cluster 14,""
JDTG01000019.1_101,"",105,--- Cluster 14,""
NC_015659.1_84,"",106,--- Cluster 14,""
Gairdner_NODE_107_length_49922_cov_74.384603_31,"",107,--- Cluster 14,""
FOXI01000018.1_35,"",108,--- Cluster 14,""
JAANTI010000009.1_19,"",109,--- Cluster 14,""
NC_013748.1_29,"",110,--- Cluster 14,""
AOJE01000051.1_19,"",111,--- Cluster 14,""
CP019329.1_56,"",112,--- Cluster 14,""
AOJE01000051.1_20,"",113,--- Cluster 14,""
AOJE01000025.1_54,,115,--- Cluster 15,""
AOIO01000049.1_91,"",117,--- Cluster 16,""
AOIR01000042.1_44,"",118,--- Cluster 16,""
LOAJ01000002.1_60,"",119,--- Cluster 16,""
Gairdner_NODE_167_length_41210_cov_9.888325_31,"",120,--- Cluster 16,""
LWLN01000003.1_14,"",121,--- Cluster 16,""
RJJW01000001.1_29,"",122,--- Cluster 16,""
KX687704.1_8,"",123,--- Cluster 16,""
KX906370.1_89,"",124,--- Cluster 16,""
SJER01000008.1_128,"",125,--- Cluster 16,""
QKNW01000002.1_40,"",126,--- Cluster 16,""
Eyresouth_NODE_101_length_48437_cov_7.17035_10,"",127,--- Cluster 16,""
Frome_NODE_383_length_24936_cov_4.316346_2,"",128,--- Cluster 16,""
JAJCVI010000007.1_14,"",129,--- Cluster 16,""
WSZK01000033.1_35,"",130,--- Cluster 16,""
SRIF01000015.1_78,"",131,--- Cluster 16,""
BBJN01000020.1_33,"",132,--- Cluster 16,""
CP101158.1_75,"",133,--- Cluster 16,""
CP101161.1_3056,"",134,--- Cluster 16,""
FOXI01000018.1_54,"",135,--- Cluster 16,""
CP095494.1_35,"",136,--- Cluster 16,""
JAJCVI010000002.1_558,"",137,--- Cluster 16,""
AOLZ01000012.1_20,"",138,--- Cluster 16,""
CP019286.1_49,"",139,--- Cluster 16,""
JDTG01000019.1_82,"",140,--- Cluster 16,""
CP119801.1_44,"",141,--- Cluster 16,""
Gairdner_NODE_107_length_49922_cov_74.384603_13,"",142,--- Cluster 16,""
NC_015659.1_101,"",143,--- Cluster 16,""
NC_013748.1_10,"",144,--- Cluster 16,""
CP084476.1_75,"",145,--- Cluster 16,""
JAAOHU010000009.1_3,"",146,--- Cluster 16,""
AOIP01000022.1_22,"",147,--- Cluster 16,""
CP099999.1_40,"",148,--- Cluster 16,""
CP019329.1_79,"",149,--- Cluster 16,""
AOJE01000025.1_28,"",150,--- Cluster 16,""
FNFE01000011.1_20,"",151,--- Cluster 16,""
JAANTI010000009.1_1,"",152,--- Cluster 16,""
CP031299.1_9,"",153,--- Cluster 16,""
CP100004.1_1,"",154,--- Cluster 16,""
AOJE01000051.1_48,"",155,--- Cluster 16,""
Eyre_NODE_236_length_33155_cov_19.932_44,"",156,--- Cluster 16,""
AOIR01000042.1_33,"",158,--- Cluster 17,""
Gairdner_NODE_167_length_41210_cov_9.888325_19,ORF24.faa,160,--- Cluster 18,ORF24.faa
CP095494.1_51,ORF24.faa,161,--- Cluster 18,ORF24.faa
LWLN01000003.1_28,ORF24.faa,162,--- Cluster 18,ORF24.faa
AOLZ01000012.1_34,ORF24.faa,163,--- Cluster 18,ORF24.faa
CP019286.1_35,ORF24.faa,164,--- Cluster 18,ORF24.faa
CP019329.1_60,ORF24.faa,165,--- Cluster 18,ORF24.faa
JAJCVI010000002.1_570,ORF24.faa,166,--- Cluster 18,ORF24.faa
CP101161.1_3068,ORF24.faa,167,--- Cluster 18,ORF24.faa
AOIR01000042.1_56,ORF24.faa,168,--- Cluster 18,ORF24.faa
WSZK01000033.1_46,,170,--- Cluster 19,""
QKNW01000002.1_6,,171,--- Cluster 19,""
BBJN01000020.1_49,"",173,--- Cluster 20,""
JAAOHU010000009.1_19,"",175,--- Cluster 21,""
CP100004.1_28,"",176,--- Cluster 21,""
CP099999.1_52,,177,--- Cluster 21,""
CP101158.1_56,"",178,--- Cluster 21,""
WSZK01000033.1_20,"",179,--- Cluster 21,""
CP100004.1_23,"",180,--- Cluster 21,""
Eyre_NODE_236_length_33155_cov_19.932_25,"",181,--- Cluster 21,""
Eyresouth_NODE_101_length_48437_cov_7.17035_29,"",182,--- Cluster 21,""
Frome_NODE_383_length_24936_cov_4.316346_21,"",183,--- Cluster 21,""
CP019329.1_55,"",184,--- Cluster 21,""
CP095494.1_53,"",185,--- Cluster 21,""
CP119801.1_25,"",186,--- Cluster 21,""
SRIF01000015.1_55,"",187,--- Cluster 21,""
Eyresouth_NODE_101_length_48437_cov_7.17035_1,,188,--- Cluster 21,""
AOIO01000049.1_105,"",190,--- Cluster 22,""
QKNW01000002.1_21,ORF24.faa,192,--- Cluster 23,ORF24.faa
RJJW01000001.1_45,ORF24.faa,193,--- Cluster 23,ORF24.faa
Eyre_NODE_236_length_33155_cov_19.932_27,ORF24.faa,194,--- Cluster 23,ORF24.faa
Eyresouth_NODE_101_length_48437_cov_7.17035_27,ORF24.faa,195,--- Cluster 23,ORF24.faa
Frome_NODE_383_length_24936_cov_4.316346_19,ORF24.faa,196,--- Cluster 23,ORF24.faa
JAJCVI010000007.1_12,ORF6.faa,198,--- Cluster 24,ORF6.faa
CP101161.1_3070,"",200,--- Cluster 25,""
FOXI01000018.1_32,,202,--- Cluster 26,""
JAANTI010000009.1_22,,203,--- Cluster 26,""
SJER01000008.1_143,ORF24.faa,205,--- Cluster 27,ORF24.faa
FNFE01000011.1_37,ORF24.faa,206,--- Cluster 27,ORF24.faa
SRIF01000015.1_58,ORF24.faa,207,--- Cluster 27,ORF24.faa
JAJCVI010000007.1_29,ORF24.faa,208,--- Cluster 27,ORF24.faa
CP099999.1_27,ORF24.faa,209,--- Cluster 27,ORF24.faa
CP119801.1_28,ORF24.faa,210,--- Cluster 27,ORF24.faa
JAAOHU010000009.1_55,ORF24.faa,211,--- Cluster 27,ORF24.faa
FOXI01000018.1_25,,213,--- Cluster 28,""
JAANTI010000009.1_28,,214,--- Cluster 28,""
RJJW01000001.1_14,,216,--- Cluster 29,""
RJJW01000001.1_24,"",217,--- Cluster 29,""
LOAJ01000002.1_45,ORF24.faa,219,--- Cluster 30,ORF24.faa
CP031299.1_27,ORF24.faa,220,--- Cluster 30,ORF24.faa
JDTG01000019.1_100,ORF24.faa,221,--- Cluster 30,ORF24.faa
BBJN01000020.1_46,ORF24.faa,222,--- Cluster 30,ORF24.faa
CP101158.1_91,ORF24.faa,223,--- Cluster 30,ORF24.faa
KX687704.1_25,ORF24.faa,224,--- Cluster 30,ORF24.faa
KX906370.1_106,ORF24.faa,225,--- Cluster 30,ORF24.faa
Gairdner_NODE_107_length_49922_cov_74.384603_29,ORF24.faa,226,--- Cluster 30,ORF24.faa
NC_013748.1_28,ORF24.faa,227,--- Cluster 30,ORF24.faa
WSZK01000033.1_22,ORF24.faa,228,--- Cluster 30,ORF24.faa
AOIO01000049.1_111,ORF24.faa,229,--- Cluster 30,ORF24.faa
AOIP01000022.1_35,ORF24.faa,230,--- Cluster 30,ORF24.faa
CP084476.1_53,ORF24.faa,231,--- Cluster 30,ORF24.faa
NC_015659.1_85,ORF24.faa,232,--- Cluster 30,ORF24.faa
FOXI01000018.1_39,ORF24.faa,233,--- Cluster 30,ORF24.faa
JAANTI010000009.1_16,ORF24.faa,234,--- Cluster 30,ORF24.faa
AOJE01000051.1_21,ORF24.faa,235,--- Cluster 30,ORF24.faa
CP100004.1_19,ORF24.faa,236,--- Cluster 30,ORF24.faa
AOJE01000025.1_40,ORF24.faa,237,--- Cluster 30,ORF24.faa
JAJCVI010000007.1_4,,239,--- Cluster 31,""
JAJCVI010000007.1_6,,241,--- Cluster 32,""
AOIR01000042.1_66,,242,--- Cluster 32,""
CP019286.1_52,"",244,--- Cluster 33,""
AOLZ01000012.1_17,"",245,--- Cluster 33,""
Eyresouth_NODE_101_length_48437_cov_7.17035_14,"",246,--- Cluster 33,""
Frome_NODE_383_length_24936_cov_4.316346_6,"",247,--- Cluster 33,""
NC_015659.1_97,"",248,--- Cluster 33,""
NC_015659.1_98,"",249,--- Cluster 33,""
JAJCVI010000007.1_2,,251,--- Cluster 34,""
AOJE01000051.1_53,"",253,--- Cluster 35,""
JAANTI010000009.1_31,,255,--- Cluster 36,""
FNFE01000011.1_23,"",257,--- Cluster 37,""
AOIO01000049.1_106,"",259,--- Cluster 38,""
AOJE01000025.1_51,,261,--- Cluster 39,""
BBJN01000020.1_61,,263,--- Cluster 40,""
JAJCVI010000007.1_9,"",265,--- Cluster 41,""
CP101161.1_3045,"",267,--- Cluster 42,""
JAJCVI010000002.1_575,"",269,--- Cluster 43,""
AOJE01000025.1_49,,271,--- Cluster 44,""
LOAJ01000002.1_35,,272,--- Cluster 44,""
CP101158.1_92,"",273,--- Cluster 44,""
QKNW01000002.1_17,"",275,--- Cluster 45,""
Eyre_NODE_236_length_33155_cov_19.932_24,"",276,--- Cluster 45,""
Eyresouth_NODE_101_length_48437_cov_7.17035_30,"",277,--- Cluster 45,""
Frome_NODE_383_length_24936_cov_4.316346_22,"",278,--- Cluster 45,""
AOJE01000051.1_18,"",279,--- Cluster 45,""
KX687704.1_28,"",280,--- Cluster 45,""
KX906370.1_109,"",281,--- Cluster 45,""
LOAJ01000002.1_40,"",282,--- Cluster 45,""
AOIP01000022.1_38,"",283,--- Cluster 45,""
CP101158.1_95,"",284,--- Cluster 45,""
WSZK01000033.1_18,"",285,--- Cluster 45,""
CP019329.1_54,,286,--- Cluster 45,""
CP100004.1_27,"",287,--- Cluster 45,""
CP119801.1_24,"",288,--- Cluster 45,""
SRIF01000015.1_53,"",289,--- Cluster 45,""
SJER01000008.1_146,"",290,--- Cluster 45,""
NC_015659.1_82,"",291,--- Cluster 45,""
LWLN01000003.1_32,"",292,--- Cluster 45,""
CP084476.1_50,"",293,--- Cluster 45,""
NC_013748.1_31,"",294,--- Cluster 45,""
CP031299.1_30,"",295,--- Cluster 45,""
JDTG01000019.1_103,"",296,--- Cluster 45,""
RJJW01000001.1_49,"",297,--- Cluster 45,""
JAJCVI010000007.1_32,"",298,--- Cluster 45,""
AOJE01000025.1_53,,300,--- Cluster 46,""
SRIF01000015.1_76,"",302,--- Cluster 47,""
CP101161.1_3049,"",304,--- Cluster 48,""
AOIO01000049.1_86,"",306,--- Cluster 49,""
CP084476.1_71,"",308,--- Cluster 50,""
CP031299.1_14,"",309,--- Cluster 50,""
JDTG01000019.1_87,"",310,--- Cluster 50,""
CP101158.1_106,,312,--- Cluster 51,""
AOIR01000042.1_34,"",314,--- Cluster 52,""
CP031299.1_13,"",316,--- Cluster 53,""
JDTG01000019.1_86,"",317,--- Cluster 53,""
Gairdner_NODE_107_length_49922_cov_74.384603_15,"",319,--- Cluster 54,""
LOAJ01000002.1_58,ORF10.faa,321,--- Cluster 55,ORF10.faa
KX687704.1_10,ORF10.faa,322,--- Cluster 55,ORF10.faa
KX906370.1_91,ORF10.faa,323,--- Cluster 55,ORF10.faa
AOJE01000051.1_40,ORF10.faa,324,--- Cluster 55,ORF10.faa
AOLZ01000012.1_22,ORF10.faa,325,--- Cluster 55,ORF10.faa
CP019286.1_47,ORF10.faa,326,--- Cluster 55,ORF10.faa
NC_013748.1_15,ORF10.faa,327,--- Cluster 55,ORF10.faa
CP084476.1_72,"",329,--- Cluster 56,""
WSZK01000033.1_14,,331,--- Cluster 57,""
JAJCVI010000007.1_8,"",333,--- Cluster 58,""
JAAOHU010000009.1_68,"",335,--- Cluster 59,""
SJER01000008.1_142,ORF23.faa,337,--- Cluster 60,ORF23.faa
RJJW01000001.1_44,ORF23.faa,338,--- Cluster 60,ORF23.faa
CP019329.1_61,ORF23.faa,339,--- Cluster 60,ORF23.faa
JAAOHU010000009.1_56,ORF23.faa,340,--- Cluster 60,ORF23.faa
SRIF01000015.1_59,ORF23.faa,341,--- Cluster 60,ORF23.faa
JAJCVI010000007.1_28,ORF23.faa,342,--- Cluster 60,ORF23.faa
CP119801.1_29,ORF23.faa,343,--- Cluster 60,ORF23.faa
QKNW01000002.1_22,ORF23.faa,344,--- Cluster 60,ORF23.faa
Eyre_NODE_236_length_33155_cov_19.932_28,ORF23.faa,345,--- Cluster 60,ORF23.faa
Eyresouth_NODE_101_length_48437_cov_7.17035_26,ORF23.faa,346,--- Cluster 60,ORF23.faa
Frome_NODE_383_length_24936_cov_4.316346_18,ORF23.faa,347,--- Cluster 60,ORF23.faa
CP095494.1_50,ORF23.faa,348,--- Cluster 60,ORF23.faa
FNFE01000011.1_36,ORF23.faa,349,--- Cluster 60,ORF23.faa
Gairdner_NODE_167_length_41210_cov_9.888325_20,ORF23.faa,350,--- Cluster 60,ORF23.faa
AOLZ01000012.1_33,ORF23.faa,351,--- Cluster 60,ORF23.faa
CP019286.1_36,ORF23.faa,352,--- Cluster 60,ORF23.faa
CP099999.1_28,ORF23.faa,353,--- Cluster 60,ORF23.faa
AOIR01000042.1_55,ORF23.faa,354,--- Cluster 60,ORF23.faa
LWLN01000003.1_27,ORF23.faa,355,--- Cluster 60,ORF23.faa
WSZK01000033.1_23,ORF23.faa,356,--- Cluster 60,ORF23.faa
JAJCVI010000002.1_569,ORF23.faa,357,--- Cluster 60,ORF23.faa
CP101158.1_90,ORF23.faa,358,--- Cluster 60,ORF23.faa
AOJE01000025.1_39,ORF23.faa,359,--- Cluster 60,ORF23.faa
LOAJ01000002.1_46,ORF23.faa,360,--- Cluster 60,ORF23.faa
KX687704.1_24,ORF23.faa,361,--- Cluster 60,ORF23.faa
KX906370.1_105,ORF23.faa,362,--- Cluster 60,ORF23.faa
FOXI01000018.1_40,ORF23.faa,363,--- Cluster 60,ORF23.faa
JAANTI010000009.1_15,ORF23.faa,364,--- Cluster 60,ORF23.faa
CP084476.1_54,ORF23.faa,365,--- Cluster 60,ORF23.faa
BBJN01000020.1_45,ORF23.faa,366,--- Cluster 60,ORF23.faa
NC_013748.1_27,ORF23.faa,367,--- Cluster 60,ORF23.faa
NC_015659.1_86,ORF23.faa,368,--- Cluster 60,ORF23.faa
CP100004.1_17,ORF23.faa,369,--- Cluster 60,ORF23.faa
CP031299.1_26,ORF23.faa,370,--- Cluster 60,ORF23.faa
JDTG01000019.1_99,ORF23.faa,371,--- Cluster 60,ORF23.faa
AOIO01000049.1_110,ORF23.faa,372,--- Cluster 60,ORF23.faa
AOIP01000022.1_34,ORF23.faa,373,--- Cluster 60,ORF23.faa
Gairdner_NODE_107_length_49922_cov_74.384603_28,ORF23.faa,374,--- Cluster 60,ORF23.faa
CP101161.1_3067,ORF23.faa,375,--- Cluster 60,ORF23.faa
CP101161.1_3079,,377,--- Cluster 61,""
CP101161.1_3051,"",378,--- Cluster 61,""
RJJW01000001.1_50,"",380,--- Cluster 62,""
BBJN01000020.1_50,"",382,--- Cluster 63,""
BBJN01000020.1_58,,384,--- Cluster 64,""
AOJE01000025.1_46,,386,--- Cluster 65,""
CP101161.1_3080,,388,--- Cluster 66,""
SRIF01000015.1_50,,390,--- Cluster 67,""
LWLN01000003.1_43,"",391,--- Cluster 67,""
KX906370.1_110,"",393,--- Cluster 68,""
KX687704.1_40,,394,--- Cluster 68,""
RJJW01000001.1_52,"",395,--- Cluster 68,""
AOJE01000051.1_17,"",396,--- Cluster 68,""
KX687704.1_29,"",397,--- Cluster 68,""
FNFE01000011.1_11,,398,--- Cluster 68,""
LOAJ01000002.1_39,,399,--- Cluster 68,""
CP101158.1_61,"",400,--- Cluster 68,""
FNFE01000011.1_12,,401,--- Cluster 68,""
CP019329.1_94,"",402,--- Cluster 68,""
CP119801.1_56,,403,--- Cluster 68,""
CP099999.1_48,,404,--- Cluster 68,""
CP084476.1_87,,405,--- Cluster 68,""
Gairdner_NODE_167_length_41210_cov_9.888325_8,,407,--- Cluster 69,""
Gairdner_NODE_107_length_49922_cov_74.384603_40,,409,--- Cluster 70,""
CP099999.1_18,,410,--- Cluster 70,""
NC_013748.1_14,"",412,--- Cluster 71,""
JAJCVI010000007.1_41,,414,--- Cluster 72,""
Gairdner_NODE_167_length_41210_cov_9.888325_7,,416,--- Cluster 73,""
JAJCVI010000007.1_22,ORF17.faa,418,--- Cluster 74,ORF17.faa
AOLZ01000012.1_27,ORF17.faa,419,--- Cluster 74,ORF17.faa
CP019329.1_67,ORF17.faa,420,--- Cluster 74,ORF17.faa
SJER01000008.1_136,ORF17.faa,421,--- Cluster 74,ORF17.faa
JAAOHU010000009.1_62,ORF17.faa,422,--- Cluster 74,ORF17.faa
CP019286.1_42,ORF17.faa,423,--- Cluster 74,ORF17.faa
CP099999.1_34,ORF17.faa,424,--- Cluster 74,ORF17.faa
FNFE01000011.1_30,ORF17.faa,425,--- Cluster 74,ORF17.faa
CP101158.1_84,ORF17.faa,426,--- Cluster 74,ORF17.faa
NC_013748.1_21,ORF17.faa,427,--- Cluster 74,ORF17.faa
LWLN01000003.1_21,ORF17.faa,428,--- Cluster 74,ORF17.faa
CP031299.1_20,ORF17.faa,429,--- Cluster 74,ORF17.faa
JDTG01000019.1_93,ORF17.faa,430,--- Cluster 74,ORF17.faa
AOIO01000049.1_99,ORF17.faa,431,--- Cluster 74,ORF17.faa
RJJW01000001.1_38,ORF17.faa,432,--- Cluster 74,ORF17.faa
AOIP01000022.1_28,ORF17.faa,433,--- Cluster 74,ORF17.faa
NC_015659.1_92,ORF17.faa,434,--- Cluster 74,ORF17.faa
WSZK01000033.1_29,ORF17.faa,435,--- Cluster 74,ORF17.faa
CP084476.1_60,ORF17.faa,436,--- Cluster 74,ORF17.faa
Eyresouth_NODE_101_length_48437_cov_7.17035_20,ORF17.faa,437,--- Cluster 74,ORF17.faa
Frome_NODE_383_length_24936_cov_4.316346_12,ORF17.faa,438,--- Cluster 74,ORF17.faa
QKNW01000002.1_28,ORF17.faa,439,--- Cluster 74,ORF17.faa
Gairdner_NODE_167_length_41210_cov_9.888325_26,ORF17.faa,440,--- Cluster 74,ORF17.faa
Eyre_NODE_236_length_33155_cov_19.932_34,ORF17.faa,441,--- Cluster 74,ORF17.faa
CP119801.1_35,ORF17.faa,442,--- Cluster 74,ORF17.faa
KX687704.1_18,ORF17.faa,443,--- Cluster 74,ORF17.faa
KX906370.1_99,ORF17.faa,444,--- Cluster 74,ORF17.faa
SRIF01000015.1_66,ORF17.faa,445,--- Cluster 74,ORF17.faa
AOIR01000042.1_49,ORF17.faa,446,--- Cluster 74,ORF17.faa
AOJE01000051.1_29,ORF17.faa,447,--- Cluster 74,ORF17.faa
CP095494.1_44,ORF17.faa,448,--- Cluster 74,ORF17.faa
LOAJ01000002.1_52,ORF17.faa,449,--- Cluster 74,ORF17.faa
JAJCVI010000002.1_563,ORF17.faa,450,--- Cluster 74,ORF17.faa
CP100004.1_10,ORF17.faa,451,--- Cluster 74,ORF17.faa
Gairdner_NODE_107_length_49922_cov_74.384603_21,ORF17.faa,452,--- Cluster 74,ORF17.faa
FOXI01000018.1_47,ORF17.faa,453,--- Cluster 74,ORF17.faa
JAANTI010000009.1_8,ORF17.faa,454,--- Cluster 74,ORF17.faa
BBJN01000020.1_39,ORF17.faa,455,--- Cluster 74,ORF17.faa
CP101161.1_3061,ORF17.faa,456,--- Cluster 74,ORF17.faa
AOJE01000025.1_34,ORF17.faa,457,--- Cluster 74,ORF17.faa
CP095494.1_43,"",458,--- Cluster 74,ORF17.faa
CP119801.1_36,"",459,--- Cluster 74,ORF17.faa
RJJW01000001.1_27,"",461,--- Cluster 75,""
AOIR01000042.1_26,,463,--- Cluster 76,""
CP101158.1_105,,465,--- Cluster 77,""
KX687704.1_33,,467,--- Cluster 78,""
AOIR01000042.1_37,ORF6.faa,469,--- Cluster 79,ORF6.faa
QKNW01000002.1_18,ORF6.faa,470,--- Cluster 79,ORF6.faa
CP019329.1_76,"",472,--- Cluster 80,""
KX687704.1_12,"",474,--- Cluster 81,""
KX906370.1_93,"",475,--- Cluster 81,""
LOAJ01000002.1_65,"",476,--- Cluster 81,""
AOLZ01000012.1_8,,477,--- Cluster 81,""
CP019286.1_62,,478,--- Cluster 81,""
AOLZ01000012.1_13,,479,--- Cluster 81,""
CP019286.1_56,,480,--- Cluster 81,""
CP019329.1_89,"",481,--- Cluster 81,""
AOIO01000049.1_75,,482,--- Cluster 81,""
Eyresouth_NODE_101_length_48437_cov_7.17035_32,"",484,--- Cluster 82,""
CP019329.1_45,,486,--- Cluster 83,""
Eyre_NODE_236_length_33155_cov_19.932_23,"",487,--- Cluster 83,""
Eyresouth_NODE_101_length_48437_cov_7.17035_31,"",488,--- Cluster 83,""
Frome_NODE_383_length_24936_cov_4.316346_23,"",489,--- Cluster 83,""
KX687704.1_34,,490,--- Cluster 83,""
NC_015659.1_78,,491,--- Cluster 83,""
CP084476.1_42,,492,--- Cluster 83,""
CP101158.1_102,,493,--- Cluster 83,""
JAJCVI010000002.1_582,,495,--- Cluster 84,""
Eyresouth_NODE_101_length_48437_cov_7.17035_3,,497,--- Cluster 85,""
AOJE01000051.1_31,"",499,--- Cluster 86,""
KX906370.1_85,"",500,--- Cluster 86,""
WSZK01000033.1_9,,502,--- Cluster 87,""
SJER01000008.1_149,,503,--- Cluster 87,""
CP119801.1_19,,504,--- Cluster 87,""
Gairdner_NODE_107_length_49922_cov_74.384603_35,,505,--- Cluster 87,""
CP031299.1_40,"",506,--- Cluster 87,""
JDTG01000019.1_113,,507,--- Cluster 87,""
AOLZ01000012.1_46,,508,--- Cluster 87,""
CP019286.1_23,,509,--- Cluster 87,""
AOIP01000022.1_45,,510,--- Cluster 87,""
LWLN01000003.1_42,"",511,--- Cluster 87,""
JAAOHU010000009.1_51,"",512,--- Cluster 87,""
NC_013748.1_37,,513,--- Cluster 87,""
FNFE01000011.1_44,,514,--- Cluster 87,""
CP095494.1_63,,515,--- Cluster 87,""
JAJCVI010000007.1_5,,517,--- Cluster 88,""
CP084476.1_76,"",519,--- Cluster 89,""
CP031299.1_41,"",520,--- Cluster 89,""
JDTG01000019.1_114,,521,--- Cluster 89,""
