gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf	manual_min_orf	manual_max_orf
CP019329.1_85	132	Pfam	Homing endonuclease associated repeat	14	65	8.9e-15	CP019329.1	85	55	85
CP031299.1_29	313	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	241	9.6e-24	CP031299.1	29	1	33
CP084476.1_68	96	Pfam	HNH endonuclease	24	66	6.4e-07	CP084476.1	68	48	82
CP084476.1_76	413	Pfam	HNH endonuclease	347	399	1.7e-09	CP084476.1	76	48	82
CP084476.1_76	413	Pfam	Homing endonuclease associated repeat	8	61	4.8e-17	CP084476.1	76	48	82
CP084476.1_51	313	FunFam	DNA helicase	108	157	1.3e-08	CP084476.1	51	48	82
CP084476.1_51	313	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	30	227	2.1e-20	CP084476.1	51	48	82
CP084476.1_83	180	Pfam	Homing endonuclease associated repeat	3	54	3.5e-20	CP084476.1	83	48	82
CP084476.1_83	180	Pfam	Homing endonuclease associated repeat	62	113	3.2e-16	CP084476.1	83	48	82
CP084476.1_83	180	Pfam	Homing endonuclease associated repeat	124	176	6.3e-19	CP084476.1	83	48	82
CP095494.1_53	319	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	19	258	2.3e-23	CP095494.1	53	28	56
CP095494.1_20	949	NCBIfam	CRISPR-associated endonuclease Cas3''	18	235	1.9e-19	CP095494.1	20	28	56
CP095494.1_30	180	Pfam	Homing endonuclease associated repeat	125	176	1.1e-16	CP095494.1	30	28	56
CP095494.1_30	180	Pfam	Homing endonuclease associated repeat	62	113	3.3e-15	CP095494.1	30	28	56
CP095494.1_30	180	Pfam	Homing endonuclease associated repeat	3	55	1.1e-20	CP095494.1	30	28	56
CP095494.1_22	331	PANTHER	CRISPR-ASSOCIATED ENDONUCLEASE CAS1	5	331	5.7e-103	CP095494.1	22	28	56
CP095494.1_22	331	NCBIfam	CRISPR-associated endonuclease Cas1	8	326	2.3e-80	CP095494.1	22	28	56
CP095494.1_22	331	NCBIfam	type I-B CRISPR-associated endonuclease Cas1b	5	331	4.8e-118	CP095494.1	22	28	56
CP095494.1_23	86	NCBIfam	CRISPR-associated endonuclease Cas2	1	76	2e-10	CP095494.1	23	28	56
CP099999.1_52	689	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	651	0	CP099999.1	52	22	46
CP099999.1_52	689	FunFam	DNA helicase	128	178	7.4e-07	CP099999.1	52	22	46
CP100004.1_23	324	FunFam	DNA helicase	133	180	3.6e-08	CP100004.1	23	1	24
CP100004.1_23	324	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	14	263	5.6e-30	CP100004.1	23	1	24
CP100004.1_28	697	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	13	662	0	CP100004.1	28	1	24
CP100004.1_28	697	FunFam	DNA helicase	126	176	3.4e-09	CP100004.1	28	1	24
CP101158.1_56	689	FunFam	DNA helicase	126	177	7.1e-09	CP101158.1	56	66	96
CP101158.1_56	689	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	648	2.5e-127	CP101158.1	56	66	96
CP101158.1_49	298	CDD	PCNA	54	295	6.73403e-36	CP101158.1	49	66	96
CP101158.1_49	298	SUPERFAMILY	DNA clamp	155	267	2.69e-19	CP101158.1	49	66	96
CP101158.1_49	298	SUPERFAMILY	DNA clamp	43	153	2.69e-15	CP101158.1	49	66	96
CP101158.1_96	277	Pfam	HNH endonuclease	215	254	1.7e-10	CP101158.1	96	66	96
CP101158.1_68	342	CDD	HLD_clamp_RarA	180	250	2.29466e-07	CP101158.1	68	66	96
CP101158.1_61	380	CDD	HLD_clamp_RarA	217	287	2.20192e-07	CP101158.1	61	66	96
CP101158.1_111	713	Pfam	DNA polymerase family B	329	659	2.8e-24	CP101158.1	111	66	96
CP101158.1_111	713	PANTHER	DNA POLYMERASE CATALYTIC SUBUNIT	275	678	8e-54	CP101158.1	111	66	96
CP101158.1_111	713	SUPERFAMILY	DNA/RNA polymerases	295	697	1.67e-70	CP101158.1	111	66	96
CP101158.1_111	713	Gene3D	Palm domain of DNA polymerase	337	525	6.5e-52	CP101158.1	111	66	96
CP101161.1_3038	94	SUPERFAMILY	lambda repressor-like DNA-binding domains	6	65	1.1e-14	CP101161.1	3038	3050	3073
CP101161.1_3045	580	PANTHER	HELICASE MJ1565-RELATED	104	254	4e-21	CP101161.1	3045	3050	3073
CP101161.1_3045	580	Pfam	Helicase HerA, central domain	7	91	2e-08	CP101161.1	3045	3050	3073
CP101161.1_3048	413	PANTHER	DNA REPAIR POLYMERASE UMUC / TRANSFERASE FAMILY MEMBER	13	385	8.4e-77	CP101161.1	3048	3050	3073
CP101161.1_3048	413	SUPERFAMILY	Lesion bypass DNA polymerase (Y-family), little finger domain	278	375	2.75e-17	CP101161.1	3048	3050	3073
CP101161.1_3048	413	SUPERFAMILY	DNA/RNA polymerases	11	273	4.8e-66	CP101161.1	3048	3050	3073
CP101161.1_3050	137	Gene3D	Jelly Rolls	15	133	1e-20	CP101161.1	3050	3050	3073
CP119801.1_53	180	Pfam	Homing endonuclease associated repeat	3	54	1.4e-21	CP119801.1	53	23	50
CP119801.1_53	180	Pfam	Homing endonuclease associated repeat	125	176	1.3e-18	CP119801.1	53	23	50
CP119801.1_53	180	Pfam	Homing endonuclease associated repeat	64	113	6.4e-14	CP119801.1	53	23	50
CP119801.1_25	319	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	19	269	8.6e-24	CP119801.1	25	23	50
Eyre_NODE_236_length_33155_cov_19.932_25	323	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	245	6.8e-25	Eyre_NODE_236_length_33155_cov_19.932	25	22	44
Eyre_NODE_236_length_33155_cov_19.932_25	323	FunFam	DNA helicase	132	180	2.6e-08	Eyre_NODE_236_length_33155_cov_19.932	25	22	44
Eyre_NODE_236_length_33155_cov_19.932_15	136	Pfam	Homing endonuclease associated repeat	1	29	2.2e-09	Eyre_NODE_236_length_33155_cov_19.932	15	22	44
Eyre_NODE_236_length_33155_cov_19.932_5	594	PANTHER	HELICASE MJ1565-RELATED	105	255	3.1e-19	Eyre_NODE_236_length_33155_cov_19.932	5	22	44
Eyre_NODE_236_length_33155_cov_19.932_5	594	Pfam	Helicase HerA, central domain	41	81	2.8e-07	Eyre_NODE_236_length_33155_cov_19.932	5	22	44
Eyresouth_NODE_101_length_48437_cov_7.17035_50	594	PANTHER	HELICASE MJ1565-RELATED	104	253	9.6e-18	Eyresouth_NODE_101_length_48437_cov_7.17035	50	4	32
Eyresouth_NODE_101_length_48437_cov_7.17035_29	323	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	245	6.3e-26	Eyresouth_NODE_101_length_48437_cov_7.17035	29	4	32
Eyresouth_NODE_101_length_48437_cov_7.17035_29	323	FunFam	DNA helicase	132	180	2.5e-09	Eyresouth_NODE_101_length_48437_cov_7.17035	29	4	32
Eyresouth_NODE_101_length_48437_cov_7.17035_1	249	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	12	242	9.3e-32	Eyresouth_NODE_101_length_48437_cov_7.17035	1	4	32
Eyresouth_NODE_218_length_34093_cov_9.73377_27	118	Pfam	HNH endonuclease	48	96	8.4e-10	Eyresouth_NODE_218_length_34093_cov_9.73377	27	14	28
Eyresouth_NODE_218_length_34093_cov_9.73377_25	335	CDD	HLD_clamp_RarA	181	250	2.46831e-08	Eyresouth_NODE_218_length_34093_cov_9.73377	25	14	28
FNFC01000002.1_145	331	NCBIfam	type I-B CRISPR-associated endonuclease Cas1b	6	331	1.1e-115	FNFC01000002.1	145	151	164
FNFC01000002.1_145	331	PANTHER	CRISPR-ASSOCIATED ENDONUCLEASE CAS1	5	331	3.9e-102	FNFC01000002.1	145	151	164
FNFC01000002.1_145	331	NCBIfam	CRISPR-associated endonuclease Cas1	8	324	1.5e-83	FNFC01000002.1	145	151	164
FNFC01000002.1_146	86	NCBIfam	CRISPR-associated endonuclease Cas2	1	66	2.5e-08	FNFC01000002.1	146	151	164
FNFC01000002.1_149	414	NCBIfam	RNA-guided endonuclease TnpB family protein	30	363	4.1e-50	FNFC01000002.1	149	151	164
FNFC01000002.1_149	414	Pfam	Putative transposase DNA-binding domain	297	364	2.3e-21	FNFC01000002.1	149	151	164
FNFC01000002.1_175	144	PANTHER	23S RRNA-SPECIFIC ENDONUCLEASE VAPC20	4	130	4.6e-34	FNFC01000002.1	175	151	164
FNFC01000002.1_181	243	CDD	Ser_Recombinase	9	143	1.2536e-17	FNFC01000002.1	181	151	164
FNFC01000002.1_143	941	NCBIfam	CRISPR-associated endonuclease Cas3''	31	236	5.1e-18	FNFC01000002.1	143	151	164
FNFC01000002.1_133	1584	PANTHER	DNA2/NAM7 HELICASE FAMILY MEMBER	993	1551	3.8e-35	FNFC01000002.1	133	151	164
FNFE01000011.1_12	353	NCBIfam	orc1/cdc6 family replication initiation protein	3	326	2.1e-54	FNFE01000011.1	12	14	42
FNFE01000011.1_12	353	CDD	HLD_clamp_RarA	183	251	1.60638e-06	FNFE01000011.1	12	14	42
FNFE01000011.1_11	412	FunFam	ORC1-type DNA replication protein	194	286	3.1e-26	FNFE01000011.1	11	14	42
FNFE01000011.1_11	412	Pfam	CDC6, C terminal winged helix domain	303	385	1.7e-16	FNFE01000011.1	11	14	42
FNFE01000011.1_11	412	CDD	Cdc6_C	296	382	1.72156e-16	FNFE01000011.1	11	14	42
FNFE01000011.1_11	412	SMART	Cdc6_C_2	303	388	1.7e-11	FNFE01000011.1	11	14	42
FNFE01000011.1_11	412	FunFam	ORC1-type DNA replication protein	26	207	7.1e-58	FNFE01000011.1	11	14	42
FNFE01000011.1_11	412	NCBIfam	orc1/cdc6 family replication initiation protein	10	376	0	FNFE01000011.1	11	14	42
FOIS01000007.1_50	160	Pfam	HNH endonuclease	26	74	3.7e-08	FOIS01000007.1	50	13	34
Frome_NODE_208_length_31991_cov_42.105993_38	1167	Gene3D	Bifunctional DNA primase/polymerase domain	55	193	1.9e-06	Frome_NODE_208_length_31991_cov_42.105993	38	19	32
Frome_NODE_383_length_24936_cov_4.316346_21	323	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	245	3.4e-26	Frome_NODE_383_length_24936_cov_4.316346	21	1	23
Frome_NODE_383_length_24936_cov_4.316346_21	323	FunFam	DNA helicase	132	180	2.5e-09	Frome_NODE_383_length_24936_cov_4.316346	21	1	23
Gairdner_NODE_1649_length_16492_cov_7.650423_1	672	Pfam	Helicase HerA, central domain	169	386	1.5e-06	Gairdner_NODE_1649_length_16492_cov_7.650423	1	6	17
Gairdner_NODE_167_length_41210_cov_9.888325_15	114	Pfam	HNH endonuclease	46	95	4.7e-09	Gairdner_NODE_167_length_41210_cov_9.888325	15	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_50	182	SUPERFAMILY	GIY-YIG endonuclease	17	77	7.98e-06	Gairdner_NODE_167_length_41210_cov_9.888325	50	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_5	306	Gene3D	Putative Large Serine Recombinase; Chain B, Domain 2	147	271	6.2e-21	Gairdner_NODE_167_length_41210_cov_9.888325	5	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_5	306	CDD	Ser_Recombinase	18	151	1.05218e-36	Gairdner_NODE_167_length_41210_cov_9.888325	5	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_5	306	Pfam	Recombinase	184	253	3.7e-16	Gairdner_NODE_167_length_41210_cov_9.888325	5	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_8	474	CDD	Ser_Recombinase	124	263	1.48299e-20	Gairdner_NODE_167_length_41210_cov_9.888325	8	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_8	474	Pfam	Recombinase	296	388	2.4e-06	Gairdner_NODE_167_length_41210_cov_9.888325	8	14	37
Gairdner_NODE_167_length_41210_cov_9.888325_8	474	Gene3D	Putative Large Serine Recombinase; Chain B, Domain 2	257	389	2.1e-16	Gairdner_NODE_167_length_41210_cov_9.888325	8	14	37
Gairdner_NODE_217_length_37248_cov_7.812599_7	688	FunFam	DNA helicase	130	179	1e-09	Gairdner_NODE_217_length_37248_cov_7.812599	7	15	32
Gairdner_NODE_217_length_37248_cov_7.812599_7	688	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	14	654	4.2e-159	Gairdner_NODE_217_length_37248_cov_7.812599	7	15	32
Gairdner_NODE_217_length_37248_cov_7.812599_37	662	Pfam	Helicase HerA, central domain	158	379	7.9e-11	Gairdner_NODE_217_length_37248_cov_7.812599	37	15	32
Gairdner_NODE_4298_length_11003_cov_3.762240_10	231	CDD	Ser_Recombinase	8	105	2.25033e-15	Gairdner_NODE_4298_length_11003_cov_3.762240	10	1	12
JAAOHU010000009.1_15	116	Pfam	HNH endonuclease	47	96	2.5e-09	JAAOHU010000009.1	15	1	68
JAAOHU010000009.1_19	706	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	16	689	0	JAAOHU010000009.1	19	1	68
JAAOHU010000009.1_19	706	FunFam	DNA helicase	142	190	2.3e-09	JAAOHU010000009.1	19	1	68
JAJCVI010000002.1_593	217	Pfam	HTH DNA binding domain	161	212	2e-16	JAJCVI010000002.1	593	552	575
JAJCVI010000002.1_536	171	SUPERFAMILY	Sigma3 and sigma4 domains of RNA polymerase sigma factors	14	71	1.2e-07	JAJCVI010000002.1	536	552	575
JAJCVI010000007.1_49	74	Pfam	'Cold-shock' DNA-binding domain	5	64	5.1e-10	JAJCVI010000007.1	49	7	34
JAJCVI010000007.1_3	299	Gene3D	Endonuclease Chain A	117	294	6.1e-24	JAJCVI010000007.1	3	7	34
JAJCVI010000007.1_10	287	SUPERFAMILY	Restriction endonuclease-like	9	194	2.36e-23	JAJCVI010000007.1	10	7	34
JAJCVI010000007.1_10	287	Gene3D	DNA mismatch repair MutH/Restriction endonuclease, type II	3	213	8.7e-34	JAJCVI010000007.1	10	7	34
JAJCVI010000007.1_10	287	Pfam	DNA mismatch repair enzyme MutH	58	163	5.8e-23	JAJCVI010000007.1	10	7	34
JAJCVI010000007.1_35	147	PANTHER	23S RRNA-SPECIFIC ENDONUCLEASE VAPC20	2	124	9.7e-15	JAJCVI010000007.1	35	7	34
JAJCVI010000007.1_33	144	PANTHER	23S RRNA-SPECIFIC ENDONUCLEASE VAPC20	4	130	3.2e-36	JAJCVI010000007.1	33	7	34
JAJNEG010000027.1_20	273	SUPERFAMILY	DNA clamp	17	137	1.53e-18	JAJNEG010000027.1	20	1	11
JAJNEG010000027.1_20	273	CDD	PCNA	31	270	5.98268e-29	JAJNEG010000027.1	20	1	11
JAJNEG010000027.1_20	273	SUPERFAMILY	DNA clamp	137	270	1.44e-14	JAJNEG010000027.1	20	1	11
JAJNEG010000028.1_10	415	FunFam	ORC1-type DNA replication protein	205	297	2.2e-24	JAJNEG010000028.1	10	9	25
JAJNEG010000028.1_10	415	Pfam	CDC6, C terminal winged helix domain	315	394	4.5e-11	JAJNEG010000028.1	10	9	25
JAJNEG010000028.1_10	415	NCBIfam	orc1/cdc6 family replication initiation protein	13	386	1.3e-109	JAJNEG010000028.1	10	9	25
JAJNEG010000028.1_1	1167	Pfam	MmeI, helicase spacer domain	297	453	5.1e-08	JAJNEG010000028.1	1	9	25
JAKRVX010000010.1_26	392	CDD	Cdc6_C	299	385	5.30936e-19	JAKRVX010000010.1	26	2	15
JAKRVX010000010.1_26	392	Pfam	CDC6, C terminal winged helix domain	306	388	5.2e-16	JAKRVX010000010.1	26	2	15
JAKRVX010000010.1_26	392	NCBIfam	orc1/cdc6 family replication initiation protein	12	378	2.8e-121	JAKRVX010000010.1	26	2	15
JAKRVX010000010.1_26	392	SMART	Cdc6_C_2	306	389	3.1e-13	JAKRVX010000010.1	26	2	15
JAKRVX010000010.1_26	392	FunFam	ORC1-type DNA replication protein	197	289	8.8e-22	JAKRVX010000010.1	26	2	15
JDTG01000019.1_73	180	Pfam	Homing endonuclease associated repeat	62	113	2e-17	JDTG01000019.1	73	77	105
JDTG01000019.1_73	180	Pfam	Homing endonuclease associated repeat	3	55	1.7e-18	JDTG01000019.1	73	77	105
JDTG01000019.1_73	180	Pfam	Homing endonuclease associated repeat	125	176	2.6e-17	JDTG01000019.1	73	77	105
JDTG01000019.1_102	313	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	241	9.6e-24	JDTG01000019.1	102	77	105
JDTG01000019.1_58	395	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	4	346	3.4e-20	JDTG01000019.1	58	77	105
JDTG01000019.1_77	282	Pfam	HNH endonuclease	24	66	1.5e-09	JDTG01000019.1	77	77	105
KX687704.1_29	415	FunFam	ORC1-type DNA replication protein	205	297	2.2e-24	KX687704.1	29	2	30
KX687704.1_29	415	Pfam	CDC6, C terminal winged helix domain	315	394	4.5e-11	KX687704.1	29	2	30
KX687704.1_29	415	NCBIfam	orc1/cdc6 family replication initiation protein	13	386	1.3e-109	KX687704.1	29	2	30
KX687704.1_40	429	SMART	Cdc6_C_2	339	424	4.2e-11	KX687704.1	40	2	30
KX687704.1_40	429	CDD	Cdc6_C	332	420	1.54649e-18	KX687704.1	40	2	30
KX687704.1_40	429	FunFam	ORC1-type DNA replication protein	230	322	1.6e-23	KX687704.1	40	2	30
KX687704.1_40	429	Pfam	CDC6, C terminal winged helix domain	339	422	3e-16	KX687704.1	40	2	30
KX687704.1_40	429	NCBIfam	orc1/cdc6 family replication initiation protein	43	412	6e-109	KX687704.1	40	2	30
KX687704.1_43	264	NCBIfam	orc1/cdc6 family replication initiation protein	1	245	1.6e-79	KX687704.1	43	2	30
KX687704.1_43	264	FunFam	ORC1-type DNA replication protein	63	156	1.7e-23	KX687704.1	43	2	30
KX687704.1_43	264	CDD	Cdc6_C	181	252	2.26231e-13	KX687704.1	43	2	30
KX687704.1_43	264	Pfam	CDC6, C terminal winged helix domain	173	253	5.4e-18	KX687704.1	43	2	30
KX687704.1_43	264	SMART	Cdc6_C_2	173	256	1.4e-11	KX687704.1	43	2	30
KX687704.1_12	434	NCBIfam	RNA-guided endonuclease TnpB family protein	29	370	4.7e-40	KX687704.1	12	2	30
KX687704.1_12	434	Pfam	Putative transposase DNA-binding domain	302	371	7.1e-22	KX687704.1	12	2	30
KX906370.1_85	417	NCBIfam	RNA-guided endonuclease TnpB family protein	22	379	5.3e-54	KX906370.1	85	83	111
KX906370.1_85	417	Pfam	Putative transposase DNA-binding domain	310	378	7.7e-19	KX906370.1	85	83	111
KX906370.1_110	478	NCBIfam	orc1/cdc6 family replication initiation protein	76	449	2.1e-109	KX906370.1	110	83	111
KX906370.1_110	478	FunFam	ORC1-type DNA replication protein	268	360	2.7e-24	KX906370.1	110	83	111
KX906370.1_110	478	Pfam	CDC6, C terminal winged helix domain	378	457	5.7e-11	KX906370.1	110	83	111
KX906370.1_73	273	SUPERFAMILY	DNA clamp	17	137	1.53e-18	KX906370.1	73	83	111
KX906370.1_73	273	CDD	PCNA	31	270	5.98268e-29	KX906370.1	73	83	111
KX906370.1_73	273	SUPERFAMILY	DNA clamp	137	270	1.44e-14	KX906370.1	73	83	111
KX906370.1_129	172	Pfam	Putative transposase DNA-binding domain	63	133	9.5e-22	KX906370.1	129	83	111
KX906370.1_129	172	NCBIfam	RNA-guided endonuclease TnpB family protein	15	133	2.6e-33	KX906370.1	129	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	252	304	5e-20	KX906370.1	66	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	311	363	7e-21	KX906370.1	66	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	191	243	2.7e-18	KX906370.1	66	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	369	418	4.2e-18	KX906370.1	66	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	3	56	1.7e-17	KX906370.1	66	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	65	117	2.3e-21	KX906370.1	66	83	111
KX906370.1_66	425	Pfam	Homing endonuclease associated repeat	128	180	2.4e-17	KX906370.1	66	83	111
KX906370.1_93	434	NCBIfam	RNA-guided endonuclease TnpB family protein	29	370	4.7e-40	KX906370.1	93	83	111
KX906370.1_93	434	Pfam	Putative transposase DNA-binding domain	302	371	7.1e-22	KX906370.1	93	83	111
LOAJ01000002.1_65	393	Pfam	Putative transposase DNA-binding domain	319	385	5.6e-22	LOAJ01000002.1	65	40	66
LOAJ01000002.1_65	393	NCBIfam	RNA-guided endonuclease TnpB family protein	85	386	1.1e-39	LOAJ01000002.1	65	40	66
LOAJ01000002.1_37	203	Gene3D	Jelly Rolls	34	171	1.7e-15	LOAJ01000002.1	37	40	66
LOAJ01000002.1_39	398	Pfam	CDC6, C terminal winged helix domain	320	394	7.2e-15	LOAJ01000002.1	39	40	66
LOAJ01000002.1_39	398	FunFam	ORC1-type DNA replication protein	201	292	1.2e-28	LOAJ01000002.1	39	40	66
LOAJ01000002.1_39	398	CDD	Cdc6_C	302	391	5.59077e-17	LOAJ01000002.1	39	40	66
LOAJ01000002.1_39	398	SMART	Cdc6_C_2	309	395	6.8e-08	LOAJ01000002.1	39	40	66
LOAJ01000002.1_39	398	NCBIfam	orc1/cdc6 family replication initiation protein	14	382	1.6e-124	LOAJ01000002.1	39	40	66
LOAJ01000002.1_25	228	Pfam	HTH DNA binding domain	164	216	2e-19	LOAJ01000002.1	25	40	66
LOAJ01000002.1_73	285	CDD	PCNA	47	282	1.19995e-30	LOAJ01000002.1	73	40	66
