gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf
AOIO01000049.1_17	234	Gene3D	Jelly Rolls	56	211	9.5e-29	AOIO01000049.1	17
AOIO01000049.1_78	82	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	68	1.19e-10	AOIO01000049.1	78
AOIO01000049.1_66	94	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	89	7.49e-19	AOIO01000049.1	66
AOIO01000049.1_75	230	Pfam	Putative transposase DNA-binding domain	131	196	2.1e-12	AOIO01000049.1	75
AOIO01000049.1_63	210	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	149	206	1.79e-07	AOIO01000049.1	63
AOIO01000049.1_104	110	Gene3D	Jelly Rolls	3	108	5.3e-16	AOIO01000049.1	104
AOIO01000049.1_54	90	NCBIfam	CRISPR-associated endonuclease Cas2	1	87	6.2e-15	AOIO01000049.1	54
AOIO01000049.1_46	91	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	8	79	7.36e-09	AOIO01000049.1	46
AOIO01000049.1_102	182	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	27	80	1.5e-10	AOIO01000049.1	102
AOIO01000049.1_68	106	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	37	98	4.68e-08	AOIO01000049.1	68
AOIO01000049.1_113	315	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	270	3.2e-25	AOIO01000049.1	113
AOIP01000022.1_7	98	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	38	83	1.61e-08	AOIP01000022.1	7
AOIP01000022.1_79	102	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	21	71	1.14e-06	AOIP01000022.1	79
AOIP01000022.1_46	398	Pfam	Putative DNA-binding domain	24	153	3.7e-10	AOIP01000022.1	46
AOIP01000022.1_11	107	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	27	85	4.4e-08	AOIP01000022.1	11
AOIP01000022.1_75	104	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	13	98	1.82e-16	AOIP01000022.1	75
AOIP01000022.1_37	315	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	243	5.3e-26	AOIP01000022.1	37
AOIP01000022.1_12	92	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	89	9.97e-19	AOIP01000022.1	12
AOIP01000022.1_63	191	Pfam	HNH endonuclease	137	170	3e-10	AOIP01000022.1	63
AOIR01000042.1_97	695	PANTHER	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	41	350	1e-14	AOIR01000042.1	97
AOIR01000042.1_68	223	Pfam	DNA polymerase family B, exonuclease domain	74	115	9.2e-07	AOIR01000042.1	68
AOIR01000042.1_82	1200	Pfam	MmeI, helicase spacer domain	390	465	3.6e-07	AOIR01000042.1	82
AOIR01000042.1_6	236	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	13	98	3.85e-16	AOIR01000042.1	6
AOIR01000042.1_90	67	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	10	55	7.67e-06	AOIR01000042.1	90
AOJE01000025.1_21	134	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	27	80	6.43e-06	AOJE01000025.1	21
AOJE01000025.1_73	818	PANTHER	DNA POLYMERASE THETA, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G05260)-RELATED	8	780	0	AOJE01000025.1	73
AOJE01000025.1_73	818	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	423	514	7.62e-18	AOJE01000025.1	73
AOJE01000025.1_73	818	Pfam	DEAD/DEAH box helicase	27	186	2.6e-20	AOJE01000025.1	73
AOJE01000025.1_63	249	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	4	65	9.48e-11	AOJE01000025.1	63
AOJE01000051.1_5	1279	Pfam	MmeI, helicase spacer domain	297	453	8.5e-08	AOJE01000051.1	5
AOJE01000051.1_31	419	Pfam	Putative transposase DNA-binding domain	311	378	3.5e-18	AOJE01000051.1	31
AOJE01000051.1_31	419	NCBIfam	RNA-guided endonuclease TnpB family protein	13	376	3.6e-44	AOJE01000051.1	31
AOJE01000051.1_2	206	Pfam	HNH endonuclease	131	181	5.5e-10	AOJE01000051.1	2
AOJE01000051.1_17	415	CDD	Cdc6_C	307	393	4.52373e-13	AOJE01000051.1	17
AOJE01000051.1_17	415	Pfam	CDC6, C terminal winged helix domain	315	394	1.1e-12	AOJE01000051.1	17
AOJE01000051.1_17	415	NCBIfam	orc1/cdc6 family replication initiation protein	13	386	6.9e-111	AOJE01000051.1	17
AOJE01000051.1_17	415	FunFam	ORC1-type DNA replication protein	205	297	3.6e-24	AOJE01000051.1	17
AOJE01000051.1_17	415	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	301	401	2.07e-13	AOJE01000051.1	17
AOJE01000051.1_13	211	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	28	113	1.28e-15	AOJE01000051.1	13
AOLZ01000012.1_36	312	FunFam	DNA helicase	109	156	1.4e-07	AOLZ01000012.1	36
AOLZ01000012.1_36	312	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	67	225	1.6e-21	AOLZ01000012.1	36
AOLZ01000012.1_145	267	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	23	112	8.84e-17	AOLZ01000012.1	145
AOLZ01000012.1_181	115	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	79	2.78e-11	AOLZ01000012.1	181
AOLZ01000012.1_149	247	Pfam	HTH DNA binding domain	192	243	1.5e-19	AOLZ01000012.1	149
AOLZ01000012.1_63	272	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	106	2.6e-09	AOLZ01000012.1	63
AOLZ01000012.1_56	223	SUPERFAMILY	Restriction endonuclease-like	3	124	3.75e-11	AOLZ01000012.1	56
AOLZ01000012.1_101	116	Gene3D	Jelly Rolls	1	111	1.6e-25	AOLZ01000012.1	101
AOLZ01000012.1_173	308	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	26	107	3.47e-14	AOLZ01000012.1	173
AOLZ01000012.1_13	352	NCBIfam	RNA-guided endonuclease TnpB family protein	54	341	1.1e-44	AOLZ01000012.1	13
AOLZ01000012.1_13	352	Pfam	Putative transposase DNA-binding domain	275	341	1.8e-20	AOLZ01000012.1	13
AOLZ01000012.1_12	97	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	94	7.96e-20	AOLZ01000012.1	12
AOLZ01000012.1_117	249	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	8	76	3.56e-14	AOLZ01000012.1	117
AOLZ01000012.1_8	390	NCBIfam	RNA-guided endonuclease TnpB family protein	89	337	6e-35	AOLZ01000012.1	8
AOLZ01000012.1_8	390	Pfam	Putative transposase DNA-binding domain	269	337	1e-15	AOLZ01000012.1	8
AOLZ01000012.1_88	220	Pfam	Putative transposase DNA-binding domain	139	205	6e-12	AOLZ01000012.1	88
AOLZ01000012.1_167	90	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	15	79	6.72e-15	AOLZ01000012.1	167
AOLZ01000012.1_155	216	Pfam	HTH DNA binding domain	154	205	6.7e-18	AOLZ01000012.1	155
AOLZ01000012.1_172	494	SUPERFAMILY	DNA primase core	159	249	1.78e-09	AOLZ01000012.1	172
AOLZ01000012.1_172	494	CDD	TOPRIM_primases	167	230	5.92797e-11	AOLZ01000012.1	172
AOLZ01000012.1_172	494	PANTHER	DNA PRIMASE	9	260	8.2e-37	AOLZ01000012.1	172
AOLZ01000012.1_128	499	Pfam	HTH DNA binding domain	444	495	7.5e-20	AOLZ01000012.1	128
AOLZ01000012.1_57	959	Pfam	HTH DNA binding domain	891	942	2.2e-15	AOLZ01000012.1	57
AOLZ01000012.1_57	959	SUPERFAMILY	Sigma3 and sigma4 domains of RNA polymerase sigma factors	882	945	7.52e-06	AOLZ01000012.1	57
AOLZ01000012.1_103	264	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	9	78	1.17e-13	AOLZ01000012.1	103
AP017558.1_600	1048	SUPERFAMILY	DNA repair protein MutS, domain III	379	689	1.57e-85	AP017558.1	600
AP017558.1_600	1048	Gene3D	DNA repair protein MutS, domain I	15	135	1.4e-36	AP017558.1	600
AP017558.1_600	1048	NCBIfam	DNA mismatch repair protein MutS	337	1043	0	AP017558.1	600
AP017558.1_600	1048	SUPERFAMILY	DNA repair protein MutS, domain I	20	130	3.92e-32	AP017558.1	600
AP017558.1_600	1048	SUPERFAMILY	DNA repair protein MutS, domain II	132	391	2.18e-19	AP017558.1	600
AP017558.1_600	1048	PANTHER	DNA MISMATCH REPAIR PROTEIN MUTS FAMILY MEMBER	67	931	0	AP017558.1	600
AP017558.1_391	250	Pfam	RNA polymerase Rpb3/RpoA insert domain	49	144	2.1e-17	AP017558.1	391
AP017558.1_391	250	SUPERFAMILY	RBP11-like subunits of RNA polymerase	5	246	8.79e-22	AP017558.1	391
AP017558.1_391	250	PANTHER	DNA-DIRECTED RNA POLYMERASE	3	247	7.9e-34	AP017558.1	391
AP017558.1_391	250	SUPERFAMILY	Insert subdomain of RNA polymerase alpha subunit	42	144	5.23e-22	AP017558.1	391
AP017558.1_391	250	Pfam	RNA polymerase Rpb3/Rpb11 dimerisation domain	20	239	1.1e-12	AP017558.1	391
AP017558.1_1132	126	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	33	121	2.24e-14	AP017558.1	1132
AP017558.1_2720	440	NCBIfam	RNA-guided endonuclease TnpB family protein	11	391	1e-57	AP017558.1	2720
AP017558.1_2720	440	Pfam	Putative transposase DNA-binding domain	324	391	3.9e-21	AP017558.1	2720
AP017558.1_1367	120	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	19	117	4.32e-22	AP017558.1	1367
AP017558.1_1638	978	Pfam	RNA polymerase Rpb1, domain 4	733	839	6.6e-32	AP017558.1	1638
AP017558.1_1638	978	NCBIfam	DNA-directed RNA polymerase subunit A'	241	926	0	AP017558.1	1638
AP017558.1_1638	978	Pfam	RNA polymerase Rpb1, domain 5	846	911	6.2e-26	AP017558.1	1638
AP017558.1_1638	978	Pfam	RNA polymerase Rpb1, domain 3	556	707	2.1e-28	AP017558.1	1638
AP017558.1_1638	978	Pfam	RNA polymerase Rpb1, domain 1	7	385	6.9e-108	AP017558.1	1638
AP017558.1_1638	978	PANTHER	DNA-DIRECTED RNA POLYMERASE	13	937	1.4e-240	AP017558.1	1638
AP017558.1_1638	978	Gene3D	RNA polymerase Rpb1, domain 3	561	708	2.1e-29	AP017558.1	1638
AP017558.1_1638	978	SUPERFAMILY	beta and beta-prime subunits of DNA dependent RNA-polymerase	3	938	4.35e-297	AP017558.1	1638
AP017558.1_1638	978	FunFam	DNA-directed RNA polymerase II subunit RPB1	461	560	6.7e-39	AP017558.1	1638
AP017558.1_1638	978	Gene3D	RNA polymerase ii	420	480	1.1e-79	AP017558.1	1638
AP017558.1_1638	978	Gene3D	RNA polymerase II, clamp domain	301	350	5.2e-06	AP017558.1	1638
AP017558.1_1638	978	Gene3D	RNA polymerase II, clamp domain	1	120	4.5e-31	AP017558.1	1638
AP017558.1_1638	978	Pfam	RNA polymerase Rpb1, domain 2	387	553	8.4e-69	AP017558.1	1638
AP017558.1_2574	630	SUPERFAMILY	ATP-dependent DNA ligase DNA-binding domain	2	193	2.35e-42	AP017558.1	2574
AP017558.1_565	84	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	6	76	2.63e-08	AP017558.1	565
AP017558.1_2036	304	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	14	76	4.46e-07	AP017558.1	2036
AP017558.1_2739	1026	Pfam	DEAD/DEAH box helicase	67	251	7.8e-28	AP017558.1	2739
AP017558.1_2739	1026	Pfam	Helicase conserved C-terminal domain	324	437	2.3e-18	AP017558.1	2739
AP017558.1_2739	1026	PANTHER	ATP-DEPENDENT HELICASE LHR-RELATED-RELATED	46	880	0	AP017558.1	2739
AP017558.1_2421	198	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	3	61	2.38e-16	AP017558.1	2421
AP017558.1_1594	121	Pfam	DDE superfamily endonuclease	1	101	1.6e-27	AP017558.1	1594
AP017558.1_2775	121	Pfam	DDE superfamily endonuclease	1	101	1.6e-27	AP017558.1	2775
AP017558.1_1326	200	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	6	81	3.43e-09	AP017558.1	1326
AP017558.1_481	135	PANTHER	ENDONUCLEASE III	4	125	4.3e-29	AP017558.1	481
AP017558.1_2736	64	Pfam	'Cold-shock' DNA-binding domain	3	63	8.2e-21	AP017558.1	2736
AP017558.1_1335	458	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	239	314	1.47e-08	AP017558.1	1335
AP017558.1_313	455	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	238	315	1.37e-08	AP017558.1	313
AP017558.1_2370	446	PANTHER	RAD25/XP-B DNA REPAIR HELICASE	57	445	5e-79	AP017558.1	2370
AP017558.1_2370	446	Pfam	Xeroderma pigmentosum group B helicase damage recognition domain	5	60	2.6e-16	AP017558.1	2370
AP017558.1_2370	446	Pfam	ERCC3/RAD25/XPB C-terminal helicase	305	445	2.5e-19	AP017558.1	2370
AP017558.1_2095	143	Pfam	Iron dependent repressor, N-terminal DNA binding domain	2	59	4e-18	AP017558.1	2095
AP017558.1_2095	143	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	61	1.07e-12	AP017558.1	2095
AP017558.1_2220	285	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	10	112	2.59e-12	AP017558.1	2220
AP017558.1_319	239	Pfam	HTH DNA binding domain	150	202	1.2e-17	AP017558.1	319
AP017558.1_1559	425	Pfam	Putative transposase DNA-binding domain	298	365	1.8e-24	AP017558.1	1559
AP017558.1_1559	425	NCBIfam	RNA-guided endonuclease TnpB family protein	22	365	2.2e-54	AP017558.1	1559
AP017558.1_1046	425	Pfam	Putative transposase DNA-binding domain	298	365	1.8e-24	AP017558.1	1046
AP017558.1_1046	425	NCBIfam	RNA-guided endonuclease TnpB family protein	22	365	2.2e-54	AP017558.1	1046
AP017558.1_1520	258	Pfam	HTH DNA binding domain	190	241	2.9e-15	AP017558.1	1520
AP017558.1_2009	219	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	54	115	6.57e-06	AP017558.1	2009
AP017558.1_2009	219	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	122	178	2.26e-08	AP017558.1	2009
AP017558.1_1656	152	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	3	62	1.31e-15	AP017558.1	1656
AP017558.1_2028	102	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	74	5.88e-08	AP017558.1	2028
AP017558.1_913	230	Pfam	HTH DNA binding domain	166	217	2.2e-14	AP017558.1	913
AP017558.1_1596	371	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	14	103	1.06e-07	AP017558.1	1596
AP017558.1_478	269	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	21	110	1.03e-17	AP017558.1	478
AP017558.1_56	192	Gene3D	Jelly Rolls	17	124	1.1e-13	AP017558.1	56
AP017558.1_1646	140	SUPERFAMILY	Restriction endonuclease-like	9	137	8.85e-31	AP017558.1	1646
AP017558.1_743	169	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	9	68	5.21e-11	AP017558.1	743
AP017558.1_1813	408	Pfam	Putative transposase DNA-binding domain	301	369	7.5e-19	AP017558.1	1813
AP017558.1_1813	408	NCBIfam	RNA-guided endonuclease TnpB family protein	6	369	2.4e-82	AP017558.1	1813
AP017558.1_673	408	Pfam	Putative transposase DNA-binding domain	301	369	7.5e-19	AP017558.1	673
AP017558.1_673	408	NCBIfam	RNA-guided endonuclease TnpB family protein	6	369	2.4e-82	AP017558.1	673
AP017558.1_786	123	Gene3D	Jelly Rolls	6	123	1.2e-27	AP017558.1	786
AP017558.1_1207	105	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	12	88	1.05e-07	AP017558.1	1207
AP017558.1_1210	260	Pfam	Endonuclease NucS	3	86	5.2e-06	AP017558.1	1210
AP017558.1_2117	299	SUPERFAMILY	lambda repressor-like DNA-binding domains	17	54	1.46e-07	AP017558.1	2117
AP017558.1_1416	352	NCBIfam	DNA repair and recombination protein RadA	14	350	1.5e-152	AP017558.1	1416
AP017558.1_2455	116	Gene3D	Jelly Rolls	1	110	2.2e-22	AP017558.1	2455
AP017558.1_894	219	NCBIfam	RNA-guided endonuclease TnpB family protein	13	217	5.7e-29	AP017558.1	894
AP017558.1_2035	850	SUPERFAMILY	DNA mismatch repair protein MutL	643	839	3.27e-40	AP017558.1	2035
AP017558.1_2035	850	FunFam	DNA mismatch repair endonuclease MutL	17	247	7.9e-69	AP017558.1	2035
AP017558.1_2035	850	NCBIfam	DNA mismatch repair endonuclease MutL	19	465	2.7e-127	AP017558.1	2035
AP017558.1_2035	850	PANTHER	DNA MISMATCH REPAIR PROTEIN  MLH, PMS, MUTL	18	826	2.7e-117	AP017558.1	2035
AP017558.1_2035	850	Pfam	DNA mismatch repair protein, C-terminal domain	246	376	1.1e-30	AP017558.1	2035
AP017558.1_2035	850	SMART	DNA_mis_repair_2	244	377	3e-44	AP017558.1	2035
AP017558.1_2494	149	Gene3D	Jelly Rolls	40	149	4.8e-30	AP017558.1	2494
AP017558.1_2661	159	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	6	67	4.75e-14	AP017558.1	2661
AP017558.1_1951	99	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	90	1.53e-11	AP017558.1	1951
AP017558.1_1256	296	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	13	94	2.56e-10	AP017558.1	1256
AP017558.1_2759	233	Pfam	HTH DNA binding domain	176	227	2.1e-18	AP017558.1	2759
AP017558.1_60	975	Pfam	Helicase conserved C-terminal domain	475	576	3.2e-21	AP017558.1	60
AP017558.1_60	975	PANTHER	SNF2/RAD54 HELICASE FAMILY	96	647	1.4e-49	AP017558.1	60
AP017558.1_1185	64	Pfam	'Cold-shock' DNA-binding domain	3	63	2.2e-20	AP017558.1	1185
AP017558.1_386	58	PANTHER	DNA-DIRECTED RNA POLYMERASE SUBUNIT K	6	56	7.5e-13	AP017558.1	386
AP017558.1_386	58	Pfam	RNA polymerase Rpb6	6	51	3.3e-10	AP017558.1	386
AP017558.1_2506	631	PANTHER	DNA MISMATCH REPAIR PROTEIN MUTS FAMILY MEMBER	93	544	2.7e-22	AP017558.1	2506
AP017558.1_1365	251	Gene3D	Jelly Rolls	20	140	1.4e-23	AP017558.1	1365
AP017558.1_1365	251	Gene3D	Jelly Rolls	141	241	2.1e-13	AP017558.1	1365
AP017558.1_2090	1335	SUPERFAMILY	DNA/RNA polymerases	466	1321	1.13e-79	AP017558.1	2090
AP017558.1_2090	1335	Gene3D	DNA Polymerase, chain B, domain 1	67	204	3.9e-21	AP017558.1	2090
AP017558.1_2090	1335	Pfam	DNA polymerase family B, exonuclease domain	99	394	1e-29	AP017558.1	2090
AP017558.1_2090	1335	SUPERFAMILY	Homing endonucleases	891	976	6.23e-13	AP017558.1	2090
AP017558.1_2090	1335	Pfam	DNA polymerase family B	477	601	7.2e-15	AP017558.1	2090
AP017558.1_2090	1335	Pfam	DNA polymerase family B	993	1217	3.5e-24	AP017558.1	2090
AP017558.1_2090	1335	PANTHER	DNA POLYMERASE CATALYTIC SUBUNIT	67	1318	4.6e-121	AP017558.1	2090
AP017558.1_2090	1335	Gene3D	Palm domain of DNA polymerase	441	531	2.4e-08	AP017558.1	2090
AP017558.1_2090	1335	Gene3D	Homing endonucleases	800	972	5e-27	AP017558.1	2090
AP017558.1_2090	1335	Gene3D	Palm domain of DNA polymerase	999	1143	9.7e-30	AP017558.1	2090
AP017558.1_2146	217	Pfam	Iron dependent repressor, N-terminal DNA binding domain	1	61	8.3e-18	AP017558.1	2146
AP017558.1_2146	217	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	63	2.01e-14	AP017558.1	2146
AP017558.1_706	269	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	11	80	1.02e-11	AP017558.1	706
AP017558.1_1640	521	PANTHER	DNA-DIRECTED RNA POLYMERASE I SUBUNIT 2	4	505	2.7e-97	AP017558.1	1640
AP017558.1_1640	521	Gene3D	RNA polymerase Rpb2, domain 2	182	340	5.3e-39	AP017558.1	1640
AP017558.1_1640	521	Pfam	RNA polymerase Rpb2, domain 2	176	354	3e-27	AP017558.1	1640
AP017558.1_1640	521	Pfam	RNA polymerase beta subunit	19	401	8.8e-50	AP017558.1	1640
AP017558.1_1640	521	SUPERFAMILY	beta and beta-prime subunits of DNA dependent RNA-polymerase	5	512	1.1e-122	AP017558.1	1640
AP017558.1_1640	521	Pfam	RNA polymerase Rpb2, domain 3	422	483	9.4e-25	AP017558.1	1640
AP017558.1_1183	149	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	3	63	1.83e-17	AP017558.1	1183
AP017558.1_721	341	SUPERFAMILY	Restriction endonuclease-like	22	133	2.79e-13	AP017558.1	721
AP017558.1_721	341	Pfam	Restriction endonuclease	17	130	2.5e-21	AP017558.1	721
AP017558.1_1280	228	Pfam	HTH DNA binding domain	164	216	3.5e-21	AP017558.1	1280
AP017558.1_1280	228	SUPERFAMILY	Sigma3 and sigma4 domains of RNA polymerase sigma factors	162	216	4.8e-06	AP017558.1	1280
AP017558.1_121	253	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	9	78	2.37e-11	AP017558.1	121
AP017558.1_294	398	SMART	Cdc6_C_2	311	395	1.6e-11	AP017558.1	294
AP017558.1_294	398	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	297	390	1.5e-11	AP017558.1	294
AP017558.1_294	398	Pfam	CDC6, C terminal winged helix domain	311	391	7.9e-16	AP017558.1	294
AP017558.1_294	398	CDD	Cdc6_C	304	391	1.59573e-15	AP017558.1	294
AP017558.1_294	398	NCBIfam	orc1/cdc6 family replication initiation protein	13	383	3.3e-108	AP017558.1	294
AP017558.1_294	398	FunFam	ORC1-type DNA replication protein	202	294	5.6e-24	AP017558.1	294
AP017558.1_1460	628	FunFam	DNA polymerase II small subunit	358	628	7.9e-115	AP017558.1	1460
AP017558.1_1460	628	Pfam	DNA polymerase alpha/epsilon subunit B	376	572	2.9e-12	AP017558.1	1460
AP017558.1_1460	628	PANTHER	DNA POLYMERASE DELTA SUBUNIT 2	234	627	9.3e-59	AP017558.1	1460
AP017558.1_2059	119	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	21	101	8.4e-20	AP017558.1	2059
AP017558.1_599	638	SUPERFAMILY	DNA mismatch repair protein MutL	431	634	2.75e-35	AP017558.1	599
AP017558.1_599	638	SMART	DNA_mis_repair_2	275	400	3.3e-34	AP017558.1	599
AP017558.1_599	638	PANTHER	DNA MISMATCH REPAIR PROTEIN  MLH, PMS, MUTL	36	399	2.1e-104	AP017558.1	599
AP017558.1_599	638	Pfam	DNA mismatch repair protein, C-terminal domain	278	399	3e-25	AP017558.1	599
AP017558.1_1535	255	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	11	80	3.57e-12	AP017558.1	1535
AP017558.1_610	163	Pfam	DDE superfamily endonuclease	4	143	1.9e-36	AP017558.1	610
AP017558.1_2068	582	Gene3D	DNA polymerase, thumb domain	261	337	2.5e-22	AP017558.1	2068
AP017558.1_2068	582	Pfam	DNA polymerase beta thumb	254	326	2.8e-18	AP017558.1	2068
AP017558.1_2068	582	PRINTS	DNA-polymerase family X pol beta-like signature	60	77	6.7e-08	AP017558.1	2068
AP017558.1_2068	582	PRINTS	DNA-polymerase family X pol beta-like signature	185	204	6.7e-08	AP017558.1	2068
AP017558.1_2068	582	PRINTS	DNA-polymerase family X pol beta-like signature	308	325	6.7e-08	AP017558.1	2068
AP017558.1_2068	582	SUPERFAMILY	DNA polymerase beta, N-terminal domain-like	4	83	7.19e-16	AP017558.1	2068
AP017558.1_2068	582	Gene3D	Beta Polymerase, domain 2	157	260	8e-27	AP017558.1	2068
AP017558.1_2361	203	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	49	133	3.44e-09	AP017558.1	2361
AP017558.1_1282	169	Gene3D	Jelly Rolls	3	143	3.6e-39	AP017558.1	1282
AP017558.1_1667	319	PANTHER	ENDONUCLEASE NUCS	28	243	2.6e-60	AP017558.1	1667
AP017558.1_1667	319	Pfam	Endonuclease NucS	27	243	4.3e-61	AP017558.1	1667
