hit,hit_length,query,query_length,evalue,score,alignment_start,alignment_end,aln_length,uvig,host_taxonomy,virus_taxonomy,virus_completeness,virus_quality
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,164,337,173,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300010348_000981|3300010348|Ga0116255_100386381,1327,ORF6.faa,1255,1.3e-72,258.9,149,341,192,IMGVR_UViG_3300010348_000981,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300042691_036644|3300042691|Ga0415385_0256967_3_3992,1329,ORF6.faa,1255,1.5e-63,228.9,57,388,331,IMGVR_UViG_3300042691_036644,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300042691_036644|3300042691|Ga0415385_0256967_3_3992,1329,ORF6.faa,1255,1.5e-63,228.9,139,310,171,IMGVR_UViG_3300042691_036644,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300042691_036644|3300042691|Ga0415385_0256967_3_3992,1329,ORF6.faa,1255,1.5e-63,228.9,134,285,151,IMGVR_UViG_3300042691_036644,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300042691_036644|3300042691|Ga0415385_0256967_3_3992,1329,ORF6.faa,1255,1.5e-63,228.9,164,349,185,IMGVR_UViG_3300042691_036644,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300042691_036644|3300042691|Ga0415385_0256967_3_3992,1329,ORF6.faa,1255,1.5e-63,228.9,148,336,188,IMGVR_UViG_3300042691_036644,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032171_000012|3300032171|Ga0326342_10001375,956,ORF6.faa,1255,1.8e-62,225.3,127,383,256,IMGVR_UViG_3300032171_000012,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032171_000012|3300032171|Ga0326342_10001375,956,ORF6.faa,1255,1.8e-62,225.3,151,390,239,IMGVR_UViG_3300032171_000012,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032171_000012|3300032171|Ga0326342_10001375,956,ORF6.faa,1255,1.8e-62,225.3,119,382,263,IMGVR_UViG_3300032171_000012,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032172_000002|3300032172|Ga0326343_100018851,956,ORF6.faa,1255,1.8e-62,225.3,127,383,256,IMGVR_UViG_3300032172_000002,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032172_000002|3300032172|Ga0326343_100018851,956,ORF6.faa,1255,1.8e-62,225.3,151,390,239,IMGVR_UViG_3300032172_000002,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032172_000002|3300032172|Ga0326343_100018851,956,ORF6.faa,1255,1.8e-62,225.3,119,382,263,IMGVR_UViG_3300032172_000002,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032190_000013|3300032190|Ga0326344_100008732,956,ORF6.faa,1255,1.8e-62,225.3,127,383,256,IMGVR_UViG_3300032190_000013,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Kosmotoga;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032190_000013|3300032190|Ga0326344_100008732,956,ORF6.faa,1255,1.8e-62,225.3,151,390,239,IMGVR_UViG_3300032190_000013,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Kosmotoga;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300032190_000013|3300032190|Ga0326344_100008732,956,ORF6.faa,1255,1.8e-62,225.3,119,382,263,IMGVR_UViG_3300032190_000013,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Kosmotoga;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,213,409,196,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,131,389,258,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,114,300,186,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,116,362,246,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,134,386,252,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,109,376,267,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,132,394,262,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300031707_004895|3300031707|Ga0315291_100252671,2332,ORF6.faa,1255,7.3e-60,216.6,135,354,219,IMGVR_UViG_3300031707_004895,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_2848385391_000003|2848385391|2848386974,1687,ORF6.faa,1255,2.6e-54,198.3,140,388,248,IMGVR_UViG_2848385391_000003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mycoavidus;s__Mycoavidus cysteinexigens,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_2848385391_000003|2848385391|2848386974,1687,ORF6.faa,1255,2.6e-54,198.3,151,348,197,IMGVR_UViG_2848385391_000003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mycoavidus;s__Mycoavidus cysteinexigens,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_2848385391_000003|2848385391|2848386974,1687,ORF6.faa,1255,2.6e-54,198.3,144,345,201,IMGVR_UViG_2848385391_000003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mycoavidus;s__Mycoavidus cysteinexigens,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_2848385391_000003|2848385391|2848386974,1687,ORF6.faa,1255,2.6e-54,198.3,149,329,180,IMGVR_UViG_2848385391_000003,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mycoavidus;s__Mycoavidus cysteinexigens,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,100,High-quality
IMGVR_UViG_3300026114_000008|3300026114|Ga0209946_10001148,567,ORF6.faa,1255,1.2e-49,182.8,156,386,230,IMGVR_UViG_3300026114_000008,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,48.83,Genome fragment
IMGVR_UViG_3300026114_000008|3300026114|Ga0209946_10001148,567,ORF6.faa,1255,1.2e-49,182.8,129,343,214,IMGVR_UViG_3300026114_000008,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,48.83,Genome fragment
IMGVR_UViG_3300026114_000008|3300026114|Ga0209946_10001148,567,ORF6.faa,1255,1.2e-49,182.8,110,254,144,IMGVR_UViG_3300026114_000008,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,48.83,Genome fragment
IMGVR_UViG_3300026114_000268|3300026114|Ga0209946_10001342,567,ORF6.faa,1255,1.2e-49,182.8,156,386,230,IMGVR_UViG_3300026114_000268,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,44.73,Genome fragment
IMGVR_UViG_3300026114_000268|3300026114|Ga0209946_10001342,567,ORF6.faa,1255,1.2e-49,182.8,129,343,214,IMGVR_UViG_3300026114_000268,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,44.73,Genome fragment
IMGVR_UViG_3300026114_000268|3300026114|Ga0209946_10001342,567,ORF6.faa,1255,1.2e-49,182.8,110,254,144,IMGVR_UViG_3300026114_000268,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,44.73,Genome fragment
IMGVR_UViG_3300026124_000005|3300026124|Ga0209965_100006236,567,ORF6.faa,1255,1.2e-49,182.8,156,386,230,IMGVR_UViG_3300026124_000005,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,53.45,Genome fragment
IMGVR_UViG_3300026124_000005|3300026124|Ga0209965_100006236,567,ORF6.faa,1255,1.2e-49,182.8,129,343,214,IMGVR_UViG_3300026124_000005,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,53.45,Genome fragment
IMGVR_UViG_3300026124_000005|3300026124|Ga0209965_100006236,567,ORF6.faa,1255,1.2e-49,182.8,110,254,144,IMGVR_UViG_3300026124_000005,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,53.45,Genome fragment
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,203,375,172,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,123,299,176,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,146,400,254,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,181,377,196,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,117,242,125,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,129,300,171,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300032884_000139|3300032884|Ga0346514_11621762,2840,ORF6.faa,1255,1.7e-48,179,129,382,253,IMGVR_UViG_3300032884_000139,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025597_000528|3300025597|Ga0208825_10096311,733,ORF6.faa,1255,7.7e-48,176.8,183,296,113,IMGVR_UViG_3300025597_000528,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025597_000528|3300025597|Ga0208825_10096311,733,ORF6.faa,1255,7.7e-48,176.8,136,385,249,IMGVR_UViG_3300025597_000528,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025597_000528|3300025597|Ga0208825_10096311,733,ORF6.faa,1255,7.7e-48,176.8,133,345,212,IMGVR_UViG_3300025597_000528,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025597_000528|3300025597|Ga0208825_10096311,733,ORF6.faa,1255,7.7e-48,176.8,159,368,209,IMGVR_UViG_3300025597_000528,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025597_000528|3300025597|Ga0208825_10096311,733,ORF6.faa,1255,7.7e-48,176.8,152,328,176,IMGVR_UViG_3300025597_000528,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300031838_000032|3300031838|Ga0307518_100061056,784,ORF6.faa,1255,4.4e-45,167.7,132,341,209,IMGVR_UViG_3300031838_000032,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300031838_000032|3300031838|Ga0307518_100061056,784,ORF6.faa,1255,4.4e-45,167.7,144,348,204,IMGVR_UViG_3300031838_000032,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300031838_000032|3300031838|Ga0307518_100061056,784,ORF6.faa,1255,4.4e-45,167.7,144,338,194,IMGVR_UViG_3300031838_000032,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025657_000272|3300025657|Ga0208823_10061848,314,ORF6.faa,1255,2.4e-44,165.3,218,346,128,IMGVR_UViG_3300025657_000272,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300025657_000272|3300025657|Ga0208823_10061848,314,ORF6.faa,1255,2.4e-44,165.3,117,370,253,IMGVR_UViG_3300025657_000272,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300033179_000092|3300033179|Ga0307507_100368421,964,ORF6.faa,1255,4.6e-44,164.3,152,334,182,IMGVR_UViG_3300033179_000092,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300033179_000092|3300033179|Ga0307507_100368421,964,ORF6.faa,1255,4.6e-44,164.3,144,334,190,IMGVR_UViG_3300033179_000092,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300033179_000092|3300033179|Ga0307507_100368421,964,ORF6.faa,1255,4.6e-44,164.3,148,339,191,IMGVR_UViG_3300033179_000092,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300033179_000092|3300033179|Ga0307507_100368421,964,ORF6.faa,1255,4.6e-44,164.3,145,300,155,IMGVR_UViG_3300033179_000092,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300033179_000092|3300033179|Ga0307507_100368421,964,ORF6.faa,1255,4.6e-44,164.3,148,321,173,IMGVR_UViG_3300033179_000092,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,,Unsure
IMGVR_UViG_3300019458_000519|3300019458|Ga0187892_1000008486,1302,ORF6.faa,1255,8.8e-44,163.4,122,361,239,IMGVR_UViG_3300019458_000519,;;;;;;,r__Varidnaviria;k__Bamfordvirae;;;;;;,56.29,Genome fragment
IMGVR_UViG_3300019458_000519|3300019458|Ga0187892_1000008486,1302,ORF6.faa,1255,8.8e-44,163.4,159,386,227,IMGVR_UViG_3300019458_000519,;;;;;;,r__Varidnaviria;k__Bamfordvirae;;;;;;,56.29,Genome fragment
IMGVR_UViG_3300019458_000519|3300019458|Ga0187892_1000008486,1302,ORF6.faa,1255,8.8e-44,163.4,139,335,196,IMGVR_UViG_3300019458_000519,;;;;;;,r__Varidnaviria;k__Bamfordvirae;;;;;;,56.29,Genome fragment
IMGVR_UViG_3300019458_000519|3300019458|Ga0187892_1000008486,1302,ORF6.faa,1255,8.8e-44,163.4,152,330,178,IMGVR_UViG_3300019458_000519,;;;;;;,r__Varidnaviria;k__Bamfordvirae;;;;;;,56.29,Genome fragment
IMGVR_UViG_3300019458_000519|3300019458|Ga0187892_1000008486,1302,ORF6.faa,1255,8.8e-44,163.4,114,350,236,IMGVR_UViG_3300019458_000519,;;;;;;,r__Varidnaviria;k__Bamfordvirae;;;;;;,56.29,Genome fragment
IMGVR_UViG_3300032070_000311|3300032070|Ga0315279_1000261115,568,ORF6.faa,1255,1.7e-43,162.5,134,298,164,IMGVR_UViG_3300032070_000311,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,23,Genome fragment
IMGVR_UViG_3300032070_000311|3300032070|Ga0315279_1000261115,568,ORF6.faa,1255,1.7e-43,162.5,116,387,271,IMGVR_UViG_3300032070_000311,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,23,Genome fragment
IMGVR_UViG_3300035688_001164|3300035688|Ga0373626_0030258_1941_3641,566,ORF6.faa,1255,1.7e-43,162.5,134,298,164,IMGVR_UViG_3300035688_001164,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300035688_001164|3300035688|Ga0373626_0030258_1941_3641,566,ORF6.faa,1255,1.7e-43,162.5,116,387,271,IMGVR_UViG_3300035688_001164,;;;;;;,;;;;;;;,,Unsure
IMGVR_UViG_3300007631_000284|3300007631|Ga0102939_10022251,454,ORF6.faa,1255,3.1e-43,161.6,132,301,169,IMGVR_UViG_3300007631_000284,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,4.95,Genome fragment
IMGVR_UViG_3300007631_000284|3300007631|Ga0102939_10022251,454,ORF6.faa,1255,3.1e-43,161.6,135,348,213,IMGVR_UViG_3300007631_000284,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,4.95,Genome fragment
IMGVR_UViG_3300007631_000284|3300007631|Ga0102939_10022251,454,ORF6.faa,1255,3.1e-43,161.6,130,328,198,IMGVR_UViG_3300007631_000284,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,4.95,Genome fragment
IMGVR_UViG_3300031525_000912|3300031525|Ga0302326_100851247,454,ORF6.faa,1255,1.1e-41,156.5,56,354,298,IMGVR_UViG_3300031525_000912,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,7.34,Genome fragment
IMGVR_UViG_3300031525_000912|3300031525|Ga0302326_100851247,454,ORF6.faa,1255,1.1e-41,156.5,134,292,158,IMGVR_UViG_3300031525_000912,;;;;;;,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,7.34,Genome fragment
IMGVR_UViG_2740891844_000001|2740891844|2741103142,1377,ORF6.faa,1255,2.3e-41,155.4,51,338,287,IMGVR_UViG_2740891844_000001,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces diastatochromogenes,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,31.2,Genome fragment
IMGVR_UViG_2740891844_000001|2740891844|2741103142,1377,ORF6.faa,1255,2.3e-41,155.4,150,338,188,IMGVR_UViG_2740891844_000001,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces diastatochromogenes,r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;,31.2,Genome fragment
