	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
CP019286.1_CP019286.1_33	CP019286.1	CP019286.1	33	30505	31443	-1	D										MCM OB domain [PF17207.6]	0
CP019286.1_CP019286.1_34	CP019286.1	CP019286.1	34	31446	33926	-1	E											0
CP019286.1_CP019286.1_35	CP019286.1	CP019286.1	35	33932	35953	-1	E											0
CP019286.1_CP019286.1_36	CP019286.1	CP019286.1	36	35957	37303	-1	E											0
CP019286.1_CP019286.1_37	CP019286.1	CP019286.1	37	37318	38313	-1	E											0
CP019286.1_CP019286.1_38	CP019286.1	CP019286.1	38	38310	38978	-1	E											0
CP019286.1_CP019286.1_39	CP019286.1	CP019286.1	39	38975	39214	-1	E											0
CP019286.1_CP019286.1_40	CP019286.1	CP019286.1	40	39261	39566	-1	E											0
CP019286.1_CP019286.1_41	CP019286.1	CP019286.1	41	39563	39874	-1	E											0
CP019286.1_CP019286.1_42	CP019286.1	CP019286.1	42	39871	41139	-1	E											0
CP019286.1_CP019286.1_43	CP019286.1	CP019286.1	43	41142	41405	-1	E											0
CP019286.1_CP019286.1_44	CP019286.1	CP019286.1	44	41408	41665	-1	E											0
CP019286.1_CP019286.1_45	CP019286.1	CP019286.1	45	41725	41916	-1	E											0
CP019286.1_CP019286.1_46	CP019286.1	CP019286.1	46	41921	42631	-1	E											0
CP019286.1_CP019286.1_47	CP019286.1	CP019286.1	47	42824	44245	-1	E											0
CP019286.1_CP019286.1_48	CP019286.1	CP019286.1	48	44363	45175	-1	E											0
CP019286.1_CP019286.1_49	CP019286.1	CP019286.1	49	45181	46758	-1	D			MER0983772	S08A	MER0983772 - subfamily S8A unassigned peptidases (Halobiforma lacisalsi) [S08.UPA]#S08A#{peptidase unit: 172-458}~source M0LZ30~	True	565.0	2.5049999999999998e-177	0.936	Subtilase family [PF00082.25]	0
CP019286.1_CP019286.1_50	CP019286.1	CP019286.1	50	46771	50460	-1	D										PQQ-like domain [PF13360.9]; Lactonase, 7-bladed beta-propeller [PF10282.12]; Anaphase-promoting complex subunit 4 WD40 domain [PF12894.10]	0
CP019286.1_CP019286.1_51	CP019286.1	CP019286.1	51	50465	51067	-1	E											0
CP019286.1_CP019286.1_52	CP019286.1	CP019286.1	52	51070	52977	-1	D										FG-GAP-like repeat [PF13517.9]	0
CP019286.1_CP019286.1_53	CP019286.1	CP019286.1	53	53081	53743	-1	E											0
CP019286.1_CP019286.1_54	CP019286.1	CP019286.1	54	54049	54246	1	E											0
CP019286.1_CP019286.1_55	CP019286.1	CP019286.1	55	54530	54736	1	E											0
CP019286.1_CP019286.1_56	CP019286.1	CP019286.1	56	54768	55826	1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
CP019286.1_CP019286.1_57	CP019286.1	CP019286.1	57	56141	56653	1	E											0
CP019286.1_CP019286.1_58	CP019286.1	CP019286.1	58	56560	56853	-1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
CP019286.1_CP019286.1_59	CP019286.1	CP019286.1	59	57306	58340	1	D										AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]; Bacterial dnaA  protein [PF00308.21]; NB-ARC domain [PF00931.25]	0
CP019286.1_CP019286.1_60	CP019286.1	CP019286.1	60	58689	59855	1	D										Phage integrase family [PF00589.25]	0
CP019286.1_CP019286.1_61	CP019286.1	CP019286.1	61	59999	60388	1	C	K07491	REP-associated tyrosine transposase								Transposase IS200 like [PF01797.19]	0
CP019286.1_CP019286.1_62	CP019286.1	CP019286.1	62	60391	61563	1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
CP019286.1_CP019286.1_63	CP019286.1	CP019286.1	63	61648	62211	1	E											0
CP019286.1_CP019286.1_64	CP019286.1	CP019286.1	64	62434	62991	-1	C	K16937	thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]								TQO small subunit DoxD [PF04173.16]	0
CP019286.1_CP019286.1_65	CP019286.1	CP019286.1	65	63439	64455	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; PAS fold [PF00989.28]; PAS fold [PF08447.15]; PAS fold [PF12860.10]	0
CP019286.1_CP019286.1_66	CP019286.1	CP019286.1	66	64758	65126	1	E											0
CP019286.1_CP019286.1_67	CP019286.1	CP019286.1	67	65300	65560	1	E											0
CP019286.1_CP019286.1_68	CP019286.1	CP019286.1	68	65709	67145	1	D										Transposase IS66 family [PF03050.17]	0
CP019286.1_CP019286.1_69	CP019286.1	CP019286.1	69	67129	67878	1	D										Family of unknown function (DUF6338) [PF19865.2]	0
CP019286.1_CP019286.1_70	CP019286.1	CP019286.1	70	67875	68315	-1	C	K09388	uncharacterized protein									0
CP019286.1_CP019286.1_71	CP019286.1	CP019286.1	71	68465	69220	-1	E											0
CP019286.1_CP019286.1_72	CP019286.1	CP019286.1	72	69430	69864	-1	C	K07065	uncharacterized protein								PIN domain [PF01850.24]	0
CP019286.1_CP019286.1_73	CP019286.1	CP019286.1	73	69865	70116	-1	E											0
CP019286.1_CP019286.1_74	CP019286.1	CP019286.1	74	70212	70472	-1	E											0
CP019286.1_CP019286.1_75	CP019286.1	CP019286.1	75	70632	70751	-1	E											0
CP019286.1_CP019286.1_76	CP019286.1	CP019286.1	76	70798	70956	1	E											0
CP019286.1_CP019286.1_77	CP019286.1	CP019286.1	77	70902	71450	-1	C	K23349	putative dimethyl sulfoxide reductase chaperone								Nitrate reductase delta subunit [PF02613.18]	0
CP019286.1_CP019286.1_78	CP019286.1	CP019286.1	78	71447	72823	-1	C	K00185	dimethyl sulfoxide reductase membrane subunit								Polysulphide reductase, NrfD [PF03916.17]	0
CP019286.1_CP019286.1_79	CP019286.1	CP019286.1	79	72820	73557	-1	C	K00184	dimethyl sulfoxide reductase iron-sulfur subunit								4Fe-4S dicluster domain [PF13247.9]; 4Fe-4S dicluster domain [PF12838.10]; 4Fe-4S dicluster domain [PF14697.9]; 4Fe-4S dicluster domain [PF13187.9]; 4Fe-4S dicluster domain [PF13183.9]	1
CP019286.1_CP019286.1_80	CP019286.1	CP019286.1	80	73554	76043	-1	C	K07306	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]								Molybdopterin oxidoreductase [PF00384.25]; Molydopterin dinucleotide binding domain [PF01568.24]	0
CP019286.1_CP019286.1_81	CP019286.1	CP019286.1	81	76036	76296	-1	D										N-terminal region of 4Fe-4S ferredoxin iron-sulfur binding [PF16947.8]	0
CP019286.1_CP019286.1_82	CP019286.1	CP019286.1	82	76553	76771	1	E											0
CP019286.1_CP019286.1_83	CP019286.1	CP019286.1	83	76823	77149	1	E											0
CP019286.1_CP019286.1_84	CP019286.1	CP019286.1	84	77181	77711	1	E											0
CP019286.1_CP019286.1_85	CP019286.1	CP019286.1	85	77755	78450	-1	E											0
CP019286.1_CP019286.1_86	CP019286.1	CP019286.1	86	79546	79968	1	E											0
CP019286.1_CP019286.1_87	CP019286.1	CP019286.1	87	80291	80587	-1	C	K09951	CRISPR-associated protein Cas2								CRISPR associated protein Cas2 [PF09827.12]	0
CP019286.1_CP019286.1_88	CP019286.1	CP019286.1	88	80553	81548	-1	C	K15342	CRISP-associated protein Cas1								CRISPR associated protein Cas1 [PF01867.19]	0
CP019286.1_CP019286.1_89	CP019286.1	CP019286.1	89	81551	82099	-1	C	K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]								Domain of unknown function DUF83 [PF01930.20]	0
CP019286.1_CP019286.1_90	CP019286.1	CP019286.1	90	82208	85036	-1	C	K07012	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 5.6.2.4]								HD domain [PF18019.4]; Type III restriction enzyme, res subunit [PF04851.18]	0
CP019286.1_CP019286.1_91	CP019286.1	CP019286.1	91	85051	85851	-1	C	K19116	CRISPR-associated protein Cas5h								CRISPR-associated protein (Cas_Cas5) [PF09704.13]	0
CP019286.1_CP019286.1_92	CP019286.1	CP019286.1	92	85873	86898	-1	C	K19115	CRISPR-associated protein Csh2								CRISPR-associated protein Cas7 [PF05107.15]	0
CP019286.1_CP019286.1_93	CP019286.1	CP019286.1	93	86919	89054	-1	D										CRISPR-associated protein TM1802 (cas_TM1802) [PF09484.13]	0
CP019286.1_CP019286.1_94	CP019286.1	CP019286.1	94	89051	89872	-1	C	K19091	CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]									0
CP019286.1_CP019286.1_95	CP019286.1	CP019286.1	95	93715	94104	-1	E											0
CP019286.1_CP019286.1_96	CP019286.1	CP019286.1	96	94170	95279	-1	C	K07495	putative transposase									0
CP019286.1_CP019286.1_97	CP019286.1	CP019286.1	97	95584	96435	-1	C	K11621	lia operon protein LiaG									0
CP019286.1_CP019286.1_98	CP019286.1	CP019286.1	98	96660	96857	1	E											0
CP019286.1_CP019286.1_99	CP019286.1	CP019286.1	99	97046	97228	1	E											0
CP019286.1_CP019286.1_100	CP019286.1	CP019286.1	100	97362	97547	1	E											0
CP019286.1_CP019286.1_101	CP019286.1	CP019286.1	101	97700	98632	1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]	0
CP019286.1_CP019286.1_102	CP019286.1	CP019286.1	102	98629	99471	1	C	K01992	ABC-2 type transport system permease protein								ABC-2 family transporter protein [PF12679.10]; ABC-2 family transporter protein [PF12730.10]	0
CP019286.1_CP019286.1_103	CP019286.1	CP019286.1	103	99608	102868	1	D										Domain of unknown function (DUF4135) [PF13575.9]; Lanthionine synthetase C-like protein [PF05147.16]	0
CP019286.1_CP019286.1_104	CP019286.1	CP019286.1	104	103032	104078	1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.9]	0
CP019286.1_CP019286.1_105	CP019286.1	CP019286.1	105	104147	104929	1	E											0
CP019286.1_CP019286.1_106	CP019286.1	CP019286.1	106	105199	105387	-1	E											0
CP019286.1_CP019286.1_107	CP019286.1	CP019286.1	107	105539	105772	-1	E											0
CP019286.1_CP019286.1_108	CP019286.1	CP019286.1	108	106037	106480	1	D										Uncharacterised protein family (UPF0236) [PF06782.14]	0
CP019286.1_CP019286.1_109	CP019286.1	CP019286.1	109	106446	107339	1	E											0
CP019286.1_CP019286.1_110	CP019286.1	CP019286.1	110	107302	107931	1	E											0
CP019286.1_CP019286.1_111	CP019286.1	CP019286.1	111	107935	109167	1	D										Thioredoxin [PF13743.9]; DSBA-like thioredoxin domain [PF01323.23]	0
CP019286.1_CP019286.1_112	CP019286.1	CP019286.1	112	109540	110763	-1	C	K07495	putative transposase								DDE superfamily endonuclease [PF13546.9]; Transposase DDE domain [PF01609.24]	0
CP019286.1_CP019286.1_113	CP019286.1	CP019286.1	113	110845	111501	-1	E											0
CP019286.1_CP019286.1_114	CP019286.1	CP019286.1	114	111794	113428	1	E											0
CP019286.1_CP019286.1_115	CP019286.1	CP019286.1	115	113480	116068	1	E											0
CP019286.1_CP019286.1_116	CP019286.1	CP019286.1	116	116065	118926	1	D										UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; AAA domain [PF13245.9]	0
CP019286.1_CP019286.1_117	CP019286.1	CP019286.1	117	119137	119241	1	E											0
CP019286.1_CP019286.1_118	CP019286.1	CP019286.1	118	119251	120126	-1	E											0
CP019286.1_CP019286.1_119	CP019286.1	CP019286.1	119	120270	125009	-1	E											0
CP019286.1_CP019286.1_120	CP019286.1	CP019286.1	120	124993	126429	-1	D										Transposase IS66 family [PF03050.17]	0
CP019286.1_CP019286.1_121	CP019286.1	CP019286.1	121	126578	127855	-1	E											0
CP019286.1_CP019286.1_122	CP019286.1	CP019286.1	122	128057	129250	-1	E											0
CP019286.1_CP019286.1_123	CP019286.1	CP019286.1	123	129243	131000	-1	C	K03580	ATP-dependent helicase HepA [EC:5.6.2.-]								SNF2-related domain [PF00176.26]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]	0
CP019286.1_CP019286.1_124	CP019286.1	CP019286.1	124	131114	132115	1	D										DnaJ central domain [PF00684.22]	0
CP019286.1_CP019286.1_125	CP019286.1	CP019286.1	125	132181	134850	-1	C	K07445	putative DNA methylase								Protein of unknown function (DUF1156) [PF06634.15]	0
CP019286.1_CP019286.1_126	CP019286.1	CP019286.1	126	134920	135942	-1	E											0
CP019286.1_CP019286.1_127	CP019286.1	CP019286.1	127	136122	136562	1	E											0
CP019286.1_CP019286.1_128	CP019286.1	CP019286.1	128	136619	138475	-1	E											0
CP019286.1_CP019286.1_129	CP019286.1	CP019286.1	129	138593	139828	1	C	K07452	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]								AAA domain (dynein-related subfamily) [PF07728.17]	0
CP019286.1_CP019286.1_130	CP019286.1	CP019286.1	130	139821	141620	1	C	K19147	5-methylcytosine-specific restriction enzyme subunit McrC								McrBC 5-methylcytosine restriction system component [PF10117.12]	0
CP019286.1_CP019286.1_131	CP019286.1	CP019286.1	131	141634	142029	-1	E											0
CP019286.1_CP019286.1_132	CP019286.1	CP019286.1	132	142065	144692	-1	C	K07445	putative DNA methylase								Protein of unknown function (DUF1156) [PF06634.15]	0
CP019286.1_CP019286.1_133	CP019286.1	CP019286.1	133	144732	147965	-1	C	K06922	uncharacterized protein								Protein of unknown function (DUF499) [PF04465.15]	0
CP019286.1_CP019286.1_134	CP019286.1	CP019286.1	134	148291	148884	1	E											0
CP019286.1_CP019286.1_135	CP019286.1	CP019286.1	135	148887	149261	1	E											0
CP019286.1_CP019286.1_136	CP019286.1	CP019286.1	136	149258	151948	-1	C	K07445	putative DNA methylase								Protein of unknown function (DUF1156) [PF06634.15]; DNA methylase [PF01555.21]	0
CP019286.1_CP019286.1_137	CP019286.1	CP019286.1	137	152260	153585	-1	C	K07495	putative transposase								Transposase DDE domain [PF01609.24]	0
CP019286.1_CP019286.1_138	CP019286.1	CP019286.1	138	153669	156368	-1	E											0
CP019286.1_CP019286.1_139	CP019286.1	CP019286.1	139	156450	157367	1	E											0
CP019286.1_CP019286.1_140	CP019286.1	CP019286.1	140	157721	157999	1	E											0
CP019286.1_CP019286.1_141	CP019286.1	CP019286.1	141	158006	158419	1	E											0
CP019286.1_CP019286.1_142	CP019286.1	CP019286.1	142	158447	160180	1	E											0
CP019286.1_CP019286.1_143	CP019286.1	CP019286.1	143	160403	161839	-1	D										Transposase IS66 family [PF03050.17]	0
CP019286.1_CP019286.1_144	CP019286.1	CP019286.1	144	162051	162461	1	E											0
CP019286.1_CP019286.1_145	CP019286.1	CP019286.1	145	162454	164679	1	D										TraG P-loop domain [PF19044.3]	0
CP019286.1_CP019286.1_146	CP019286.1	CP019286.1	146	164672	168496	1	D										Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; Helicase HerA, central domain [PF01935.20]; Type IV secretory system Conjugative DNA transfer [PF02534.17]	0
CP019286.1_CP019286.1_147	CP019286.1	CP019286.1	147	168493	169377	1	E											0
CP019286.1_CP019286.1_148	CP019286.1	CP019286.1	148	169374	170900	1	E											0
CP019286.1_CP019286.1_149	CP019286.1	CP019286.1	149	171443	171883	1	E											0
CP019286.1_CP019286.1_150	CP019286.1	CP019286.1	150	172065	172610	1	E											0
CP019286.1_CP019286.1_151	CP019286.1	CP019286.1	151	172740	173030	1	E											0
CP019286.1_CP019286.1_152	CP019286.1	CP019286.1	152	173030	173365	1	E											0
CP019286.1_CP019286.1_153	CP019286.1	CP019286.1	153	173415	174014	1	D										Sugar-specific transcriptional regulator TrmB [PF01978.22]	0
CP019286.1_CP019286.1_154	CP019286.1	CP019286.1	154	174011	174520	1	E											0
CP019286.1_CP019286.1_155	CP019286.1	CP019286.1	155	174523	174783	-1	D										Uncharacterized protein conserved in archaea (DUF2250) [PF10007.12]	0
CP019286.1_CP019286.1_156	CP019286.1	CP019286.1	156	174904	175158	1	D										Halobacterial output domain 1 [PF18545.4]	0
CP019286.1_CP019286.1_157	CP019286.1	CP019286.1	157	175183	175377	-1	E											0
CP019286.1_CP019286.1_158	CP019286.1	CP019286.1	158	176042	176902	1	E											0
CP019286.1_CP019286.1_159	CP019286.1	CP019286.1	159	177293	178120	-1	E											0
CP019286.1_CP019286.1_160	CP019286.1	CP019286.1	160	178372	178956	-1	E											0
CP019286.1_CP019286.1_161	CP019286.1	CP019286.1	161	179432	179782	1	E											0
CP019286.1_CP019286.1_162	CP019286.1	CP019286.1	162	179993	180556	1	E											0
CP019286.1_CP019286.1_163	CP019286.1	CP019286.1	163	180709	181248	1	E											0
CP019286.1_CP019286.1_164	CP019286.1	CP019286.1	164	181409	182734	1	C	K07495	putative transposase								Transposase DDE domain [PF01609.24]	0
CP019286.1_CP019286.1_165	CP019286.1	CP019286.1	165	182948	183409	1	E											0
CP019286.1_CP019286.1_166	CP019286.1	CP019286.1	166	183541	183924	1	D										TFIIB zinc-binding [PF08271.15]	0
CP019286.1_CP019286.1_167	CP019286.1	CP019286.1	167	184349	184585	-1	E											0
CP019286.1_CP019286.1_168	CP019286.1	CP019286.1	168	184659	185285	-1	E											0
CP019286.1_CP019286.1_169	CP019286.1	CP019286.1	169	185484	186671	-1	E											0
CP019286.1_CP019286.1_170	CP019286.1	CP019286.1	170	186807	188249	-1	D										Queuosine biosynthesis protein QueC [PF06508.16]	0
CP019286.1_CP019286.1_171	CP019286.1	CP019286.1	171	188236	188646	-1	E											0
CP019286.1_CP019286.1_172	CP019286.1	CP019286.1	172	188615	189076	-1	E											0
CP019286.1_CP019286.1_173	CP019286.1	CP019286.1	173	189271	190248	1	C	K03124	transcription initiation factor TFIIB								Transcription factor TFIIB repeat [PF00382.22]; TFIIB zinc-binding [PF08271.15]	0
CP019286.1_CP019286.1_174	CP019286.1	CP019286.1	174	190343	191224	1	E											0
CP019286.1_CP019286.1_175	CP019286.1	CP019286.1	175	191321	191551	1	E											0
CP019286.1_CP019286.1_176	CP019286.1	CP019286.1	176	191709	195884	-1	D										AAA ATPase domain [PF13191.9]	0
CP019286.1_CP019286.1_177	CP019286.1	CP019286.1	177	196040	197032	1	E											0
CP019286.1_CP019286.1_178	CP019286.1	CP019286.1	178	197168	199447	1	D										Beta-lactamase superfamily domain [PF12706.10]; Metallo-beta-lactamase superfamily domain [PF16661.8]; Metallo-beta-lactamase superfamily [PF00753.30]	0
CP019286.1_CP019286.1_179	CP019286.1	CP019286.1	179	199538	201226	1	D										AAA domain [PF13401.9]	0
CP019286.1_CP019286.1_180	CP019286.1	CP019286.1	180	201293	201667	-1	D										Nucleotidyltransferase of unknown function (DUF6036) [PF19502.2]	0
CP019286.1_CP019286.1_181	CP019286.1	CP019286.1	181	201664	201873	-1	E											0
CP019286.1_CP019286.1_182	CP019286.1	CP019286.1	182	201972	202898	-1	E											0
CP019286.1_CP019286.1_183	CP019286.1	CP019286.1	183	203039	203362	1	E											0
CP019286.1_CP019286.1_184	CP019286.1	CP019286.1	184	203690	204907	-1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]; AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]; Bacterial TniB protein [PF05621.14]; ATPase domain predominantly from Archaea [PF01637.21]	0
CP019286.1_CP019286.1_185	CP019286.1	CP019286.1	185	205376	205567	-1	E											0
CP019286.1_CP019286.1_186	CP019286.1	CP019286.1	186	205692	206066	-1	E											0
CP019286.1_CP019286.1_187	CP019286.1	CP019286.1	187	206511	208445	-1	E											0
CP019286.1_CP019286.1_188	CP019286.1	CP019286.1	188	208629	209018	-1	E											0
CP019286.1_CP019286.1_189	CP019286.1	CP019286.1	189	209210	210646	1	D										Transposase IS66 family [PF03050.17]	0
CP019286.1_CP019286.1_190	CP019286.1	CP019286.1	190	210699	210989	1	E											0
CP019286.1_CP019286.1_191	CP019286.1	CP019286.1	191	211019	212035	-1	E											0
CP019286.1_CP019286.1_192	CP019286.1	CP019286.1	192	212356	213663	1	E											0
CP019286.1_CP019286.1_193	CP019286.1	CP019286.1	193	214116	215027	1	C	K03496	chromosome partitioning protein								AAA domain [PF13614.9]; VirC1 protein [PF07015.14]; ATPase MipZ [PF09140.14]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]; Cellulose biosynthesis protein BcsQ [PF06564.15]	0
CP019286.1_CP019286.1_194	CP019286.1	CP019286.1	194	215042	215479	1	E											0
CP019286.1_CP019286.1_195	CP019286.1	CP019286.1	195	215794	216195	-1	D										Transposase IS66 family [PF03050.17]	0
