	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
AOID01000019.1_AOID01000019.1_35	AOID01000019.1	AOID01000019.1	35	28798	29034	-1	D										Winged helix-turn-helix DNA-binding [PF13412.9]	0
AOID01000019.1_AOID01000019.1_36	AOID01000019.1	AOID01000019.1	36	29434	29742	1	E											0
AOID01000019.1_AOID01000019.1_37	AOID01000019.1	AOID01000019.1	37	29743	30009	1	E											0
AOID01000019.1_AOID01000019.1_38	AOID01000019.1	AOID01000019.1	38	30009	30443	1	E											0
AOID01000019.1_AOID01000019.1_39	AOID01000019.1	AOID01000019.1	39	30440	30778	1	E											0
AOID01000019.1_AOID01000019.1_40	AOID01000019.1	AOID01000019.1	40	30775	31134	1	D										Domain of unknown function (DUF5658) [PF18902.3]	0
AOID01000019.1_AOID01000019.1_41	AOID01000019.1	AOID01000019.1	41	31134	31997	1	E											0
AOID01000019.1_AOID01000019.1_42	AOID01000019.1	AOID01000019.1	42	31994	32092	1	E											0
AOID01000019.1_AOID01000019.1_43	AOID01000019.1	AOID01000019.1	43	32089	32286	1	E											0
AOID01000019.1_AOID01000019.1_44	AOID01000019.1	AOID01000019.1	44	32283	32882	1	D										DNA N-6-adenine-methyltransferase (Dam) [PF05869.14]	0
AOID01000019.1_AOID01000019.1_45	AOID01000019.1	AOID01000019.1	45	32879	33127	1	E											0
AOID01000019.1_AOID01000019.1_46	AOID01000019.1	AOID01000019.1	46	33124	33387	1	E											0
AOID01000019.1_AOID01000019.1_47	AOID01000019.1	AOID01000019.1	47	33384	34538	1	D										DNA methylase [PF01555.21]	0
AOID01000019.1_AOID01000019.1_48	AOID01000019.1	AOID01000019.1	48	34535	35062	1	E											0
AOID01000019.1_AOID01000019.1_49	AOID01000019.1	AOID01000019.1	49	35276	35686	1	E											0
AOID01000019.1_AOID01000019.1_50	AOID01000019.1	AOID01000019.1	50	35683	36279	1	D										DnaJ domain [PF00226.34]	0
AOID01000019.1_AOID01000019.1_51	AOID01000019.1	AOID01000019.1	51	36276	36491	1	E											0
AOID01000019.1_AOID01000019.1_52	AOID01000019.1	AOID01000019.1	52	36488	37198	1	E											0
AOID01000019.1_AOID01000019.1_53	AOID01000019.1	AOID01000019.1	53	37195	37410	1	E											0
AOID01000019.1_AOID01000019.1_54	AOID01000019.1	AOID01000019.1	54	37917	38234	1	D										Transcriptional regulator PadR-like family [PF03551.17]	0
AOID01000019.1_AOID01000019.1_55	AOID01000019.1	AOID01000019.1	55	38234	38629	1	E											0
AOID01000019.1_AOID01000019.1_56	AOID01000019.1	AOID01000019.1	56	38629	38832	1	E											0
AOID01000019.1_AOID01000019.1_57	AOID01000019.1	AOID01000019.1	57	38834	39067	1	E											0
AOID01000019.1_AOID01000019.1_58	AOID01000019.1	AOID01000019.1	58	39068	39490	1	E											0
AOID01000019.1_AOID01000019.1_59	AOID01000019.1	AOID01000019.1	59	39487	39903	1	E											0
AOID01000019.1_AOID01000019.1_60	AOID01000019.1	AOID01000019.1	60	39904	40086	1	E											0
AOID01000019.1_AOID01000019.1_61	AOID01000019.1	AOID01000019.1	61	40079	40273	1	E											0
AOID01000019.1_AOID01000019.1_62	AOID01000019.1	AOID01000019.1	62	40270	40986	1	E											0
AOID01000019.1_AOID01000019.1_63	AOID01000019.1	AOID01000019.1	63	41094	41747	1	E											0
AOID01000019.1_AOID01000019.1_64	AOID01000019.1	AOID01000019.1	64	41744	42238	1	E											0
AOID01000019.1_AOID01000019.1_65	AOID01000019.1	AOID01000019.1	65	42231	42473	1	E											0
AOID01000019.1_AOID01000019.1_66	AOID01000019.1	AOID01000019.1	66	42476	43003	1	E											0
AOID01000019.1_AOID01000019.1_67	AOID01000019.1	AOID01000019.1	67	42996	43277	1	E											0
AOID01000019.1_AOID01000019.1_68	AOID01000019.1	AOID01000019.1	68	44355	44495	1	E											0
AOID01000019.1_AOID01000019.1_69	AOID01000019.1	AOID01000019.1	69	44628	45473	1	D										AAA domain [PF13614.9]; ATPase MipZ [PF09140.14]; Cellulose biosynthesis protein BcsQ [PF06564.15]; VirC1 protein [PF07015.14]; NUBPL iron-transfer P-loop NTPase [PF10609.12]; CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.26]	0
AOID01000019.1_AOID01000019.1_70	AOID01000019.1	AOID01000019.1	70	45476	45895	1	E											0
AOID01000019.1_AOID01000019.1_71	AOID01000019.1	AOID01000019.1	71	45952	46404	1	E											1
AOID01000019.1_AOID01000019.1_72	AOID01000019.1	AOID01000019.1	72	46505	46894	1	C	K23255	archaeal type IV pilus assembly protein PilA								Archaeal Type IV pilin, N-terminal [PF07790.14]	0
AOID01000019.1_AOID01000019.1_73	AOID01000019.1	AOID01000019.1	73	46944	47144	1	E											0
AOID01000019.1_AOID01000019.1_74	AOID01000019.1	AOID01000019.1	74	47141	47341	1	E											0
AOID01000019.1_AOID01000019.1_75	AOID01000019.1	AOID01000019.1	75	47478	47696	1	E											0
AOID01000019.1_AOID01000019.1_76	AOID01000019.1	AOID01000019.1	76	47693	47968	1	E											0
AOID01000019.1_AOID01000019.1_77	AOID01000019.1	AOID01000019.1	77	48489	48617	1	D										Putative antitoxin [PF02697.17]	0
AOID01000019.1_AOID01000019.1_78	AOID01000019.1	AOID01000019.1	78	48598	49878	1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]	0
AOID01000019.1_AOID01000019.1_79	AOID01000019.1	AOID01000019.1	79	49986	50213	-1	E											0
AOID01000019.1_AOID01000019.1_80	AOID01000019.1	AOID01000019.1	80	50206	50544	-1	E											0
AOID01000019.1_AOID01000019.1_81	AOID01000019.1	AOID01000019.1	81	50541	50792	-1	E											0
AOID01000019.1_AOID01000019.1_82	AOID01000019.1	AOID01000019.1	82	50785	50994	-1	E											0
AOID01000019.1_AOID01000019.1_83	AOID01000019.1	AOID01000019.1	83	51126	51335	-1	E											0
AOID01000019.1_AOID01000019.1_84	AOID01000019.1	AOID01000019.1	84	51337	51759	-1	E											0
AOID01000019.1_AOID01000019.1_85	AOID01000019.1	AOID01000019.1	85	51760	51972	-1	E											0
AOID01000019.1_AOID01000019.1_86	AOID01000019.1	AOID01000019.1	86	51969	52409	-1	E											0
AOID01000019.1_AOID01000019.1_87	AOID01000019.1	AOID01000019.1	87	52406	52813	-1	E											0
AOID01000019.1_AOID01000019.1_88	AOID01000019.1	AOID01000019.1	88	52810	53214	-1	E											0
AOID01000019.1_AOID01000019.1_89	AOID01000019.1	AOID01000019.1	89	53207	53491	-1	E											0
AOID01000019.1_AOID01000019.1_90	AOID01000019.1	AOID01000019.1	90	53488	53778	-1	E											0
AOID01000019.1_AOID01000019.1_91	AOID01000019.1	AOID01000019.1	91	53964	54326	1	E											0
AOID01000019.1_AOID01000019.1_92	AOID01000019.1	AOID01000019.1	92	54372	54572	1	E											0
AOID01000019.1_AOID01000019.1_93	AOID01000019.1	AOID01000019.1	93	54631	55002	1	E											0
AOID01000019.1_AOID01000019.1_94	AOID01000019.1	AOID01000019.1	94	55063	55410	1	E											0
AOID01000019.1_AOID01000019.1_95	AOID01000019.1	AOID01000019.1	95	55451	55624	1	E											0
AOID01000019.1_AOID01000019.1_96	AOID01000019.1	AOID01000019.1	96	55639	56079	-1	E											0
AOID01000019.1_AOID01000019.1_97	AOID01000019.1	AOID01000019.1	97	56076	56228	-1	E											0
AOID01000019.1_AOID01000019.1_98	AOID01000019.1	AOID01000019.1	98	56225	56491	-1	E											0
AOID01000019.1_AOID01000019.1_99	AOID01000019.1	AOID01000019.1	99	56488	56760	-1	E											0
AOID01000019.1_AOID01000019.1_100	AOID01000019.1	AOID01000019.1	100	56757	57131	-1	E											0
AOID01000019.1_AOID01000019.1_101	AOID01000019.1	AOID01000019.1	101	57124	57570	-1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]								HNH endonuclease [PF01844.26]; HNH endonuclease [PF14279.9]	1
AOID01000019.1_AOID01000019.1_102	AOID01000019.1	AOID01000019.1	102	57567	57803	-1	E											0
AOID01000019.1_AOID01000019.1_103	AOID01000019.1	AOID01000019.1	103	57900	58877	1	E											0
AOID01000019.1_AOID01000019.1_104	AOID01000019.1	AOID01000019.1	104	58874	59023	1	E											0
AOID01000019.1_AOID01000019.1_105	AOID01000019.1	AOID01000019.1	105	59090	59641	1	D										Family of unknown function (DUF5806) [PF19122.3]	0
AOID01000019.1_AOID01000019.1_106	AOID01000019.1	AOID01000019.1	106	59628	60260	1	C	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]									1
AOID01000019.1_AOID01000019.1_107	AOID01000019.1	AOID01000019.1	107	60484	61716	1	D										Phage integrase family [PF00589.25]	0
AOID01000019.1_AOID01000019.1_108	AOID01000019.1	AOID01000019.1	108	61638	61868	-1	E											0
AOID01000019.1_AOID01000019.1_109	AOID01000019.1	AOID01000019.1	109	61873	63129	-1	E											0
AOID01000019.1_AOID01000019.1_110	AOID01000019.1	AOID01000019.1	110	63151	63810	-1	E											0
AOID01000019.1_AOID01000019.1_111	AOID01000019.1	AOID01000019.1	111	63817	64314	-1	E											0
AOID01000019.1_AOID01000019.1_112	AOID01000019.1	AOID01000019.1	112	64318	64569	-1	E											0
AOID01000019.1_AOID01000019.1_113	AOID01000019.1	AOID01000019.1	113	64842	67274	-1	E											0
AOID01000019.1_AOID01000019.1_114	AOID01000019.1	AOID01000019.1	114	67278	69359	-1	E											0
AOID01000019.1_AOID01000019.1_115	AOID01000019.1	AOID01000019.1	115	69363	70724	-1	E											0
AOID01000019.1_AOID01000019.1_116	AOID01000019.1	AOID01000019.1	116	70734	71720	-1	E											0
AOID01000019.1_AOID01000019.1_117	AOID01000019.1	AOID01000019.1	117	71720	71989	-1	E											0
AOID01000019.1_AOID01000019.1_118	AOID01000019.1	AOID01000019.1	118	71986	72660	-1	E											0
AOID01000019.1_AOID01000019.1_119	AOID01000019.1	AOID01000019.1	119	72657	72995	-1	E											0
