cluster,cluster_annotation,contig,presence,gene_id,occurances
Cluster 14,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_18,40
Cluster 14,"",JAJCVI010000002.1,1,JAJCVI010000002.1_573,40
Cluster 14,"",AOIO01000049.1,1,AOIO01000049.1_112,40
Cluster 14,"",AOIP01000022.1,1,AOIP01000022.1_36,40
Cluster 14,"",AOJE01000025.1,1,AOJE01000025.1_41,40
Cluster 14,"",CP031299.1,1,CP031299.1_28,40
Cluster 14,"",JDTG01000019.1,1,JDTG01000019.1_101,40
Cluster 14,"",NC_015659.1,1,NC_015659.1_84,40
Cluster 14,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_31,40
Cluster 14,"",FOXI01000018.1,1,FOXI01000018.1_35,40
Cluster 14,"",JAANTI010000009.1,1,JAANTI010000009.1_19,40
Cluster 14,"",NC_013748.1,1,NC_013748.1_29,40
Cluster 14,"",AOJE01000051.1,1,AOJE01000051.1_19,40
Cluster 14,"",CP019329.1,1,CP019329.1_56,40
Cluster 14,"",AOJE01000051.1,1,AOJE01000051.1_20,40
Cluster 15,"",AOJE01000025.1,1,AOJE01000025.1_54,1
Cluster 16,"",AOIO01000049.1,1,AOIO01000049.1_91,40
Cluster 16,"",AOIR01000042.1,1,AOIR01000042.1_44,40
Cluster 16,"",LOAJ01000002.1,1,LOAJ01000002.1_60,40
Cluster 16,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_31,40
Cluster 16,"",LWLN01000003.1,1,LWLN01000003.1_14,40
Cluster 16,"",RJJW01000001.1,1,RJJW01000001.1_29,40
Cluster 16,"",KX687704.1,1,KX687704.1_8,40
Cluster 16,"",KX906370.1,1,KX906370.1_89,40
Cluster 16,"",SJER01000008.1,1,SJER01000008.1_128,40
Cluster 16,"",QKNW01000002.1,1,QKNW01000002.1_40,40
Cluster 16,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_10,40
Cluster 16,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_2,40
Cluster 16,"",JAJCVI010000007.1,1,JAJCVI010000007.1_14,40
Cluster 16,"",WSZK01000033.1,1,WSZK01000033.1_35,40
Cluster 16,"",SRIF01000015.1,1,SRIF01000015.1_78,40
Cluster 16,"",BBJN01000020.1,1,BBJN01000020.1_33,40
Cluster 16,"",CP101158.1,1,CP101158.1_75,40
Cluster 16,"",CP101161.1,1,CP101161.1_3056,40
Cluster 16,"",FOXI01000018.1,1,FOXI01000018.1_54,40
Cluster 16,"",CP095494.1,1,CP095494.1_35,40
Cluster 16,"",JAJCVI010000002.1,1,JAJCVI010000002.1_558,40
Cluster 16,"",AOLZ01000012.1,1,AOLZ01000012.1_20,40
Cluster 16,"",CP019286.1,1,CP019286.1_49,40
Cluster 16,"",JDTG01000019.1,1,JDTG01000019.1_82,40
Cluster 16,"",CP119801.1,1,CP119801.1_44,40
Cluster 16,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_13,40
Cluster 16,"",NC_015659.1,1,NC_015659.1_101,40
Cluster 16,"",NC_013748.1,1,NC_013748.1_10,40
Cluster 16,"",CP084476.1,1,CP084476.1_75,40
Cluster 16,"",JAAOHU010000009.1,1,JAAOHU010000009.1_3,40
Cluster 16,"",AOIP01000022.1,1,AOIP01000022.1_22,40
Cluster 16,"",CP099999.1,1,CP099999.1_40,40
Cluster 16,"",CP019329.1,1,CP019329.1_79,40
Cluster 16,"",AOJE01000025.1,1,AOJE01000025.1_28,40
Cluster 16,"",FNFE01000011.1,1,FNFE01000011.1_20,40
Cluster 16,"",JAANTI010000009.1,1,JAANTI010000009.1_1,40
Cluster 16,"",CP031299.1,1,CP031299.1_9,40
Cluster 16,"",CP100004.1,1,CP100004.1_1,40
Cluster 16,"",AOJE01000051.1,1,AOJE01000051.1_48,40
Cluster 16,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_44,40
Cluster 17,"",AOIR01000042.1,1,AOIR01000042.1_33,1
Cluster 18,ORF24,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_19,9
Cluster 18,ORF24,CP095494.1,1,CP095494.1_51,9
Cluster 18,ORF24,LWLN01000003.1,1,LWLN01000003.1_28,9
Cluster 18,ORF24,AOLZ01000012.1,1,AOLZ01000012.1_34,9
Cluster 18,ORF24,CP019286.1,1,CP019286.1_35,9
Cluster 18,ORF24,CP019329.1,1,CP019329.1_60,9
Cluster 18,ORF24,JAJCVI010000002.1,1,JAJCVI010000002.1_570,9
Cluster 18,ORF24,CP101161.1,1,CP101161.1_3068,9
Cluster 18,ORF24,AOIR01000042.1,1,AOIR01000042.1_56,9
Cluster 19,"",WSZK01000033.1,1,WSZK01000033.1_46,2
Cluster 19,"",QKNW01000002.1,1,QKNW01000002.1_6,2
Cluster 20,"",BBJN01000020.1,1,BBJN01000020.1_49,1
Cluster 21,"",JAAOHU010000009.1,1,JAAOHU010000009.1_19,14
Cluster 21,"",CP100004.1,1,CP100004.1_28,14
Cluster 21,"",CP099999.1,1,CP099999.1_52,14
Cluster 21,"",CP101158.1,1,CP101158.1_56,14
Cluster 21,"",WSZK01000033.1,1,WSZK01000033.1_20,14
Cluster 21,"",CP100004.1,1,CP100004.1_23,14
Cluster 21,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_25,14
Cluster 21,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_29,14
Cluster 21,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_21,14
Cluster 21,"",CP019329.1,1,CP019329.1_55,14
Cluster 21,"",CP095494.1,1,CP095494.1_53,14
Cluster 21,"",CP119801.1,1,CP119801.1_25,14
Cluster 21,"",SRIF01000015.1,1,SRIF01000015.1_55,14
Cluster 21,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_1,14
Cluster 22,"",AOIO01000049.1,1,AOIO01000049.1_105,1
Cluster 23,ORF24,QKNW01000002.1,1,QKNW01000002.1_21,5
Cluster 23,ORF24,RJJW01000001.1,1,RJJW01000001.1_45,5
Cluster 23,ORF24,Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_27,5
Cluster 23,ORF24,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_27,5
Cluster 23,ORF24,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_19,5
Cluster 24,ORF6,JAJCVI010000007.1,1,JAJCVI010000007.1_12,1
Cluster 25,"",CP101161.1,1,CP101161.1_3070,1
Cluster 26,"",FOXI01000018.1,1,FOXI01000018.1_32,2
Cluster 26,"",JAANTI010000009.1,1,JAANTI010000009.1_22,2
Cluster 27,ORF24,SJER01000008.1,1,SJER01000008.1_143,7
Cluster 27,ORF24,FNFE01000011.1,1,FNFE01000011.1_37,7
Cluster 27,ORF24,SRIF01000015.1,1,SRIF01000015.1_58,7
Cluster 27,ORF24,JAJCVI010000007.1,1,JAJCVI010000007.1_29,7
Cluster 27,ORF24,CP099999.1,1,CP099999.1_27,7
Cluster 27,ORF24,CP119801.1,1,CP119801.1_28,7
Cluster 27,ORF24,JAAOHU010000009.1,1,JAAOHU010000009.1_55,7
Cluster 28,"",FOXI01000018.1,1,FOXI01000018.1_25,2
Cluster 28,"",JAANTI010000009.1,1,JAANTI010000009.1_28,2
Cluster 29,"",RJJW01000001.1,1,RJJW01000001.1_14,2
Cluster 29,"",RJJW01000001.1,1,RJJW01000001.1_24,2
Cluster 30,ORF24,LOAJ01000002.1,1,LOAJ01000002.1_45,19
Cluster 30,ORF24,CP031299.1,1,CP031299.1_27,19
Cluster 30,ORF24,JDTG01000019.1,1,JDTG01000019.1_100,19
Cluster 30,ORF24,BBJN01000020.1,1,BBJN01000020.1_46,19
Cluster 30,ORF24,CP101158.1,1,CP101158.1_91,19
Cluster 30,ORF24,KX687704.1,1,KX687704.1_25,19
Cluster 30,ORF24,KX906370.1,1,KX906370.1_106,19
Cluster 30,ORF24,Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_29,19
Cluster 30,ORF24,NC_013748.1,1,NC_013748.1_28,19
Cluster 30,ORF24,WSZK01000033.1,1,WSZK01000033.1_22,19
Cluster 30,ORF24,AOIO01000049.1,1,AOIO01000049.1_111,19
Cluster 30,ORF24,AOIP01000022.1,1,AOIP01000022.1_35,19
Cluster 30,ORF24,CP084476.1,1,CP084476.1_53,19
Cluster 30,ORF24,NC_015659.1,1,NC_015659.1_85,19
Cluster 30,ORF24,FOXI01000018.1,1,FOXI01000018.1_39,19
Cluster 30,ORF24,JAANTI010000009.1,1,JAANTI010000009.1_16,19
Cluster 30,ORF24,AOJE01000051.1,1,AOJE01000051.1_21,19
Cluster 30,ORF24,CP100004.1,1,CP100004.1_19,19
Cluster 30,ORF24,AOJE01000025.1,1,AOJE01000025.1_40,19
Cluster 31,"",JAJCVI010000007.1,1,JAJCVI010000007.1_4,1
Cluster 32,"",JAJCVI010000007.1,1,JAJCVI010000007.1_6,2
Cluster 32,"",AOIR01000042.1,1,AOIR01000042.1_66,2
Cluster 33,"",CP019286.1,1,CP019286.1_52,6
Cluster 33,"",AOLZ01000012.1,1,AOLZ01000012.1_17,6
Cluster 33,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_14,6
Cluster 33,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_6,6
Cluster 33,"",NC_015659.1,1,NC_015659.1_97,6
Cluster 33,"",NC_015659.1,1,NC_015659.1_98,6
Cluster 34,"",JAJCVI010000007.1,1,JAJCVI010000007.1_2,1
Cluster 35,"",AOJE01000051.1,1,AOJE01000051.1_53,1
Cluster 36,"",JAANTI010000009.1,1,JAANTI010000009.1_31,1
Cluster 37,"",FNFE01000011.1,1,FNFE01000011.1_23,1
Cluster 38,"",AOIO01000049.1,1,AOIO01000049.1_106,1
Cluster 39,"",AOJE01000025.1,1,AOJE01000025.1_51,1
Cluster 40,"",BBJN01000020.1,1,BBJN01000020.1_61,1
Cluster 41,"",JAJCVI010000007.1,1,JAJCVI010000007.1_9,1
Cluster 42,"",CP101161.1,1,CP101161.1_3045,1
Cluster 43,"",JAJCVI010000002.1,1,JAJCVI010000002.1_575,1
Cluster 44,"",AOJE01000025.1,1,AOJE01000025.1_49,3
Cluster 44,"",LOAJ01000002.1,1,LOAJ01000002.1_35,3
Cluster 44,"",CP101158.1,1,CP101158.1_92,3
Cluster 45,"",QKNW01000002.1,1,QKNW01000002.1_17,24
Cluster 45,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_24,24
Cluster 45,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_30,24
Cluster 45,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_22,24
Cluster 45,"",AOJE01000051.1,1,AOJE01000051.1_18,24
Cluster 45,"",KX687704.1,1,KX687704.1_28,24
Cluster 45,"",KX906370.1,1,KX906370.1_109,24
Cluster 45,"",LOAJ01000002.1,1,LOAJ01000002.1_40,24
Cluster 45,"",AOIP01000022.1,1,AOIP01000022.1_38,24
Cluster 45,"",CP101158.1,1,CP101158.1_95,24
Cluster 45,"",WSZK01000033.1,1,WSZK01000033.1_18,24
Cluster 45,"",CP019329.1,1,CP019329.1_54,24
Cluster 45,"",CP100004.1,1,CP100004.1_27,24
Cluster 45,"",CP119801.1,1,CP119801.1_24,24
Cluster 45,"",SRIF01000015.1,1,SRIF01000015.1_53,24
Cluster 45,"",SJER01000008.1,1,SJER01000008.1_146,24
Cluster 45,"",NC_015659.1,1,NC_015659.1_82,24
Cluster 45,"",LWLN01000003.1,1,LWLN01000003.1_32,24
Cluster 45,"",CP084476.1,1,CP084476.1_50,24
Cluster 45,"",NC_013748.1,1,NC_013748.1_31,24
Cluster 45,"",CP031299.1,1,CP031299.1_30,24
Cluster 45,"",JDTG01000019.1,1,JDTG01000019.1_103,24
Cluster 45,"",RJJW01000001.1,1,RJJW01000001.1_49,24
Cluster 45,"",JAJCVI010000007.1,1,JAJCVI010000007.1_32,24
Cluster 46,"",AOJE01000025.1,1,AOJE01000025.1_53,1
Cluster 47,"",SRIF01000015.1,1,SRIF01000015.1_76,1
Cluster 48,"",CP101161.1,1,CP101161.1_3049,1
Cluster 49,"",AOIO01000049.1,1,AOIO01000049.1_86,1
Cluster 50,"",CP084476.1,1,CP084476.1_71,3
Cluster 50,"",CP031299.1,1,CP031299.1_14,3
Cluster 50,"",JDTG01000019.1,1,JDTG01000019.1_87,3
Cluster 51,"",CP101158.1,1,CP101158.1_106,1
Cluster 52,"",AOIR01000042.1,1,AOIR01000042.1_34,1
Cluster 53,"",CP031299.1,1,CP031299.1_13,2
Cluster 53,"",JDTG01000019.1,1,JDTG01000019.1_86,2
Cluster 54,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_15,1
Cluster 55,ORF10,LOAJ01000002.1,1,LOAJ01000002.1_58,7
Cluster 55,ORF10,KX687704.1,1,KX687704.1_10,7
Cluster 55,ORF10,KX906370.1,1,KX906370.1_91,7
Cluster 55,ORF10,AOJE01000051.1,1,AOJE01000051.1_40,7
Cluster 55,ORF10,AOLZ01000012.1,1,AOLZ01000012.1_22,7
Cluster 55,ORF10,CP019286.1,1,CP019286.1_47,7
Cluster 55,ORF10,NC_013748.1,1,NC_013748.1_15,7
Cluster 56,"",CP084476.1,1,CP084476.1_72,1
Cluster 57,"",WSZK01000033.1,1,WSZK01000033.1_14,1
Cluster 58,"",JAJCVI010000007.1,1,JAJCVI010000007.1_8,1
Cluster 59,"",JAAOHU010000009.1,1,JAAOHU010000009.1_68,1
Cluster 60,ORF23,SJER01000008.1,1,SJER01000008.1_142,39
Cluster 60,ORF23,RJJW01000001.1,1,RJJW01000001.1_44,39
Cluster 60,ORF23,CP019329.1,1,CP019329.1_61,39
Cluster 60,ORF23,JAAOHU010000009.1,1,JAAOHU010000009.1_56,39
Cluster 60,ORF23,SRIF01000015.1,1,SRIF01000015.1_59,39
Cluster 60,ORF23,JAJCVI010000007.1,1,JAJCVI010000007.1_28,39
Cluster 60,ORF23,CP119801.1,1,CP119801.1_29,39
Cluster 60,ORF23,QKNW01000002.1,1,QKNW01000002.1_22,39
Cluster 60,ORF23,Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_28,39
Cluster 60,ORF23,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_26,39
Cluster 60,ORF23,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_18,39
Cluster 60,ORF23,CP095494.1,1,CP095494.1_50,39
Cluster 60,ORF23,FNFE01000011.1,1,FNFE01000011.1_36,39
Cluster 60,ORF23,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_20,39
Cluster 60,ORF23,AOLZ01000012.1,1,AOLZ01000012.1_33,39
Cluster 60,ORF23,CP019286.1,1,CP019286.1_36,39
Cluster 60,ORF23,CP099999.1,1,CP099999.1_28,39
Cluster 60,ORF23,AOIR01000042.1,1,AOIR01000042.1_55,39
Cluster 60,ORF23,LWLN01000003.1,1,LWLN01000003.1_27,39
Cluster 60,ORF23,WSZK01000033.1,1,WSZK01000033.1_23,39
Cluster 60,ORF23,JAJCVI010000002.1,1,JAJCVI010000002.1_569,39
Cluster 60,ORF23,CP101158.1,1,CP101158.1_90,39
Cluster 60,ORF23,AOJE01000025.1,1,AOJE01000025.1_39,39
Cluster 60,ORF23,LOAJ01000002.1,1,LOAJ01000002.1_46,39
Cluster 60,ORF23,KX687704.1,1,KX687704.1_24,39
Cluster 60,ORF23,KX906370.1,1,KX906370.1_105,39
Cluster 60,ORF23,FOXI01000018.1,1,FOXI01000018.1_40,39
Cluster 60,ORF23,JAANTI010000009.1,1,JAANTI010000009.1_15,39
Cluster 60,ORF23,CP084476.1,1,CP084476.1_54,39
Cluster 60,ORF23,BBJN01000020.1,1,BBJN01000020.1_45,39
Cluster 60,ORF23,NC_013748.1,1,NC_013748.1_27,39
Cluster 60,ORF23,NC_015659.1,1,NC_015659.1_86,39
Cluster 60,ORF23,CP100004.1,1,CP100004.1_17,39
Cluster 60,ORF23,CP031299.1,1,CP031299.1_26,39
Cluster 60,ORF23,JDTG01000019.1,1,JDTG01000019.1_99,39
Cluster 60,ORF23,AOIO01000049.1,1,AOIO01000049.1_110,39
Cluster 60,ORF23,AOIP01000022.1,1,AOIP01000022.1_34,39
Cluster 60,ORF23,Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_28,39
Cluster 60,ORF23,CP101161.1,1,CP101161.1_3067,39
Cluster 61,"",CP101161.1,1,CP101161.1_3079,2
Cluster 61,"",CP101161.1,1,CP101161.1_3051,2
Cluster 62,"",RJJW01000001.1,1,RJJW01000001.1_50,1
Cluster 63,"",BBJN01000020.1,1,BBJN01000020.1_50,1
Cluster 64,"",BBJN01000020.1,1,BBJN01000020.1_58,1
Cluster 65,"",AOJE01000025.1,1,AOJE01000025.1_46,1
Cluster 66,"",CP101161.1,1,CP101161.1_3080,1
Cluster 67,"",SRIF01000015.1,1,SRIF01000015.1_50,2
Cluster 67,"",LWLN01000003.1,1,LWLN01000003.1_43,2
Cluster 68,"",KX906370.1,1,KX906370.1_110,13
Cluster 68,"",KX687704.1,1,KX687704.1_40,13
Cluster 68,"",RJJW01000001.1,1,RJJW01000001.1_52,13
Cluster 68,"",AOJE01000051.1,1,AOJE01000051.1_17,13
Cluster 68,"",KX687704.1,1,KX687704.1_29,13
Cluster 68,"",FNFE01000011.1,1,FNFE01000011.1_11,13
Cluster 68,"",LOAJ01000002.1,1,LOAJ01000002.1_39,13
Cluster 68,"",CP101158.1,1,CP101158.1_61,13
Cluster 68,"",FNFE01000011.1,1,FNFE01000011.1_12,13
Cluster 68,"",CP019329.1,1,CP019329.1_94,13
Cluster 68,"",CP119801.1,1,CP119801.1_56,13
Cluster 68,"",CP099999.1,1,CP099999.1_48,13
Cluster 68,"",CP084476.1,1,CP084476.1_87,13
Cluster 69,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_8,1
Cluster 70,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_40,2
Cluster 70,"",CP099999.1,1,CP099999.1_18,2
Cluster 71,"",NC_013748.1,1,NC_013748.1_14,1
Cluster 72,"",JAJCVI010000007.1,1,JAJCVI010000007.1_41,1
Cluster 73,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_7,1
Cluster 74,ORF17,JAJCVI010000007.1,1,JAJCVI010000007.1_22,42
Cluster 74,ORF17,AOLZ01000012.1,1,AOLZ01000012.1_27,42
Cluster 74,ORF17,CP019329.1,1,CP019329.1_67,42
Cluster 74,ORF17,SJER01000008.1,1,SJER01000008.1_136,42
Cluster 74,ORF17,JAAOHU010000009.1,1,JAAOHU010000009.1_62,42
Cluster 74,ORF17,CP019286.1,1,CP019286.1_42,42
Cluster 74,ORF17,CP099999.1,1,CP099999.1_34,42
Cluster 74,ORF17,FNFE01000011.1,1,FNFE01000011.1_30,42
Cluster 74,ORF17,CP101158.1,1,CP101158.1_84,42
Cluster 74,ORF17,NC_013748.1,1,NC_013748.1_21,42
Cluster 74,ORF17,LWLN01000003.1,1,LWLN01000003.1_21,42
Cluster 74,ORF17,CP031299.1,1,CP031299.1_20,42
Cluster 74,ORF17,JDTG01000019.1,1,JDTG01000019.1_93,42
Cluster 74,ORF17,AOIO01000049.1,1,AOIO01000049.1_99,42
Cluster 74,ORF17,RJJW01000001.1,1,RJJW01000001.1_38,42
Cluster 74,ORF17,AOIP01000022.1,1,AOIP01000022.1_28,42
Cluster 74,ORF17,NC_015659.1,1,NC_015659.1_92,42
Cluster 74,ORF17,WSZK01000033.1,1,WSZK01000033.1_29,42
Cluster 74,ORF17,CP084476.1,1,CP084476.1_60,42
Cluster 74,ORF17,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_20,42
Cluster 74,ORF17,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_12,42
Cluster 74,ORF17,QKNW01000002.1,1,QKNW01000002.1_28,42
Cluster 74,ORF17,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_26,42
Cluster 74,ORF17,Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_34,42
Cluster 74,ORF17,CP119801.1,1,CP119801.1_35,42
Cluster 74,ORF17,KX687704.1,1,KX687704.1_18,42
Cluster 74,ORF17,KX906370.1,1,KX906370.1_99,42
Cluster 74,ORF17,SRIF01000015.1,1,SRIF01000015.1_66,42
Cluster 74,ORF17,AOIR01000042.1,1,AOIR01000042.1_49,42
Cluster 74,ORF17,AOJE01000051.1,1,AOJE01000051.1_29,42
Cluster 74,ORF17,CP095494.1,1,CP095494.1_44,42
Cluster 74,ORF17,LOAJ01000002.1,1,LOAJ01000002.1_52,42
Cluster 74,ORF17,JAJCVI010000002.1,1,JAJCVI010000002.1_563,42
Cluster 74,ORF17,CP100004.1,1,CP100004.1_10,42
Cluster 74,ORF17,Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_21,42
Cluster 74,ORF17,FOXI01000018.1,1,FOXI01000018.1_47,42
Cluster 74,ORF17,JAANTI010000009.1,1,JAANTI010000009.1_8,42
Cluster 74,ORF17,BBJN01000020.1,1,BBJN01000020.1_39,42
Cluster 74,ORF17,CP101161.1,1,CP101161.1_3061,42
Cluster 74,ORF17,AOJE01000025.1,1,AOJE01000025.1_34,42
Cluster 74,ORF17,CP095494.1,1,CP095494.1_43,42
