orf#,start,end,strand,contig,id,annot,score,evalue,aln_length
66,46312,47382,TRUE,CP050018.1,CP050018.1_66,,,,
67,47395,48804,TRUE,CP050018.1,CP050018.1_67,ORF23.faa,556.7,2.9e-169,430
68,48804,50789,TRUE,CP050018.1,CP050018.1_68,ORF24.faa,629.3,4.2e-191,521
69,50802,51125,TRUE,CP050018.1,CP050018.1_69,,,,
70,51122,53572,TRUE,CP050018.1,CP050018.1_70,,,,
71,53572,54531,TRUE,CP050018.1,CP050018.1_71,,,,
72,54825,55178,TRUE,CP050018.1,CP050018.1_72,,,,
73,55524,56003,FALSE,CP050018.1,CP050018.1_73,,,,
22,10955,11275,TRUE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_22,,,,
23,11529,12797,TRUE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_23,,,,
24,13177,14838,TRUE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_24,,,,
25,15258,16229,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_25,,,,
26,16238,18718,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_26,,,,
27,18816,20714,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_27,ORF24.faa,338.9,1e-103,24
28,20714,22084,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_28,ORF23.faa,362.3,7.1e-111,426
29,22084,23154,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_29,,,,
30,23144,23896,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_30,ORF21.faa,187.5,5.1e-58,173
31,23889,24161,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_31,,,,
32,24344,24619,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_32,,,,
33,24620,24892,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_33,,,,
34,24906,25832,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_34,ORF17.faa,299.5,5.7e-92,280
35,25839,26201,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_35,,,,
36,26205,26345,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_36,,,,
37,26414,27088,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_37,,,,
38,27215,27478,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_38,,,,
39,27814,28845,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_39,ORF10.faa,177.4,1.1e-54,329
40,29012,29698,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_40,,,,
41,29800,30504,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_41,,,,
42,30504,31511,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_42,,,,
43,31601,32383,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_43,ORF8.faa,122.8,3.1e-38,247
44,32387,33154,FALSE,Eyre_NODE_236_length_33155_cov_19.932,Eyre_NODE_236_length_33155_cov_19.932_44,,,,
4,3448,3720,FALSE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_4,,,,
5,3866,4240,FALSE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_5,,,,
6,4412,4702,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_6,,,,
7,5023,5259,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_7,,,,
8,5518,6183,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_8,,,,
9,6199,9729,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_9,ORF6.faa,561.3,1.7e-170,212
10,9726,11339,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_10,,,,
11,11336,12145,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_11,ORF8.faa,105,1.1e-32,235
12,12323,13282,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_12,,,,
13,13287,14498,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_13,,,,
14,14507,15604,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_14,,,,
15,15803,16837,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_15,ORF10.faa,175,7.6e-54,312
16,16840,17103,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_16,,,,
17,17229,17903,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_17,,,,
18,17972,18112,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_18,,,,
19,18116,18478,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_19,,,,
20,18485,19423,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_20,ORF17.faa,294.3,2.7e-90,283
21,19437,19709,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_21,,,,
22,19710,19985,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_22,,,,
23,20168,20440,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_23,,,,
24,20433,21185,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_24,ORF21.faa,185.8,2.1e-57,173
25,21172,22245,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_25,,,,
26,22245,23612,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_26,ORF23.faa,358.7,1.1e-109,425
27,23612,25495,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_27,ORF24.faa,331.6,2.1e-101,24
28,25595,28075,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_28,,,,
29,28083,29054,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_29,,,,
30,29494,31155,FALSE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_30,,,,
31,31545,32807,FALSE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_31,,,,
32,33209,34501,TRUE,Eyresouth_NODE_101_length_48437_cov_7.17035,Eyresouth_NODE_101_length_48437_cov_7.17035_32,,,,
1,2,1678,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_1,ORF6.faa,368.8,9.2e-113,467
2,1675,3288,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_2,,,,
3,3285,4097,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_3,ORF8.faa,102.5,2.5e-32,235
4,4274,5233,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_4,,,,
5,5238,6449,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_5,,,,
6,6458,7555,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_6,,,,
7,7754,8788,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_7,ORF10.faa,178.3,3e-55,308
8,8791,9054,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_8,,,,
9,9180,9854,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_9,,,,
10,9923,10063,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_10,,,,
11,10067,10429,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_11,,,,
12,10436,11374,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_12,ORF17.faa,296.3,2.7e-91,283
13,11388,11660,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_13,,,,
14,11661,11936,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_14,,,,
15,12119,12391,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_15,,,,
16,12384,13136,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_16,ORF21.faa,185.5,1.1e-57,173
17,13123,14196,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_17,,,,
18,14196,15563,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_18,ORF23.faa,357.4,1.1e-109,427
19,15563,17446,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_19,ORF24.faa,330.3,2.1e-101,24
20,17546,20026,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_20,,,,
21,20034,21005,TRUE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_21,,,,
22,21419,23080,FALSE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_22,,,,
23,23470,24732,FALSE,Frome_NODE_383_length_24936_cov_4.316346,Frome_NODE_383_length_24936_cov_4.316346_23,,,,
7,3047,3319,FALSE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_7,,,,
8,3593,4456,FALSE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_8,,,,
9,4479,5072,FALSE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_9,,,,
10,5088,5531,FALSE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_10,,,,
11,6049,6687,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_11,,,,
12,6704,10945,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_12,ORF6.faa,552.7,9.6e-168,1223
13,10942,12510,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_13,,,,
14,12514,13308,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_14,ORF8.faa,113.7,3.4e-35,248
15,13399,14919,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_15,,,,
16,15073,16071,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_16,ORF10.faa,174.2,1.9e-53,305
17,16215,16733,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_17,,,,
18,16891,17505,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_18,,,,
19,17505,18035,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_19,,,,
20,18036,18341,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_20,,,,
21,18338,19234,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_21,ORF17.faa,378.4,9.8e-116,288
22,19266,19514,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_22,,,,
23,19511,19792,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_23,,,,
24,19905,20171,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_24,,,,
25,20168,20764,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_25,ORF21.faa,192.5,2.8e-59,182
26,20767,21009,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_26,,,,
27,21009,22019,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_27,,,,
28,22016,23251,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_28,ORF23.faa,552.1,3.2e-168,425
29,23251,24945,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_29,ORF24.faa,580.4,1.2e-176,23
30,24942,25253,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_30,,,,
31,25309,27666,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_31,,,,
32,27807,28184,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_32,,,,
33,28193,28597,TRUE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_33,,,,
34,28607,28789,FALSE,Gairdner_NODE_107_length_49922_cov_74.384603,Gairdner_NODE_107_length_49922_cov_74.384603_34,,,,
14,11725,12033,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_14,,,,
15,12065,12409,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_15,,,,
16,12585,12893,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_16,,,,
17,12944,13231,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_17,,,,
18,13985,16360,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_18,,,,
19,16378,18645,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_19,ORF24.faa,378.3,1.3e-115,494
20,18645,20003,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_20,ORF23.faa,374.2,2e-114,427
21,20000,21013,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_21,,,,
22,21013,21723,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_22,ORF21.faa,150.8,1e-46,162
23,21707,22057,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_23,,,,
24,22174,22443,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_24,,,,
25,22440,22658,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_25,,,,
26,22655,23584,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_26,ORF17.faa,297.9,1.9e-91,291
27,23569,23991,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_27,,,,
28,23988,24740,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_28,,,,
29,24747,25733,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_29,ORF10.faa,150.3,2.2e-46,329
30,25869,26744,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_30,ORF8.faa,199.4,1.5e-61,258
31,26748,28418,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_31,,,,
32,28415,32692,FALSE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_32,ORF6.faa,876,1.5e-265,433
33,32936,33493,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_33,,,,
34,33490,33882,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_34,,,,
35,33879,34271,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_35,,,,
36,34268,34873,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_36,,,,
37,34863,35072,TRUE,Gairdner_NODE_167_length_41210_cov_9.888325,Gairdner_NODE_167_length_41210_cov_9.888325_37,,,,
2,3558,3725,TRUE,KX687704.1,KX687704.1_2,,,,
3,3727,4059,TRUE,KX687704.1,KX687704.1_3,,,,
4,4123,4812,FALSE,KX687704.1,KX687704.1_4,,,,
5,5008,5754,TRUE,KX687704.1,KX687704.1_5,,,,
6,5748,5930,FALSE,KX687704.1,KX687704.1_6,,,,
7,6074,10228,TRUE,KX687704.1,KX687704.1_7,ORF6.faa,1080.2,0,1227
8,10225,11880,TRUE,KX687704.1,KX687704.1_8,,,,
9,11889,12683,TRUE,KX687704.1,KX687704.1_9,ORF8.faa,275.5,8.6e-85,257
10,12795,14303,TRUE,KX687704.1,KX687704.1_10,ORF10.faa,127.3,2e-39,157
11,14306,14602,TRUE,KX687704.1,KX687704.1_11,,,,
12,14930,16234,FALSE,KX687704.1,KX687704.1_12,,,,
13,16262,16399,TRUE,KX687704.1,KX687704.1_13,,,,
14,16713,17450,TRUE,KX687704.1,KX687704.1_14,,,,
15,17450,17833,TRUE,KX687704.1,KX687704.1_15,,,,
16,17830,18147,TRUE,KX687704.1,KX687704.1_16,,,,
17,18256,18630,FALSE,KX687704.1,KX687704.1_17,,,,
18,18769,19686,TRUE,KX687704.1,KX687704.1_18,ORF17.faa,362.6,3.7e-111,293
19,19683,19925,TRUE,KX687704.1,KX687704.1_19,,,,
20,19922,20203,TRUE,KX687704.1,KX687704.1_20,,,,
21,20352,20588,TRUE,KX687704.1,KX687704.1_21,,,,
22,20595,21194,TRUE,KX687704.1,KX687704.1_22,ORF21.faa,233.2,5.6e-72,187
23,21194,22216,TRUE,KX687704.1,KX687704.1_23,,,,
24,22213,23505,TRUE,KX687704.1,KX687704.1_24,ORF23.faa,526.5,1.1e-160,410
25,23505,25208,TRUE,KX687704.1,KX687704.1_25,ORF24.faa,597,6.4e-182,500
26,25251,27767,TRUE,KX687704.1,KX687704.1_26,,,,
27,27791,28189,FALSE,KX687704.1,KX687704.1_27,,,,
28,28254,29879,FALSE,KX687704.1,KX687704.1_28,,,,
29,30942,32189,TRUE,KX687704.1,KX687704.1_29,,,,
30,32296,32985,TRUE,KX687704.1,KX687704.1_30,,,,
4,2526,3419,TRUE,NC_013748.1,NC_013748.1_4,,,,
5,3425,3604,FALSE,NC_013748.1,NC_013748.1_5,,,,
6,3635,4306,FALSE,NC_013748.1,NC_013748.1_6,,,,
7,4417,4617,FALSE,NC_013748.1,NC_013748.1_7,,,,
8,5013,5537,TRUE,NC_013748.1,NC_013748.1_8,,,,
9,5547,8963,TRUE,NC_013748.1,NC_013748.1_9,ORF6.faa,1100.2,0,1179
10,8968,10521,TRUE,NC_013748.1,NC_013748.1_10,,,,
11,10525,11331,TRUE,NC_013748.1,NC_013748.1_11,ORF8.faa,320.3,4e-98,250
12,11341,12393,TRUE,NC_013748.1,NC_013748.1_12,ORF8.faa,141.4,1.5e-43,20
13,12399,13223,TRUE,NC_013748.1,NC_013748.1_13,,,,
14,13195,14592,TRUE,NC_013748.1,NC_013748.1_14,,,,
15,14734,15852,TRUE,NC_013748.1,NC_013748.1_15,ORF10.faa,216.2,3.8e-66,334
16,15928,16335,TRUE,NC_013748.1,NC_013748.1_16,,,,
17,16336,16587,TRUE,NC_013748.1,NC_013748.1_17,,,,
18,16751,17440,TRUE,NC_013748.1,NC_013748.1_18,,,,
19,17440,17637,TRUE,NC_013748.1,NC_013748.1_19,,,,
20,17640,18086,TRUE,NC_013748.1,NC_013748.1_20,,,,
21,18074,19048,TRUE,NC_013748.1,NC_013748.1_21,ORF17.faa,417.9,1.1e-127,298
22,19045,19281,TRUE,NC_013748.1,NC_013748.1_22,,,,
23,19278,19574,TRUE,NC_013748.1,NC_013748.1_23,,,,
24,19735,19950,TRUE,NC_013748.1,NC_013748.1_24,,,,
25,19947,20528,TRUE,NC_013748.1,NC_013748.1_25,ORF21.faa,214,9e-66,191
26,20525,21550,TRUE,NC_013748.1,NC_013748.1_26,,,,
27,21550,22806,TRUE,NC_013748.1,NC_013748.1_27,ORF23.faa,567.9,6.3e-173,421
28,22809,24488,TRUE,NC_013748.1,NC_013748.1_28,ORF24.faa,628.8,3.2e-191,510
