orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,length
57,41617,42021,TRUE,CP050018.1,CP050018.1_57,unknown,,,,404
58,42025,42372,TRUE,CP050018.1,CP050018.1_58,unknown,,,,347
59,42468,42689,TRUE,CP050018.1,CP050018.1_59,unknown,,,,221
60,42674,43606,TRUE,CP050018.1,CP050018.1_60,ORF17,372.9,1e-113,291,932
61,43603,43830,TRUE,CP050018.1,CP050018.1_61,unknown,,,,227
62,43830,44147,TRUE,CP050018.1,CP050018.1_62,unknown,,,,317
63,44187,45278,TRUE,CP050018.1,CP050018.1_63,unknown,,,,1091
64,45278,45610,TRUE,CP050018.1,CP050018.1_64,unknown,,,,332
65,45615,46319,TRUE,CP050018.1,CP050018.1_65,ORF21,218.3,8.1e-67,199,704
66,46312,47382,TRUE,CP050018.1,CP050018.1_66,unknown,,,,1070
67,47395,48804,TRUE,CP050018.1,CP050018.1_67,ORF23,556.7,2.9e-169,430,1409
68,48804,50789,TRUE,CP050018.1,CP050018.1_68,ORF24,629.3,4.2e-191,521,1985
69,50802,51125,TRUE,CP050018.1,CP050018.1_69,unknown,,,,323
70,51122,53572,TRUE,CP050018.1,CP050018.1_70,unknown,,,,2450
71,53572,54531,TRUE,CP050018.1,CP050018.1_71,unknown,,,,959
72,54825,55178,TRUE,CP050018.1,CP050018.1_72,unknown,,,,353
22,-11275,-10955,TRUE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_22,unknown,,,,320
23,-12797,-11529,TRUE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_23,unknown,,,,1268
24,-14838,-13177,TRUE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_24,unknown,,,,1661
25,-16229,-15258,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_25,unknown,,,,971
26,-18718,-16238,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_26,unknown,,,,2480
27,-20714,-18816,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_27,ORF24,338.9,1e-103,24,1898
28,-22084,-20714,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_28,ORF23,362.3,7.1e-111,426,1370
29,-23154,-22084,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_29,unknown,,,,1070
30,-23896,-23144,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_30,ORF21,187.5,5.1e-58,173,752
31,-24161,-23889,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_31,unknown,,,,272
32,-24619,-24344,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_32,unknown,,,,275
33,-24892,-24620,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_33,unknown,,,,272
34,-25832,-24906,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_34,ORF17,299.5,5.7e-92,280,926
35,-26201,-25839,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_35,unknown,,,,362
36,-26345,-26205,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_36,unknown,,,,140
37,-27088,-26414,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_37,unknown,,,,674
38,-27478,-27215,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_38,unknown,,,,263
39,-28845,-27814,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_39,ORF10,177.4,1.1e-54,329,1031
40,-29698,-29012,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_40,unknown,,,,686
41,-30504,-29800,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_41,unknown,,,,704
42,-31511,-30504,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_42,unknown,,,,1007
43,-32383,-31601,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_43,ORF8,122.8,3.1e-38,247,782
44,-33154,-32387,FALSE,Eyre_NODE_236,Eyre_NODE_236_length_33155_cov_19.932_44,unknown,,,,767
6,4412,4702,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_6,unknown,,,,290
7,5023,5259,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_7,unknown,,,,236
8,5518,6183,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_8,unknown,,,,665
9,6199,9729,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_9,ORF6,561.3,1.7e-170,212,3530
10,9726,11339,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_10,unknown,,,,1613
11,11336,12145,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_11,ORF8,105,1.1e-32,235,809
12,12323,13282,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_12,unknown,,,,959
13,13287,14498,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_13,unknown,,,,1211
14,14507,15604,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_14,unknown,,,,1097
15,15803,16837,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_15,ORF10,175,7.6e-54,312,1034
16,16840,17103,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_16,unknown,,,,263
17,17229,17903,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_17,unknown,,,,674
18,17972,18112,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_18,unknown,,,,140
19,18116,18478,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_19,unknown,,,,362
20,18485,19423,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_20,ORF17,294.3,2.7e-90,283,938
21,19437,19709,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_21,unknown,,,,272
22,19710,19985,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_22,unknown,,,,275
23,20168,20440,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_23,unknown,,,,272
24,20433,21185,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_24,ORF21,185.8,2.1e-57,173,752
25,21172,22245,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_25,unknown,,,,1073
26,22245,23612,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_26,ORF23,358.7,1.1e-109,425,1367
27,23612,25495,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_27,ORF24,331.6,2.1e-101,24,1883
28,25595,28075,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_28,unknown,,,,2480
29,28083,29054,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_29,unknown,,,,971
30,29494,31155,FALSE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_30,unknown,,,,1661
31,31545,32807,FALSE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_31,unknown,,,,1262
32,33209,34501,TRUE,Eyresouth_NODE_101,Eyresouth_NODE_101_length_48437_cov_7.17035_32,unknown,,,,1292
1,2,1678,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_1,ORF6,368.8,9.2e-113,467,1676
2,1675,3288,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_2,unknown,,,,1613
3,3285,4097,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_3,ORF8,102.5,2.5e-32,235,812
4,4274,5233,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_4,unknown,,,,959
5,5238,6449,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_5,unknown,,,,1211
6,6458,7555,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_6,unknown,,,,1097
7,7754,8788,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_7,ORF10,178.3,3e-55,308,1034
8,8791,9054,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_8,unknown,,,,263
9,9180,9854,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_9,unknown,,,,674
10,9923,10063,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_10,unknown,,,,140
11,10067,10429,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_11,unknown,,,,362
12,10436,11374,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_12,ORF17,296.3,2.7e-91,283,938
13,11388,11660,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_13,unknown,,,,272
14,11661,11936,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_14,unknown,,,,275
15,12119,12391,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_15,unknown,,,,272
16,12384,13136,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_16,ORF21,185.5,1.1e-57,173,752
17,13123,14196,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_17,unknown,,,,1073
18,14196,15563,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_18,ORF23,357.4,1.1e-109,427,1367
19,15563,17446,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_19,ORF24,330.3,2.1e-101,24,1883
20,17546,20026,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_20,unknown,,,,2480
21,20034,21005,TRUE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_21,unknown,,,,971
22,21419,23080,FALSE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_22,unknown,,,,1661
23,23470,24732,FALSE,Frome_NODE_383,Frome_NODE_383_length_24936_cov_4.316346_23,unknown,,,,1262
7,3047,3319,FALSE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_7,unknown,,,,272
8,3593,4456,FALSE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_8,unknown,,,,863
9,4479,5072,FALSE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_9,unknown,,,,593
10,5088,5531,FALSE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_10,unknown,,,,443
11,6049,6687,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_11,unknown,,,,638
12,6704,10945,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_12,ORF6,552.7,9.6e-168,1223,4241
13,10942,12510,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_13,unknown,,,,1568
14,12514,13308,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_14,ORF8,113.7,3.4e-35,248,794
15,13399,14919,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_15,unknown,,,,1520
16,15073,16071,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_16,ORF10,174.2,1.9e-53,305,998
17,16215,16733,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_17,unknown,,,,518
18,16891,17505,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_18,unknown,,,,614
19,17505,18035,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_19,unknown,,,,530
20,18036,18341,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_20,unknown,,,,305
21,18338,19234,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_21,ORF17,378.4,9.8e-116,288,896
22,19266,19514,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_22,unknown,,,,248
23,19511,19792,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_23,unknown,,,,281
24,19905,20171,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_24,unknown,,,,266
25,20168,20764,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_25,ORF21,192.5,2.8e-59,182,596
26,20767,21009,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_26,unknown,,,,242
27,21009,22019,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_27,unknown,,,,1010
28,22016,23251,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_28,ORF23,552.1,3.2e-168,425,1235
29,23251,24945,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_29,ORF24,580.4,1.2e-176,23,1694
30,24942,25253,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_30,unknown,,,,311
31,25309,27666,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_31,unknown,,,,2357
32,27807,28184,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_32,unknown,,,,377
33,28193,28597,TRUE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_33,unknown,,,,404
34,28607,28789,FALSE,Gairdner_NODE_107,Gairdner_NODE_107_length_49922_cov_74.384603_34,unknown,,,,182
14,-12033,-11725,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_14,unknown,,,,308
15,-12409,-12065,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_15,unknown,,,,344
16,-12893,-12585,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_16,unknown,,,,308
17,-13231,-12944,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_17,unknown,,,,287
18,-16360,-13985,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_18,unknown,,,,2375
19,-18645,-16378,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_19,ORF24,378.3,1.3e-115,494,2267
20,-20003,-18645,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_20,ORF23,374.2,2e-114,427,1358
21,-21013,-20000,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_21,unknown,,,,1013
22,-21723,-21013,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_22,ORF21,150.8,1e-46,162,710
23,-22057,-21707,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_23,unknown,,,,350
24,-22443,-22174,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_24,unknown,,,,269
25,-22658,-22440,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_25,unknown,,,,218
26,-23584,-22655,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_26,ORF17,297.9,1.9e-91,291,929
27,-23991,-23569,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_27,unknown,,,,422
28,-24740,-23988,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_28,unknown,,,,752
29,-25733,-24747,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_29,ORF10,150.3,2.2e-46,329,986
30,-26744,-25869,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_30,ORF8,199.4,1.5e-61,258,875
31,-28418,-26748,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_31,unknown,,,,1670
32,-32692,-28415,FALSE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_32,ORF6,876,1.5e-265,433,4277
33,-33493,-32936,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_33,unknown,,,,557
34,-33882,-33490,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_34,unknown,,,,392
35,-34271,-33879,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_35,unknown,,,,392
36,-34873,-34268,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_36,unknown,,,,605
37,-35072,-34863,TRUE,Gairdner_NODE_167,Gairdner_NODE_167_length_41210_cov_9.888325_37,unknown,,,,209
2,3558,3725,TRUE,KX687704.1,KX687704.1_2,unknown,,,,167
3,3727,4059,TRUE,KX687704.1,KX687704.1_3,unknown,,,,332
4,4123,4812,FALSE,KX687704.1,KX687704.1_4,unknown,,,,689
5,5008,5754,TRUE,KX687704.1,KX687704.1_5,unknown,,,,746
6,5748,5930,FALSE,KX687704.1,KX687704.1_6,unknown,,,,182
7,6074,10228,TRUE,KX687704.1,KX687704.1_7,ORF6,1080.2,0,1227,4154
8,10225,11880,TRUE,KX687704.1,KX687704.1_8,unknown,,,,1655
9,11889,12683,TRUE,KX687704.1,KX687704.1_9,ORF8,275.5,8.6e-85,257,794
10,12795,14303,TRUE,KX687704.1,KX687704.1_10,ORF10,127.3,2e-39,157,1508
11,14306,14602,TRUE,KX687704.1,KX687704.1_11,unknown,,,,296
12,14930,16234,FALSE,KX687704.1,KX687704.1_12,unknown,,,,1304
13,16262,16399,TRUE,KX687704.1,KX687704.1_13,unknown,,,,137
14,16713,17450,TRUE,KX687704.1,KX687704.1_14,unknown,,,,737
15,17450,17833,TRUE,KX687704.1,KX687704.1_15,unknown,,,,383
16,17830,18147,TRUE,KX687704.1,KX687704.1_16,unknown,,,,317
17,18256,18630,FALSE,KX687704.1,KX687704.1_17,unknown,,,,374
18,18769,19686,TRUE,KX687704.1,KX687704.1_18,ORF17,362.6,3.7e-111,293,917
19,19683,19925,TRUE,KX687704.1,KX687704.1_19,unknown,,,,242
20,19922,20203,TRUE,KX687704.1,KX687704.1_20,unknown,,,,281
21,20352,20588,TRUE,KX687704.1,KX687704.1_21,unknown,,,,236
22,20595,21194,TRUE,KX687704.1,KX687704.1_22,ORF21,233.2,5.6e-72,187,599
23,21194,22216,TRUE,KX687704.1,KX687704.1_23,unknown,,,,1022
24,22213,23505,TRUE,KX687704.1,KX687704.1_24,ORF23,526.5,1.1e-160,410,1292
25,23505,25208,TRUE,KX687704.1,KX687704.1_25,ORF24,597,6.4e-182,500,1703
26,25251,27767,TRUE,KX687704.1,KX687704.1_26,unknown,,,,2516
27,27791,28189,FALSE,KX687704.1,KX687704.1_27,unknown,,,,398
28,28254,29879,FALSE,KX687704.1,KX687704.1_28,unknown,,,,1625
29,30942,32189,TRUE,KX687704.1,KX687704.1_29,unknown,,,,1247
30,32296,32985,TRUE,KX687704.1,KX687704.1_30,unknown,,,,689
5,3425,3604,FALSE,NC_013748.1,NC_013748.1_5,unknown,,,,179
6,3635,4306,FALSE,NC_013748.1,NC_013748.1_6,unknown,,,,671
7,4417,4617,FALSE,NC_013748.1,NC_013748.1_7,unknown,,,,200
8,5013,5537,TRUE,NC_013748.1,NC_013748.1_8,unknown,,,,524
9,5547,8963,TRUE,NC_013748.1,NC_013748.1_9,ORF6,1100.2,0,1179,3416
10,8968,10521,TRUE,NC_013748.1,NC_013748.1_10,unknown,,,,1553
11,10525,11331,TRUE,NC_013748.1,NC_013748.1_11,ORF8,320.3,4e-98,250,806
12,11341,12393,TRUE,NC_013748.1,NC_013748.1_12,ORF8,141.4,1.5e-43,20,1052
13,12399,13223,TRUE,NC_013748.1,NC_013748.1_13,unknown,,,,824
14,13195,14592,TRUE,NC_013748.1,NC_013748.1_14,unknown,,,,1397
15,14734,15852,TRUE,NC_013748.1,NC_013748.1_15,ORF10,216.2,3.8e-66,334,1118
16,15928,16335,TRUE,NC_013748.1,NC_013748.1_16,unknown,,,,407
17,16336,16587,TRUE,NC_013748.1,NC_013748.1_17,unknown,,,,251
18,16751,17440,TRUE,NC_013748.1,NC_013748.1_18,unknown,,,,689
19,17440,17637,TRUE,NC_013748.1,NC_013748.1_19,unknown,,,,197
20,17640,18086,TRUE,NC_013748.1,NC_013748.1_20,unknown,,,,446
21,18074,19048,TRUE,NC_013748.1,NC_013748.1_21,ORF17,417.9,1.1e-127,298,974
22,19045,19281,TRUE,NC_013748.1,NC_013748.1_22,unknown,,,,236
23,19278,19574,TRUE,NC_013748.1,NC_013748.1_23,unknown,,,,296
24,19735,19950,TRUE,NC_013748.1,NC_013748.1_24,unknown,,,,215
25,19947,20528,TRUE,NC_013748.1,NC_013748.1_25,ORF21,214,9e-66,191,581
26,20525,21550,TRUE,NC_013748.1,NC_013748.1_26,unknown,,,,1025
27,21550,22806,TRUE,NC_013748.1,NC_013748.1_27,ORF23,567.9,6.3e-173,421,1256
28,22809,24488,TRUE,NC_013748.1,NC_013748.1_28,ORF24,628.8,3.2e-191,510,1679
29,24498,26849,TRUE,NC_013748.1,NC_013748.1_29,unknown,,,,2351
30,26850,27794,TRUE,NC_013748.1,NC_013748.1_30,unknown,,,,944
31,28084,29574,TRUE,NC_013748.1,NC_013748.1_31,unknown,,,,1490
32,29622,30662,TRUE,NC_013748.1,NC_013748.1_32,unknown,,,,1040
33,30689,31057,TRUE,NC_013748.1,NC_013748.1_33,unknown,,,,368
80,-44124,-43864,FALSE,NC_015659.1,NC_015659.1_80,unknown,,,,260
81,-44580,-44194,FALSE,NC_015659.1,NC_015659.1_81,unknown,,,,386
82,-46085,-44583,FALSE,NC_015659.1,NC_015659.1_82,unknown,,,,1502
83,-47315,-46368,FALSE,NC_015659.1,NC_015659.1_83,unknown,,,,947
84,-49692,-47329,FALSE,NC_015659.1,NC_015659.1_84,unknown,,,,2363
85,-51330,-49714,FALSE,NC_015659.1,NC_015659.1_85,ORF24,634.3,7.2e-193,506,1616
86,-52586,-51330,FALSE,NC_015659.1,NC_015659.1_86,ORF23,560.7,1.1e-170,421,1256
87,-53617,-52586,FALSE,NC_015659.1,NC_015659.1_87,unknown,,,,1031
88,-54198,-53614,FALSE,NC_015659.1,NC_015659.1_88,ORF21,214.6,6e-66,192,584
89,-54410,-54195,FALSE,NC_015659.1,NC_015659.1_89,unknown,,,,215
90,-54879,-54571,FALSE,NC_015659.1,NC_015659.1_90,unknown,,,,308
91,-55115,-54876,FALSE,NC_015659.1,NC_015659.1_91,unknown,,,,239
92,-56053,-55112,FALSE,NC_015659.1,NC_015659.1_92,ORF17,403.2,3.4e-123,292,941
