orf#,start,end,strand,contig,id,annot,score,evalue,aln_length,length
108,92789,93373,TRUE,AOIO01000049.1,AOIO01000049.1_108,ORF21,218,6.1e-67,192,584
109,93370,94398,TRUE,AOIO01000049.1,AOIO01000049.1_109,unknown,,,,1028
110,94395,95633,TRUE,AOIO01000049.1,AOIO01000049.1_110,ORF23,555.3,5e-169,420,1238
111,95634,97265,TRUE,AOIO01000049.1,AOIO01000049.1_111,ORF24,642,3.5e-195,510,1631
112,97634,100003,TRUE,AOIO01000049.1,AOIO01000049.1_112,unknown,,,,2369
113,100016,100963,TRUE,AOIO01000049.1,AOIO01000049.1_113,unknown,,,,947
114,101243,101749,TRUE,AOIO01000049.1,AOIO01000049.1_114,unknown,,,,506
16,9131,9751,TRUE,AOIP01000022.1,AOIP01000022.1_16,unknown,,,,620
17,9932,10495,FALSE,AOIP01000022.1,AOIP01000022.1_17,unknown,,,,563
18,10824,11612,TRUE,AOIP01000022.1,AOIP01000022.1_18,unknown,,,,788
19,11686,11886,FALSE,AOIP01000022.1,AOIP01000022.1_19,unknown,,,,200
20,12187,12837,TRUE,AOIP01000022.1,AOIP01000022.1_20,unknown,,,,650
21,12848,16498,TRUE,AOIP01000022.1,AOIP01000022.1_21,ORF6,1340.9,0,1183,3650
22,16495,18036,TRUE,AOIP01000022.1,AOIP01000022.1_22,unknown,,,,1541
23,18040,18813,TRUE,AOIP01000022.1,AOIP01000022.1_23,ORF8,354.5,1.2e-108,258,773
24,18922,19956,TRUE,AOIP01000022.1,AOIP01000022.1_24,ORF10,289.7,1.4e-88,315,1034
25,20045,20293,TRUE,AOIP01000022.1,AOIP01000022.1_25,unknown,,,,248
26,20448,21095,TRUE,AOIP01000022.1,AOIP01000022.1_26,unknown,,,,647
27,21304,21759,TRUE,AOIP01000022.1,AOIP01000022.1_27,unknown,,,,455
28,21756,22697,TRUE,AOIP01000022.1,AOIP01000022.1_28,ORF17,422.5,3.6e-129,298,941
29,22694,22930,TRUE,AOIP01000022.1,AOIP01000022.1_29,unknown,,,,236
30,22927,23217,TRUE,AOIP01000022.1,AOIP01000022.1_30,unknown,,,,290
31,23387,23602,TRUE,AOIP01000022.1,AOIP01000022.1_31,unknown,,,,215
32,23599,24183,TRUE,AOIP01000022.1,AOIP01000022.1_32,ORF21,219.8,1.2e-67,192,584
33,24180,25208,TRUE,AOIP01000022.1,AOIP01000022.1_33,unknown,,,,1028
34,25205,26443,TRUE,AOIP01000022.1,AOIP01000022.1_34,ORF23,557.1,1e-169,420,1238
35,26444,28075,TRUE,AOIP01000022.1,AOIP01000022.1_35,ORF24,640.2,9.3e-195,512,1631
36,28090,30459,TRUE,AOIP01000022.1,AOIP01000022.1_36,unknown,,,,2369
37,30472,31419,TRUE,AOIP01000022.1,AOIP01000022.1_37,unknown,,,,947
38,31699,33282,TRUE,AOIP01000022.1,AOIP01000022.1_38,unknown,,,,1583
39,33361,33810,TRUE,AOIP01000022.1,AOIP01000022.1_39,unknown,,,,449
40,33877,34557,FALSE,AOIP01000022.1,AOIP01000022.1_40,unknown,,,,680
32,26348,30238,FALSE,AOIR01000042.1,AOIR01000042.1_32,unknown,,,,3890
33,30273,32606,TRUE,AOIR01000042.1,AOIR01000042.1_33,unknown,,,,2333
34,32721,34274,TRUE,AOIR01000042.1,AOIR01000042.1_34,unknown,,,,1553
35,34386,35210,TRUE,AOIR01000042.1,AOIR01000042.1_35,unknown,,,,824
36,35358,36011,TRUE,AOIR01000042.1,AOIR01000042.1_36,unknown,,,,653
37,36139,37464,TRUE,AOIR01000042.1,AOIR01000042.1_37,ORF6,70.3,5.1e-22,254,1325
38,37636,37947,TRUE,AOIR01000042.1,AOIR01000042.1_38,unknown,,,,311
39,38074,38166,FALSE,AOIR01000042.1,AOIR01000042.1_39,unknown,,,,92
40,39198,39758,TRUE,AOIR01000042.1,AOIR01000042.1_40,unknown,,,,560
41,40212,41303,TRUE,AOIR01000042.1,AOIR01000042.1_41,unknown,,,,1091
42,41446,41805,FALSE,AOIR01000042.1,AOIR01000042.1_42,unknown,,,,359
43,41965,45603,TRUE,AOIR01000042.1,AOIR01000042.1_43,ORF6,846.7,2.3e-256,1172,3638
44,45596,47278,TRUE,AOIR01000042.1,AOIR01000042.1_44,unknown,,,,1682
45,47278,48096,TRUE,AOIR01000042.1,AOIR01000042.1_45,ORF8,143.6,3.5e-44,248,818
46,48263,49249,TRUE,AOIR01000042.1,AOIR01000042.1_46,ORF10,96.2,1.3e-29,317,986
47,49396,50106,TRUE,AOIR01000042.1,AOIR01000042.1_47,unknown,,,,710
48,50106,50543,TRUE,AOIR01000042.1,AOIR01000042.1_48,unknown,,,,437
49,50522,51436,TRUE,AOIR01000042.1,AOIR01000042.1_49,ORF17,329,1.4e-100,296,914
50,51442,51699,TRUE,AOIR01000042.1,AOIR01000042.1_50,unknown,,,,257
51,51699,51965,TRUE,AOIR01000042.1,AOIR01000042.1_51,unknown,,,,266
52,52065,52313,TRUE,AOIR01000042.1,AOIR01000042.1_52,unknown,,,,248
53,52310,52891,TRUE,AOIR01000042.1,AOIR01000042.1_53,ORF21,194.7,7.7e-60,172,581
54,52891,53916,TRUE,AOIR01000042.1,AOIR01000042.1_54,unknown,,,,1025
55,53919,55250,TRUE,AOIR01000042.1,AOIR01000042.1_55,ORF23,467.8,1.6e-142,430,1331
56,55253,56785,TRUE,AOIR01000042.1,AOIR01000042.1_56,ORF24,487.1,3e-148,498,1532
57,56852,59248,TRUE,AOIR01000042.1,AOIR01000042.1_57,unknown,,,,2396
58,59502,59756,FALSE,AOIR01000042.1,AOIR01000042.1_58,unknown,,,,254
59,60046,60204,TRUE,AOIR01000042.1,AOIR01000042.1_59,unknown,,,,158
60,60255,60635,TRUE,AOIR01000042.1,AOIR01000042.1_60,unknown,,,,380
61,61478,61825,FALSE,AOIR01000042.1,AOIR01000042.1_61,unknown,,,,347
22,21821,22453,TRUE,AOJE01000025.1,AOJE01000025.1_22,unknown,,,,632
23,22532,22768,TRUE,AOJE01000025.1,AOJE01000025.1_23,unknown,,,,236
24,22768,23331,TRUE,AOJE01000025.1,AOJE01000025.1_24,unknown,,,,563
25,23604,23912,FALSE,AOJE01000025.1,AOJE01000025.1_25,unknown,,,,308
26,24243,24959,TRUE,AOJE01000025.1,AOJE01000025.1_26,unknown,,,,716
27,25073,28525,TRUE,AOJE01000025.1,AOJE01000025.1_27,ORF6,726.5,3e-220,712,3452
28,28549,30054,TRUE,AOJE01000025.1,AOJE01000025.1_28,unknown,,,,1505
29,30009,30779,TRUE,AOJE01000025.1,AOJE01000025.1_29,ORF8,125.3,9e-39,247,770
30,30941,31930,TRUE,AOJE01000025.1,AOJE01000025.1_30,ORF10,84.6,3.2e-26,316,989
31,31943,32116,TRUE,AOJE01000025.1,AOJE01000025.1_31,unknown,,,,173
32,32189,32905,TRUE,AOJE01000025.1,AOJE01000025.1_32,unknown,,,,716
33,32902,33297,TRUE,AOJE01000025.1,AOJE01000025.1_33,unknown,,,,395
34,33294,34151,TRUE,AOJE01000025.1,AOJE01000025.1_34,ORF17,320.9,2.8e-98,285,857
35,34152,34406,TRUE,AOJE01000025.1,AOJE01000025.1_35,unknown,,,,254
36,34403,34678,TRUE,AOJE01000025.1,AOJE01000025.1_36,unknown,,,,275
37,34770,35399,TRUE,AOJE01000025.1,AOJE01000025.1_37,ORF21,188.3,5.1e-58,179,629
38,35399,36418,TRUE,AOJE01000025.1,AOJE01000025.1_38,unknown,,,,1019
39,36448,37746,TRUE,AOJE01000025.1,AOJE01000025.1_39,ORF23,474.2,1.3e-144,407,1298
40,37746,39188,TRUE,AOJE01000025.1,AOJE01000025.1_40,ORF24,549.4,2.7e-167,485,1442
41,39210,41579,TRUE,AOJE01000025.1,AOJE01000025.1_41,unknown,,,,2369
42,41803,42207,FALSE,AOJE01000025.1,AOJE01000025.1_42,unknown,,,,404
43,42432,43337,FALSE,AOJE01000025.1,AOJE01000025.1_43,unknown,,,,905
44,43645,44139,FALSE,AOJE01000025.1,AOJE01000025.1_44,unknown,,,,494
45,45384,46244,TRUE,AOJE01000025.1,AOJE01000025.1_45,unknown,,,,860
16,-14354,-13545,FALSE,AOJE01000051.1,AOJE01000051.1_16,unknown,,,,809
17,-15601,-14354,FALSE,AOJE01000051.1,AOJE01000051.1_17,unknown,,,,1247
18,-18214,-16589,TRUE,AOJE01000051.1,AOJE01000051.1_18,unknown,,,,1625
19,-20757,-18742,FALSE,AOJE01000051.1,AOJE01000051.1_19,unknown,,,,2015
20,-21313,-20867,FALSE,AOJE01000051.1,AOJE01000051.1_20,unknown,,,,446
21,-22855,-21356,FALSE,AOJE01000051.1,AOJE01000051.1_21,ORF24,593.3,9.8e-181,499,1499
22,-23945,-23199,FALSE,AOJE01000051.1,AOJE01000051.1_22,ORF23,301.2,2.9e-92,242,746
23,-24472,-23897,FALSE,AOJE01000051.1,AOJE01000051.1_23,ORF23,67.1,3.3e-21,95,575
24,-25500,-24469,FALSE,AOJE01000051.1,AOJE01000051.1_24,unknown,,,,1031
25,-26099,-25500,FALSE,AOJE01000051.1,AOJE01000051.1_25,ORF21,233.2,6.2e-72,195,599
26,-26339,-26106,FALSE,AOJE01000051.1,AOJE01000051.1_26,unknown,,,,233
27,-26769,-26488,FALSE,AOJE01000051.1,AOJE01000051.1_27,unknown,,,,281
28,-27005,-26769,FALSE,AOJE01000051.1,AOJE01000051.1_28,unknown,,,,236
29,-27916,-27002,FALSE,AOJE01000051.1,AOJE01000051.1_29,ORF17,359.2,4.3e-110,291,914
30,-28017,-27913,FALSE,AOJE01000051.1,AOJE01000051.1_30,unknown,,,,104
31,-29308,-28049,FALSE,AOJE01000051.1,AOJE01000051.1_31,unknown,,,,1259
32,-29499,-29362,TRUE,AOJE01000051.1,AOJE01000051.1_32,unknown,,,,137
33,-29893,-29576,FALSE,AOJE01000051.1,AOJE01000051.1_33,unknown,,,,317
34,-30270,-29890,FALSE,AOJE01000051.1,AOJE01000051.1_34,unknown,,,,380
35,-31013,-30270,FALSE,AOJE01000051.1,AOJE01000051.1_35,unknown,,,,743
36,-31243,-31010,FALSE,AOJE01000051.1,AOJE01000051.1_36,unknown,,,,233
37,-31804,-31496,FALSE,AOJE01000051.1,AOJE01000051.1_37,unknown,,,,308
38,-32118,-31801,FALSE,AOJE01000051.1,AOJE01000051.1_38,unknown,,,,317
39,-32644,-32354,FALSE,AOJE01000051.1,AOJE01000051.1_39,unknown,,,,290
40,-34139,-32646,FALSE,AOJE01000051.1,AOJE01000051.1_40,ORF10,130.6,2.3e-40,160,1493
41,-35015,-34248,FALSE,AOJE01000051.1,AOJE01000051.1_41,unknown,,,,767
42,-35661,-35062,FALSE,AOJE01000051.1,AOJE01000051.1_42,unknown,,,,599
43,-36479,-35661,FALSE,AOJE01000051.1,AOJE01000051.1_43,unknown,,,,818
44,-37475,-36486,FALSE,AOJE01000051.1,AOJE01000051.1_44,unknown,,,,989
45,-37612,-37472,FALSE,AOJE01000051.1,AOJE01000051.1_45,unknown,,,,140
46,-37829,-37599,FALSE,AOJE01000051.1,AOJE01000051.1_46,unknown,,,,230
47,-38638,-37826,FALSE,AOJE01000051.1,AOJE01000051.1_47,ORF8,275.9,7.3e-85,257,812
48,-39438,-38647,FALSE,AOJE01000051.1,AOJE01000051.1_48,unknown,,,,791
49,-40301,-39435,FALSE,AOJE01000051.1,AOJE01000051.1_49,unknown,,,,866
50,-44122,-40298,FALSE,AOJE01000051.1,AOJE01000051.1_50,ORF6,956.5,8e-290,1228,3824
51,-45113,-44457,FALSE,AOJE01000051.1,AOJE01000051.1_51,unknown,,,,656
52,-46260,-45433,FALSE,AOJE01000051.1,AOJE01000051.1_52,unknown,,,,827
53,-48169,-46307,FALSE,AOJE01000051.1,AOJE01000051.1_53,unknown,,,,1862
14,11467,11673,FALSE,AOLZ01000012.1,AOLZ01000012.1_14,unknown,,,,206
15,11957,12154,FALSE,AOLZ01000012.1,AOLZ01000012.1_15,unknown,,,,197
16,12460,13122,TRUE,AOLZ01000012.1,AOLZ01000012.1_16,unknown,,,,662
17,13280,15133,TRUE,AOLZ01000012.1,AOLZ01000012.1_17,unknown,,,,1853
18,15136,15738,TRUE,AOLZ01000012.1,AOLZ01000012.1_18,unknown,,,,602
19,15743,19432,TRUE,AOLZ01000012.1,AOLZ01000012.1_19,ORF6,1247.8,0,1177,3689
20,19445,21022,TRUE,AOLZ01000012.1,AOLZ01000012.1_20,unknown,,,,1577
21,21028,21840,TRUE,AOLZ01000012.1,AOLZ01000012.1_21,ORF8,307,1e-93,259,812
22,21958,23379,TRUE,AOLZ01000012.1,AOLZ01000012.1_22,ORF10,143,1.6e-43,117,1421
23,23572,24282,TRUE,AOLZ01000012.1,AOLZ01000012.1_23,unknown,,,,710
24,24287,24478,TRUE,AOLZ01000012.1,AOLZ01000012.1_24,unknown,,,,191
25,24538,24795,TRUE,AOLZ01000012.1,AOLZ01000012.1_25,unknown,,,,257
26,24798,25061,TRUE,AOLZ01000012.1,AOLZ01000012.1_26,unknown,,,,263
27,25064,26422,TRUE,AOLZ01000012.1,AOLZ01000012.1_27,ORF17,397.8,3.2e-121,289,1358
28,26419,26730,TRUE,AOLZ01000012.1,AOLZ01000012.1_28,unknown,,,,311
29,26727,27032,TRUE,AOLZ01000012.1,AOLZ01000012.1_29,unknown,,,,305
30,27079,27318,TRUE,AOLZ01000012.1,AOLZ01000012.1_30,unknown,,,,239
31,27315,27983,TRUE,AOLZ01000012.1,AOLZ01000012.1_31,ORF21,234.3,1.1e-71,196,668
32,27980,28975,TRUE,AOLZ01000012.1,AOLZ01000012.1_32,unknown,,,,995
33,28990,30336,TRUE,AOLZ01000012.1,AOLZ01000012.1_33,ORF23,550.9,2e-167,425,1346
34,30340,32361,TRUE,AOLZ01000012.1,AOLZ01000012.1_34,ORF24,706.9,1.5e-214,521,2021
35,32367,34847,TRUE,AOLZ01000012.1,AOLZ01000012.1_35,unknown,,,,2480
36,34850,35788,TRUE,AOLZ01000012.1,AOLZ01000012.1_36,unknown,,,,938
37,36175,36984,TRUE,AOLZ01000012.1,AOLZ01000012.1_37,unknown,,,,809
38,36981,37220,TRUE,AOLZ01000012.1,AOLZ01000012.1_38,unknown,,,,239
39,37224,37724,TRUE,AOLZ01000012.1,AOLZ01000012.1_39,unknown,,,,500
27,19802,20350,FALSE,BBJN01000020.1,BBJN01000020.1_27,unknown,,,,548
28,20522,21322,FALSE,BBJN01000020.1,BBJN01000020.1_28,unknown,,,,800
29,21391,21807,FALSE,BBJN01000020.1,BBJN01000020.1_29,unknown,,,,416
30,21837,22247,FALSE,BBJN01000020.1,BBJN01000020.1_30,unknown,,,,410
31,22756,23346,TRUE,BBJN01000020.1,BBJN01000020.1_31,unknown,,,,590
32,23437,27639,TRUE,BBJN01000020.1,BBJN01000020.1_32,ORF6,998.2,4.5e-302,1225,4202
33,27647,29251,TRUE,BBJN01000020.1,BBJN01000020.1_33,unknown,,,,1604
34,29248,30006,TRUE,BBJN01000020.1,BBJN01000020.1_34,ORF8,140.5,3.4e-43,258,758
35,30166,31242,TRUE,BBJN01000020.1,BBJN01000020.1_35,ORF10,255.4,5.6e-78,335,1076
36,31436,32068,TRUE,BBJN01000020.1,BBJN01000020.1_36,unknown,,,,632
37,32065,32610,TRUE,BBJN01000020.1,BBJN01000020.1_37,unknown,,,,545
38,32788,32907,TRUE,BBJN01000020.1,BBJN01000020.1_38,unknown,,,,119
39,32907,33794,TRUE,BBJN01000020.1,BBJN01000020.1_39,ORF17,403.1,4.2e-123,290,887
40,33804,34049,TRUE,BBJN01000020.1,BBJN01000020.1_40,unknown,,,,245
41,34050,34331,TRUE,BBJN01000020.1,BBJN01000020.1_41,unknown,,,,281
42,34426,34626,TRUE,BBJN01000020.1,BBJN01000020.1_42,unknown,,,,200
43,34642,35238,TRUE,BBJN01000020.1,BBJN01000020.1_43,ORF21,189.7,2.8e-58,183,596
44,35239,36255,TRUE,BBJN01000020.1,BBJN01000020.1_44,unknown,,,,1016
45,36255,37511,TRUE,BBJN01000020.1,BBJN01000020.1_45,ORF23,586.4,1.8e-178,427,1256
46,37511,39295,TRUE,BBJN01000020.1,BBJN01000020.1_46,ORF24,574.4,1.1e-174,451,1784
47,39512,40051,TRUE,BBJN01000020.1,BBJN01000020.1_47,unknown,,,,539
48,40135,42510,TRUE,BBJN01000020.1,BBJN01000020.1_48,unknown,,,,2375
49,42859,45021,TRUE,BBJN01000020.1,BBJN01000020.1_49,unknown,,,,2162
50,45374,46828,TRUE,BBJN01000020.1,BBJN01000020.1_50,unknown,,,,1454
51,46832,47485,TRUE,BBJN01000020.1,BBJN01000020.1_51,unknown,,,,653
30,-29069,-28569,FALSE,CP019286.1,CP019286.1_30,unknown,,,,500
31,-29312,-29073,FALSE,CP019286.1,CP019286.1_31,unknown,,,,239
32,-30118,-29309,FALSE,CP019286.1,CP019286.1_32,unknown,,,,809
33,-31443,-30505,FALSE,CP019286.1,CP019286.1_33,unknown,,,,938
34,-33926,-31446,FALSE,CP019286.1,CP019286.1_34,unknown,,,,2480
35,-35953,-33932,FALSE,CP019286.1,CP019286.1_35,ORF24,706.9,1.4e-214,521,2021
36,-37303,-35957,FALSE,CP019286.1,CP019286.1_36,ORF23,550.9,1.8e-167,425,1346
37,-38313,-37318,FALSE,CP019286.1,CP019286.1_37,unknown,,,,995
38,-38978,-38310,FALSE,CP019286.1,CP019286.1_38,ORF21,234.3,1e-71,196,668
39,-39214,-38975,FALSE,CP019286.1,CP019286.1_39,unknown,,,,239
40,-39566,-39261,FALSE,CP019286.1,CP019286.1_40,unknown,,,,305
41,-39874,-39563,FALSE,CP019286.1,CP019286.1_41,unknown,,,,311
42,-41139,-39871,FALSE,CP019286.1,CP019286.1_42,ORF17,393.9,4.5e-120,289,1268
43,-41405,-41142,FALSE,CP019286.1,CP019286.1_43,unknown,,,,263
44,-41665,-41408,FALSE,CP019286.1,CP019286.1_44,unknown,,,,257
45,-41916,-41725,FALSE,CP019286.1,CP019286.1_45,unknown,,,,191
46,-42631,-41921,FALSE,CP019286.1,CP019286.1_46,unknown,,,,710
47,-44245,-42824,FALSE,CP019286.1,CP019286.1_47,ORF10,143,1.4e-43,117,1421
48,-45175,-44363,FALSE,CP019286.1,CP019286.1_48,ORF8,307,9.1e-94,259,812
49,-46758,-45181,FALSE,CP019286.1,CP019286.1_49,unknown,,,,1577
50,-50460,-46771,FALSE,CP019286.1,CP019286.1_50,ORF6,1247.8,0,1177,3689
51,-51067,-50465,FALSE,CP019286.1,CP019286.1_51,unknown,,,,602
52,-52977,-51070,FALSE,CP019286.1,CP019286.1_52,unknown,,,,1907
53,-53743,-53081,FALSE,CP019286.1,CP019286.1_53,unknown,,,,662
54,-54246,-54049,TRUE,CP019286.1,CP019286.1_54,unknown,,,,197
55,-54736,-54530,TRUE,CP019286.1,CP019286.1_55,unknown,,,,206
55,-56582,-55617,FALSE,CP019329.1,CP019329.1_55,unknown,,,,965
56,-58252,-56585,FALSE,CP019329.1,CP019329.1_56,unknown,,,,1667
57,-60809,-58353,FALSE,CP019329.1,CP019329.1_57,unknown,,,,2456
58,-61143,-60799,FALSE,CP019329.1,CP019329.1_58,unknown,,,,344
59,-61402,-61145,FALSE,CP019329.1,CP019329.1_59,unknown,,,,257
60,-63415,-61406,FALSE,CP019329.1,CP019329.1_60,ORF24,695.7,3.8e-211,519,2009
61,-64842,-63418,FALSE,CP019329.1,CP019329.1_61,ORF23,551.4,1.5e-167,429,1424
62,-65859,-64861,FALSE,CP019329.1,CP019329.1_62,unknown,,,,998
63,-66592,-65909,FALSE,CP019329.1,CP019329.1_63,ORF21,217.1,2.2e-66,192,683
64,-66879,-66622,FALSE,CP019329.1,CP019329.1_64,unknown,,,,257
65,-67240,-66926,FALSE,CP019329.1,CP019329.1_65,unknown,,,,314
66,-67559,-67233,FALSE,CP019329.1,CP019329.1_66,unknown,,,,326
67,-68866,-67556,FALSE,CP019329.1,CP019329.1_67,ORF17,386.5,8.9e-118,291,1310
68,-69128,-68874,FALSE,CP019329.1,CP019329.1_68,unknown,,,,254
69,-69425,-69234,FALSE,CP019329.1,CP019329.1_69,unknown,,,,191
70,-70201,-69440,FALSE,CP019329.1,CP019329.1_70,unknown,,,,761
71,-70785,-70246,FALSE,CP019329.1,CP019329.1_71,unknown,,,,539
72,-71967,-70906,FALSE,CP019329.1,CP019329.1_72,ORF10,249.2,8.2e-76,316,1061
73,-73277,-72150,TRUE,CP019329.1,CP019329.1_73,unknown,,,,1127
74,-74043,-73303,FALSE,CP019329.1,CP019329.1_74,unknown,,,,740
75,-74828,-74064,FALSE,CP019329.1,CP019329.1_75,unknown,,,,764
76,-76146,-74830,FALSE,CP019329.1,CP019329.1_76,unknown,,,,1316
77,-77346,-76147,FALSE,CP019329.1,CP019329.1_77,ORF8,131.6,3.4e-40,28,1199
78,-78196,-77351,FALSE,CP019329.1,CP019329.1_78,ORF8,325.2,2.9e-99,260,845
79,-79713,-78202,FALSE,CP019329.1,CP019329.1_79,unknown,,,,1511
80,-83168,-79722,FALSE,CP019329.1,CP019329.1_80,ORF6,1144,0,1176,3446
81,-83819,-83175,FALSE,CP019329.1,CP019329.1_81,unknown,,,,644
82,-84467,-84225,FALSE,CP019329.1,CP019329.1_82,unknown,,,,242
83,-85046,-84642,TRUE,CP019329.1,CP019329.1_83,unknown,,,,404
84,-85176,-85033,FALSE,CP019329.1,CP019329.1_84,unknown,,,,143
85,-85719,-85321,FALSE,CP019329.1,CP019329.1_85,unknown,,,,398
1,1,159,TRUE,CP031299.1,CP031299.1_1,unknown,,,,158
2,457,771,TRUE,CP031299.1,CP031299.1_2,unknown,,,,314
3,768,1121,TRUE,CP031299.1,CP031299.1_3,unknown,,,,353
4,1530,2291,TRUE,CP031299.1,CP031299.1_4,ORF6,102.5,1.2e-31,260,761
5,2593,2907,FALSE,CP031299.1,CP031299.1_5,unknown,,,,314
6,3167,4096,TRUE,CP031299.1,CP031299.1_6,ORF6,324.2,1.5e-98,244,929
7,4428,4880,TRUE,CP031299.1,CP031299.1_7,ORF6,133.9,4.1e-41,121,452
8,5329,5805,TRUE,CP031299.1,CP031299.1_8,unknown,,,,476
9,5843,6772,TRUE,CP031299.1,CP031299.1_9,unknown,,,,929
10,6943,7560,TRUE,CP031299.1,CP031299.1_10,ORF8,286.7,9e-88,197,617
11,7563,8306,TRUE,CP031299.1,CP031299.1_11,unknown,,,,743
12,8388,9335,TRUE,CP031299.1,CP031299.1_12,unknown,,,,947
13,9338,10876,TRUE,CP031299.1,CP031299.1_13,unknown,,,,1538
14,10958,12481,TRUE,CP031299.1,CP031299.1_14,unknown,,,,1523
15,12817,13917,TRUE,CP031299.1,CP031299.1_15,ORF10,350.7,6.3e-107,334,1100
16,13998,14378,TRUE,CP031299.1,CP031299.1_16,unknown,,,,380
17,14398,15081,TRUE,CP031299.1,CP031299.1_17,unknown,,,,683
18,15081,15281,TRUE,CP031299.1,CP031299.1_18,unknown,,,,200
19,15284,15724,TRUE,CP031299.1,CP031299.1_19,unknown,,,,440
20,15721,16668,TRUE,CP031299.1,CP031299.1_20,ORF17,399.4,6.2e-122,298,947
21,16665,16904,TRUE,CP031299.1,CP031299.1_21,unknown,,,,239
22,16901,17197,TRUE,CP031299.1,CP031299.1_22,unknown,,,,296
23,17342,17557,TRUE,CP031299.1,CP031299.1_23,unknown,,,,215
24,17554,18132,TRUE,CP031299.1,CP031299.1_24,ORF21,208,7.6e-64,188,578
25,18129,19154,TRUE,CP031299.1,CP031299.1_25,unknown,,,,1025
26,19151,20392,TRUE,CP031299.1,CP031299.1_26,ORF23,539.4,3.7e-164,422,1241
27,20394,22241,TRUE,CP031299.1,CP031299.1_27,ORF24,641.9,4.3e-195,46,1847
28,22251,24614,TRUE,CP031299.1,CP031299.1_28,unknown,,,,2363
29,24615,25556,TRUE,CP031299.1,CP031299.1_29,unknown,,,,941
30,25814,27298,TRUE,CP031299.1,CP031299.1_30,unknown,,,,1484
31,27346,28152,TRUE,CP031299.1,CP031299.1_31,unknown,,,,806
32,28149,28748,TRUE,CP031299.1,CP031299.1_32,unknown,,,,599
33,28751,29173,TRUE,CP031299.1,CP031299.1_33,unknown,,,,422
48,-19624,-19382,FALSE,CP084476.1,CP084476.1_48,unknown,,,,242
49,-20430,-19621,FALSE,CP084476.1,CP084476.1_49,unknown,,,,809
50,-21971,-20478,FALSE,CP084476.1,CP084476.1_50,unknown,,,,1493
51,-23185,-22244,FALSE,CP084476.1,CP084476.1_51,unknown,,,,941
52,-25590,-23185,FALSE,CP084476.1,CP084476.1_52,unknown,,,,2405
53,-27223,-25601,FALSE,CP084476.1,CP084476.1_53,ORF24,617.6,9.8e-188,510,1622
54,-28484,-27225,FALSE,CP084476.1,CP084476.1_54,ORF23,560.7,1.2e-170,421,1259
55,-29506,-28481,FALSE,CP084476.1,CP084476.1_55,unknown,,,,1025
56,-30087,-29503,FALSE,CP084476.1,CP084476.1_56,ORF21,216.5,1.9e-66,192,584
57,-30299,-30084,FALSE,CP084476.1,CP084476.1_57,unknown,,,,215
58,-30760,-30464,FALSE,CP084476.1,CP084476.1_58,unknown,,,,296
59,-30987,-30757,FALSE,CP084476.1,CP084476.1_59,unknown,,,,230
60,-31922,-30984,FALSE,CP084476.1,CP084476.1_60,ORF17,400.5,2.9e-122,298,938
61,-32374,-31925,FALSE,CP084476.1,CP084476.1_61,unknown,,,,449
62,-32577,-32377,FALSE,CP084476.1,CP084476.1_62,unknown,,,,200
